method,decay,m,trial,estimate,true_trace,relative_error
Hutchinson,0.5,20,0,62.641002341027786,61.80100876524323,0.013591907196456069
Hutch++,0.5,20,0,54.498771908573964,61.80100876524323,0.11815724374997633
NA-Hutch++,0.5,20,0,61.549573138889606,61.80100876524323,0.004068471233353599
Gaussian-Hutch++,0.5,20,0,62.16055499816141,61.80100876524323,0.005817805244635185
Hutchinson,0.5,20,1,61.399509287765525,61.80100876524323,0.006496649253782231
Hutch++,0.5,20,1,55.990633878348525,61.80100876524323,0.09401747646168601
NA-Hutch++,0.5,20,1,65.08218190416763,61.80100876524323,0.053092549854456744
Gaussian-Hutch++,0.5,20,1,61.283509658410395,61.80100876524323,0.00837363527185461
Hutchinson,0.5,20,2,62.24666307448863,61.80100876524323,0.007211117069921252
Hutch++,0.5,20,2,55.90235542440155,61.80100876524323,0.09544590709268608
NA-Hutch++,0.5,20,2,61.73635617409866,61.80100876524323,0.0010461413565296463
Gaussian-Hutch++,0.5,20,2,61.5712736861878,61.80100876524323,0.0037173354229232745
Hutchinson,0.5,20,3,61.69023728872969,61.80100876524323,0.0017923894565267827
Hutch++,0.5,20,3,56.541188040818,61.80100876524323,0.0851089784699978
NA-Hutch++,0.5,20,3,60.531126830333754,61.80100876524323,0.02054791596902957
Gaussian-Hutch++,0.5,20,3,60.19660948844607,61.80100876524323,0.025960729587628857
Hutchinson,0.5,20,4,61.24059648514909,61.80100876524323,0.009068011854352059
Hutch++,0.5,20,4,56.68863606771052,61.80100876524323,0.08272312701160797
NA-Hutch++,0.5,20,4,63.82079326190633,61.80100876524323,0.032682063562027526
Gaussian-Hutch++,0.5,20,4,62.68858468459064,61.80100876524323,0.014361835463219433
Hutchinson,0.5,20,5,62.91828434292002,61.80100876524323,0.018078597744591175
Hutch++,0.5,20,5,55.961880730791,61.80100876524323,0.09448273015465962
NA-Hutch++,0.5,20,5,59.16164553398416,61.80100876524323,0.04270744578433885
Gaussian-Hutch++,0.5,20,5,61.610495975692295,61.80100876524323,0.003082680903714968
Hutchinson,0.5,20,6,62.019571972263336,61.80100876524323,0.0035365637452672667
Hutch++,0.5,20,6,55.88505223849193,61.80100876524323,0.09572588934953477
NA-Hutch++,0.5,20,6,62.79089945150559,61.80100876524323,0.016017387192214714
Gaussian-Hutch++,0.5,20,6,61.238456403657295,61.80100876524323,0.009102640439460186
Hutchinson,0.5,20,7,61.5011216412747,61.80100876524323,0.004852463251978298
Hutch++,0.5,20,7,56.81151880171644,61.80100876524323,0.08073476571361199
NA-Hutch++,0.5,20,7,63.2262387919072,61.80100876524323,0.023061598105588117
Gaussian-Hutch++,0.5,20,7,61.574169652671635,61.80100876524323,0.0036704758887232012
Hutchinson,0.5,20,8,61.78840313315952,61.80100876524323,0.00020397129975007172
Hutch++,0.5,20,8,55.80064914479941,61.80100876524323,0.09709161290937397
NA-Hutch++,0.5,20,8,63.50444350492147,61.80100876524323,0.02756321901069429
Gaussian-Hutch++,0.5,20,8,61.631605467631275,61.80100876524323,0.0027411089397496916
Hutchinson,0.5,20,9,61.36195298227754,61.80100876524323,0.007104346542844987
Hutch++,0.5,20,9,56.187334904014385,61.80100876524323,0.09083466392195795
NA-Hutch++,0.5,20,9,61.60746156729761,61.80100876524323,0.0031317805617190855
Gaussian-Hutch++,0.5,20,9,61.230391384962836,61.80100876524323,0.009233140229926313
Hutchinson,0.5,20,10,61.917452376512266,61.80100876524323,0.0018841700741707241
Hutch++,0.5,20,10,54.5131389682696,61.80100876524323,0.11792477085054176
NA-Hutch++,0.5,20,10,61.25443033558377,61.80100876524323,0.008844166795653611
Gaussian-Hutch++,0.5,20,10,60.468755866982505,61.80100876524323,0.021557138384608102
Hutchinson,0.5,20,11,61.118095685008214,61.80100876524323,0.011050193093596991
Hutch++,0.5,20,11,54.93827967944997,61.80100876524323,0.11104558360628003
NA-Hutch++,0.5,20,11,65.67757038674006,61.80100876524323,0.06272651043969685
Gaussian-Hutch++,0.5,20,11,62.48324943799333,61.80100876524323,0.011039312891180321
Hutchinson,0.5,20,12,60.32420551795408,61.80100876524323,0.023896102617012718
Hutch++,0.5,20,12,55.326111950278964,61.80100876524323,0.10477008295381963
NA-Hutch++,0.5,20,12,58.875812592989234,61.80100876524323,0.04733249878437457
Gaussian-Hutch++,0.5,20,12,61.47820258229731,61.80100876524323,0.0052233157580345285
Hutchinson,0.5,20,13,61.77564575166216,61.80100876524323,0.00041039805154984894
