method,decay,m,median,iqr
Gaussian-Hutch++,0.5,20,0.008034800271635438,0.009763520299574991
Gaussian-Hutch++,0.5,40,0.005676002954157069,0.006375291527880076
Gaussian-Hutch++,0.5,80,0.0030701674688656394,0.00436832184624884
Gaussian-Hutch++,0.5,160,0.0017796388895128098,0.0019118569064708565
Gaussian-Hutch++,0.5,320,0.0014814952280493483,0.0013088322655795523
Gaussian-Hutch++,1.0,20,0.024392549080864693,0.03509090300225738
Gaussian-Hutch++,1.0,40,0.012746929779096632,0.01198381413753124
Gaussian-Hutch++,1.0,80,0.0054305789045316685,0.007135607699677594
Gaussian-Hutch++,1.0,160,0.0018343265693951277,0.0029753237358772716
Gaussian-Hutch++,1.0,320,0.0012529043410060103,0.001626349074801272
Gaussian-Hutch++,1.5,20,0.02012334274123032,0.022328856687237855
Gaussian-Hutch++,1.5,40,0.009856162220169152,0.011388128665618853
Gaussian-Hutch++,1.5,80,0.0028697002945523636,0.00479565190896589
Gaussian-Hutch++,1.5,160,0.0007908920963957183,0.0014270719977987605
Gaussian-Hutch++,1.5,320,0.0004777492450087641,0.0004822335421458489
Gaussian-Hutch++,2.0,20,0.018004064903650245,0.021992316015893274
Gaussian-Hutch++,2.0,40,0.003918966955048072,0.00418699854224267
Gaussian-Hutch++,2.0,80,0.0009882460338564662,0.0009998053737284148
Gaussian-Hutch++,2.0,160,0.00029316790450801183,0.0003475782356191157
Gaussian-Hutch++,2.0,320,7.097576845282948e-05,8.395705890161866e-05
Hutch++,0.5,20,0.09841593490975305,0.012622515909809215
Hutch++,0.5,40,0.024574342668565355,0.011304157962809536
Hutch++,0.5,80,0.02201112515446814,0.008572354168490889
Hutch++,0.5,160,0.005262831332831697,0.005210127108084255
Hutch++,0.5,320,0.00443513462375816,0.0034870900701311895
Hutch++,1.0,20,0.07685460134658051,0.03347644015992229
Hutch++,1.0,40,0.019378493583115778,0.020162914318367003
Hutch++,1.0,80,0.015468705141786976,0.012673288532420515
Hutch++,1.0,160,0.003391584138554453,0.0035546863596875077
Hutch++,1.0,320,0.002752215234925863,0.002643972927749434
Hutch++,1.5,20,0.03861763165728081,0.051669505302124344
Hutch++,1.5,40,0.011908281243070997,0.01154492250282697
Hutch++,1.5,80,0.003999796181541219,0.0039913756949222
Hutch++,1.5,160,0.001544514262836356,0.0014119391784573653
Hutch++,1.5,320,0.00043509847711324754,0.0005972015925569845
Hutch++,2.0,20,0.01456581029059395,0.013565283513558773
Hutch++,2.0,40,0.00521521852557482,0.004767949795625167
Hutch++,2.0,80,0.0012759913393067895,0.0010383793110789814
Hutch++,2.0,160,0.00024921500868208376,0.00028594475985207715
Hutch++,2.0,320,5.806465899628512e-05,6.72156555163e-05
Hutchinson,0.5,20,0.005548733807249786,0.006547519780634538
Hutchinson,0.5,40,0.004682765250198218,0.00535760460524706
Hutchinson,0.5,80,0.0034293882571463695,0.00509541869442425
Hutchinson,0.5,160,0.002561861868106645,0.003371107745841727
Hutchinson,0.5,320,0.0012024028456181564,0.001684544560299101
Hutchinson,1.0,20,0.03474686947908953,0.05047085492884347
Hutchinson,1.0,40,0.023030579193793733,0.04009485032310586
Hutchinson,1.0,80,0.01707005599211999,0.02075171069020159
Hutchinson,1.0,160,0.01300100337826475,0.016354255903618185
Hutchinson,1.0,320,0.009840333991005947,0.011851874110687114
Hutchinson,1.5,20,0.08546038051281717,0.11548246887780586
Hutchinson,1.5,40,0.07250211673670075,0.06227645490694328
Hutchinson,1.5,80,0.04428761542263216,0.04986608931707022
Hutchinson,1.5,160,0.025218740325161096,0.05017995677347855
Hutchinson,1.5,320,0.025160738764583118,0.03402745559733889
Hutchinson,2.0,20,0.17213670519592061,0.1582101475628589
Hutchinson,2.0,40,0.0932224658043121,0.10335858692481631
Hutchinson,2.0,80,0.05936711109521194,0.09750162006790365
Hutchinson,2.0,160,0.05389017921113941,0.07792824750441318
Hutchinson,2.0,320,0.027709514636138726,0.03486086789777157
NA-Hutch++,0.5,20,0.02204378769637469,0.017687953068130677
NA-Hutch++,0.5,40,0.012040076191265984,0.01375891949319158
NA-Hutch++,0.5,80,0.0075334297410031325,0.009805537941077566
NA-Hutch++,0.5,160,0.004949255699838784,0.00632450035689903
NA-Hutch++,0.5,320,0.002955982568959397,0.0038264993431604234
NA-Hutch++,1.0,20,0.05250146134029106,0.05298480997501142
NA-Hutch++,1.0,40,0.02258535039905773,0.025675546116748597
NA-Hutch++,1.0,80,0.009433112077170194,0.011066893152628805
NA-Hutch++,1.0,160,0.0041770697265663854,0.004745679842732324
NA-Hutch++,1.0,320,0.0026086320747768094,0.0021267015573804113
NA-Hutch++,1.5,20,0.058329198759290185,0.07154146351520885
NA-Hutch++,1.5,40,0.017648838206681762,0.01922698849395641
NA-Hutch++,1.5,80,0.005913368334319149,0.008132857985463954
NA-Hutch++,1.5,160,0.0020867646008406685,0.002121369197236509
NA-Hutch++,1.5,320,0.0007335048167923781,0.0008704151246603102
NA-Hutch++,2.0,20,0.02450852268349236,0.033627609852056706
NA-Hutch++,2.0,40,0.006256302985988022,0.010294836073772667
NA-Hutch++,2.0,80,0.0017993537921821483,0.002202922282270224
NA-Hutch++,2.0,160,0.00047095908134501483,0.000560334547114421
NA-Hutch++,2.0,320,8.669199412235207e-05,0.00017303039881119854
