trial,ritz_index,ritz_value,selection,q,r
2,1,0.9999948523385289,Reference trial 2,8,8
2,2,0.9999936721342276,Reference trial 2,8,8
2,3,0.9999849145745039,Reference trial 2,8,8
2,4,0.9999745611165356,Reference trial 2,8,8
2,5,0.9999353081812541,Reference trial 2,8,8
2,6,0.0010000000000001208,Reference trial 2,8,8
2,7,0.0010000000000000894,Reference trial 2,8,8
2,8,0.0009999999999999716,Reference trial 2,8,8
7,1,0.9999948939823049,Failure trial 7,8,8
7,2,0.9999927707745181,Failure trial 7,8,8
7,3,0.9999878910833173,Failure trial 7,8,8
7,4,0.9999660220358517,Failure trial 7,8,8
7,5,0.0010000000000001286,Failure trial 7,8,8
7,6,0.0010000000000000057,Failure trial 7,8,8
7,7,0.0009999999999999957,Failure trial 7,8,8
7,8,0.0009999999999999005,Failure trial 7,8,8
