setup_index,spectrum_family,setup_name,method,delta_q_category,observations,mse,median_relative_error,mean_delta_q_raw,mean_delta_q_safe,guard_activation_rate
0,power,power_c_0.3,Sequential Forced Baseline (q=q0),negative,200,0.12897764826854127,0.0023175334531620115,-11.35,0.0,1.0
0,power,power_c_0.3,Sequential Unguarded (B<=q0),negative,200,0.1149386961843831,0.0020753423347306035,-11.35,-11.35,0.0
0,power,power_c_0.3,"Sequential Symmetric Guard [-4,+4]",negative,200,0.11967495421328621,0.002033738122356246,-11.35,-1.93,0.31
0,power,power_c_0.3,"Sequential Asymmetric Guard [0,+4]",negative,200,0.12897764826854127,0.0023175334531620115,-11.35,0.0,1.0
1,power,power_c_0.7,Sequential Forced Baseline (q=q0),negative,200,0.005395499752209289,0.0028976324086454224,-10.14,0.0,1.0
1,power,power_c_0.7,Sequential Unguarded (B<=q0),negative,200,0.005413771544956624,0.0026063309318604417,-10.14,-10.14,0.0
1,power,power_c_0.7,"Sequential Symmetric Guard [-4,+4]",negative,200,0.005759704655281131,0.0024054625357815993,-10.14,-4.0,1.0
1,power,power_c_0.7,"Sequential Asymmetric Guard [0,+4]",negative,200,0.005395499752209289,0.0028976324086454224,-10.14,0.0,1.0
2,power,power_c_1.2,Sequential Forced Baseline (q=q0),zero,112,0.00010896980871400102,0.001834081009032977,0.0,0.0,0.0
2,power,power_c_1.2,Sequential Forced Baseline (q=q0),negative,21,9.984526741452937e-05,0.0017057127623948077,-1.0476190476190477,0.0,1.0
2,power,power_c_1.2,Sequential Forced Baseline (q=q0),positive,67,0.00015800288453671684,0.0020329103908541635,1.044776119402985,0.0,1.0
2,power,power_c_1.2,Sequential Unguarded (B<=q0),zero,112,0.00010896980871400102,0.001834081009032977,0.0,0.0,0.0
2,power,power_c_1.2,Sequential Unguarded (B<=q0),negative,21,0.00022207903969645316,0.0017230478109519869,-1.0476190476190477,-1.0476190476190477,0.0
2,power,power_c_1.2,Sequential Unguarded (B<=q0),positive,67,0.00010307261777286943,0.0018143523186086564,1.044776119402985,1.044776119402985,0.0
2,power,power_c_1.2,"Sequential Symmetric Guard [-4,+4]",zero,112,0.00010896980871400102,0.001834081009032977,0.0,0.0,0.0
2,power,power_c_1.2,"Sequential Symmetric Guard [-4,+4]",negative,21,0.00022207903969645316,0.0017230478109519869,-1.0476190476190477,-1.0476190476190477,0.0
2,power,power_c_1.2,"Sequential Symmetric Guard [-4,+4]",positive,67,0.00010307261777286943,0.0018143523186086564,1.044776119402985,1.044776119402985,0.0
2,power,power_c_1.2,"Sequential Asymmetric Guard [0,+4]",zero,112,0.00010896980871400102,0.001834081009032977,0.0,0.0,0.0
2,power,power_c_1.2,"Sequential Asymmetric Guard [0,+4]",negative,21,9.984526741452937e-05,0.0017057127623948077,-1.0476190476190477,0.0,1.0
2,power,power_c_1.2,"Sequential Asymmetric Guard [0,+4]",positive,67,0.00010307261777286943,0.0018143523186086564,1.044776119402985,1.044776119402985,0.0
3,power,power_c_1.7,Sequential Forced Baseline (q=q0),positive,200,1.8171328269845572e-06,0.0004172632922125989,6.12,0.0,1.0
3,power,power_c_1.7,Sequential Unguarded (B<=q0),positive,200,1.9158509707081796e-06,0.00043327333648980506,6.12,6.12,0.0
3,power,power_c_1.7,"Sequential Symmetric Guard [-4,+4]",positive,200,1.8616350753311486e-06,0.0005050881342840065,6.12,4.0,1.0
3,power,power_c_1.7,"Sequential Asymmetric Guard [0,+4]",positive,200,1.8616350753311486e-06,0.0005050881342840065,6.12,4.0,1.0
4,power,power_c_2.5,Sequential Forced Baseline (q=q0),positive,200,2.416787037231322e-09,2.2113554200597614e-05,12.0,0.0,1.0
4,power,power_c_2.5,Sequential Unguarded (B<=q0),positive,200,2.03418858421625e-09,2.2290732664761893e-05,12.0,12.0,0.0
4,power,power_c_2.5,"Sequential Symmetric Guard [-4,+4]",positive,200,2.19595679156493e-09,2.537920344747083e-05,12.0,4.0,1.0
4,power,power_c_2.5,"Sequential Asymmetric Guard [0,+4]",positive,200,2.19595679156493e-09,2.537920344747083e-05,12.0,4.0,1.0
5,exponential,exponential_alpha_0.02,Sequential Forced Baseline (q=q0),negative,200,0.19542741413560513,0.006478556672470997,-1.0,0.0,1.0
5,exponential,exponential_alpha_0.02,Sequential Unguarded (B<=q0),negative,200,0.17203979838002545,0.005237281431306922,-1.0,-1.0,0.0
5,exponential,exponential_alpha_0.02,"Sequential Symmetric Guard [-4,+4]",negative,200,0.17203979838002545,0.005237281431306922,-1.0,-1.0,0.0
5,exponential,exponential_alpha_0.02,"Sequential Asymmetric Guard [0,+4]",negative,200,0.19542741413560513,0.006478556672470997,-1.0,0.0,1.0
6,exponential,exponential_alpha_0.08,Sequential Forced Baseline (q=q0),positive,196,0.0001667029985982657,0.0006682472153016651,8.0,0.0,1.0
6,exponential,exponential_alpha_0.08,Sequential Forced Baseline (q=q0),negative,4,0.00015924502518793848,0.0008837630930611194,-32.5,0.0,1.0
6,exponential,exponential_alpha_0.08,Sequential Unguarded (B<=q0),positive,196,5.748522071608111e-05,0.00037627209182648303,8.0,8.0,0.0
6,exponential,exponential_alpha_0.08,Sequential Unguarded (B<=q0),negative,4,0.007464507503033067,0.0075152913054620735,-32.5,-32.5,0.0
6,exponential,exponential_alpha_0.08,"Sequential Symmetric Guard [-4,+4]",positive,196,9.201371800926077e-05,0.0004904149384504803,8.0,4.0,1.0
