setup_index,spectrum_family,setup_name,method,observations,mse,median_relative_error,guard_activation_rate,pilot_cap_activation_rate,mse_ratio_vs_standard,mse_ratio_ci_low,mse_ratio_ci_high,comparison_flag,mean_b_final,std_b_final,min_b_final,max_b_final,mean_q_adapt_raw,std_q_adapt_raw,min_q_adapt_raw,max_q_adapt_raw,mean_q_target,std_q_target,min_q_target,max_q_target,mean_r_actual,std_r_actual,min_r_actual,max_r_actual,mean_ell_eff,std_ell_eff,min_ell_eff,max_ell_eff
0,power,power_c_0.3,Hutch++ (Standard),200,0.1305403548405632,0.002040164861342823,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
0,power,power_c_0.3,Sequential Forced Baseline (q=q0),200,0.12897764826854127,0.0023175334531620115,1.0,0.0,0.9880289388371086,0.7443553450880042,1.3171318479441207,unresolved,41.24,16.205628651798733,12.0,52.0,41.65,15.535041036315288,13.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
0,power,power_c_0.3,Sequential Unguarded (B<=q0),200,0.1149386961843831,0.0020753423347306035,0.0,0.0,0.880484018331072,0.6809198643612365,1.149080988771485,unresolved,41.24,16.205628651798733,12.0,52.0,41.65,15.535041036315288,13.0,52.0,41.65,15.535041036315288,13.0,52.0,41.65,15.535041036315288,13.0,52.0,76.7,31.070082072630576,56.0,134.0
0,power,power_c_0.3,"Sequential Symmetric Guard [-4,+4]",200,0.11967495421328621,0.002033738122356246,0.31,0.0,0.9167659637470148,0.7023717649377057,1.2016699636509143,unresolved,41.24,16.205628651798733,12.0,52.0,41.65,15.535041036315288,13.0,52.0,51.07,1.3874797295816612,49.0,52.0,51.07,1.3874797295816612,49.0,52.0,57.86,2.7749594591633224,56.0,62.0
0,power,power_c_0.3,"Sequential Asymmetric Guard [0,+4]",200,0.12897764826854127,0.0023175334531620115,1.0,0.0,0.9880289388371086,0.7460093990454777,1.326092627951027,unresolved,41.24,16.205628651798733,12.0,52.0,41.65,15.535041036315288,13.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
1,power,power_c_0.7,Hutch++ (Standard),200,0.006084849859317174,0.0028345660829055676,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
1,power,power_c_0.7,Sequential Forced Baseline (q=q0),200,0.005395499752209289,0.0028976324086454224,1.0,0.0,0.886710416354424,0.6875898830204369,1.1467230830094066,unresolved,14.06,2.465035496701822,12.0,20.0,42.86,1.2611106216347558,40.0,47.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
1,power,power_c_0.7,Sequential Unguarded (B<=q0),200,0.005413771544956624,0.0026063309318604417,0.0,0.0,0.8897132501415809,0.648930593232521,1.212716828359644,unresolved,14.06,2.465035496701822,12.0,20.0,42.86,1.2611106216347558,40.0,47.0,42.86,1.2611106216347558,40.0,47.0,42.86,1.2611106216347558,40.0,47.0,74.28,2.5222212432695117,66.0,80.0
1,power,power_c_0.7,"Sequential Symmetric Guard [-4,+4]",200,0.005759704655281131,0.0024054625357815993,1.0,0.0,0.9465647942753792,0.7234978461459295,1.2346933744561026,unresolved,14.06,2.465035496701822,12.0,20.0,42.86,1.2611106216347558,40.0,47.0,49.0,0.0,49.0,49.0,49.0,0.0,49.0,49.0,62.0,0.0,62.0,62.0
1,power,power_c_0.7,"Sequential Asymmetric Guard [0,+4]",200,0.005395499752209289,0.0028976324086454224,1.0,0.0,0.886710416354424,0.6868953188787817,1.1483668687352813,unresolved,14.06,2.465035496701822,12.0,20.0,42.86,1.2611106216347558,40.0,47.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
2,power,power_c_1.2,Hutch++ (Standard),200,9.486375326921208e-05,0.0017155865497785591,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
2,power,power_c_1.2,Sequential Forced Baseline (q=q0),200,0.0001244378122781663,0.0018533682744057522,0.44,0.0,1.3117529930006728,1.0452847656929494,1.645947406908876,resolved worse,15.86,1.2249081598226048,12.0,20.0,53.24,0.6651315659326356,51.0,55.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
2,power,power_c_1.2,Sequential Unguarded (B<=q0),200,0.00011887071900187943,0.0018212977321269267,0.0,0.0,1.2530678463094163,0.9590225680534055,1.6434538192286272,unresolved,15.86,1.2249081598226048,12.0,20.0,53.24,0.6651315659326356,51.0,55.0,53.24,0.6651315659326356,51.0,55.0,53.24,0.6651315659326356,51.0,55.0,53.52,1.3302631318652711,50.0,58.0
2,power,power_c_1.2,"Sequential Symmetric Guard [-4,+4]",200,0.00011887071900187943,0.0018212977321269267,0.0,0.0,1.2530678463094163,0.9587015055444075,1.6415961189700607,unresolved,15.86,1.2249081598226048,12.0,20.0,53.24,0.6651315659326356,51.0,55.0,53.24,0.6651315659326356,51.0,55.0,53.24,0.6651315659326356,51.0,55.0,53.52,1.3302631318652711,50.0,58.0
2,power,power_c_1.2,"Sequential Asymmetric Guard [0,+4]",200,0.00010603617291227743,0.0018212977321269267,0.105,0.0,1.1177733249849324,0.884969722639314,1.4183304339892309,unresolved,15.86,1.2249081598226048,12.0,20.0,53.24,0.6651315659326356,51.0,55.0,53.35,0.507444578254611,53.0,55.0,53.35,0.507444578254611,53.0,55.0,53.3,1.014889156509222,50.0,54.0
3,power,power_c_1.7,Hutch++ (Standard),200,1.5928321020603951e-06,0.00043075317742083646,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
3,power,power_c_1.7,Sequential Forced Baseline (q=q0),200,1.8171328269845572e-06,0.0004172632922125989,1.0,0.0,1.1408188123745244,0.8604629123944233,1.5025718658724991,unresolved,20.0,0.0,20.0,20.0,59.12,0.354400902933387,58.0,60.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
3,power,power_c_1.7,Sequential Unguarded (B<=q0),200,1.9158509707081796e-06,0.00043327333648980506,0.0,0.0,1.202795302926119,0.9061751882143152,1.5942724000767021,unresolved,20.0,0.0,20.0,20.0,59.12,0.354400902933387,58.0,60.0,59.12,0.354400902933387,58.0,60.0,59.12,0.354400902933387,58.0,60.0,41.76,0.708801805866774,40.0,44.0
3,power,power_c_1.7,"Sequential Symmetric Guard [-4,+4]",200,1.8616350753311486e-06,0.0005050881342840065,1.0,0.0,1.1687578828446799,0.9111017173513911,1.5048585253715379,unresolved,20.0,0.0,20.0,20.0,59.12,0.354400902933387,58.0,60.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
3,power,power_c_1.7,"Sequential Asymmetric Guard [0,+4]",200,1.8616350753311486e-06,0.0005050881342840065,1.0,0.0,1.1687578828446799,0.9162941373314829,1.5043647770377424,unresolved,20.0,0.0,20.0,20.0,59.12,0.354400902933387,58.0,60.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
4,power,power_c_2.5,Hutch++ (Standard),200,2.395632336792251e-09,2.6969854744226673e-05,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
4,power,power_c_2.5,Sequential Forced Baseline (q=q0),200,2.416787037231322e-09,2.2113554200597614e-05,1.0,0.0,1.0088305288395787,0.7932768344284823,1.2834551785804225,unresolved,28.0,0.0,28.0,28.0,65.0,0.0,65.0,65.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
4,power,power_c_2.5,Sequential Unguarded (B<=q0),200,2.03418858421625e-09,2.2290732664761893e-05,0.0,0.0,0.8491238630298445,0.6525830222118558,1.0950386809403008,unresolved,28.0,0.0,28.0,28.0,65.0,0.0,65.0,65.0,65.0,0.0,65.0,65.0,65.0,0.0,65.0,65.0,30.0,0.0,30.0,30.0
4,power,power_c_2.5,"Sequential Symmetric Guard [-4,+4]",200,2.19595679156493e-09,2.537920344747083e-05,1.0,0.0,0.9166501711632903,0.7153246381425519,1.1809610794495455,unresolved,28.0,0.0,28.0,28.0,65.0,0.0,65.0,65.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
4,power,power_c_2.5,"Sequential Asymmetric Guard [0,+4]",200,2.19595679156493e-09,2.537920344747083e-05,1.0,0.0,0.9166501711632903,0.7167369286766427,1.1714710385051623,unresolved,28.0,0.0,28.0,28.0,65.0,0.0,65.0,65.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
5,exponential,exponential_alpha_0.02,Hutch++ (Standard),200,0.13777751307354438,0.004858535254828577,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
5,exponential,exponential_alpha_0.02,Sequential Forced Baseline (q=q0),200,0.19542741413560513,0.006478556672470997,1.0,0.0,1.4184275051567214,1.0988183871160953,1.8437193772299776,resolved worse,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
5,exponential,exponential_alpha_0.02,Sequential Unguarded (B<=q0),200,0.17203979838002545,0.005237281431306922,0.0,0.0,1.2486783549953624,0.914105205248763,1.6956234289105663,unresolved,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,56.0,0.0,56.0,56.0
5,exponential,exponential_alpha_0.02,"Sequential Symmetric Guard [-4,+4]",200,0.17203979838002545,0.005237281431306922,0.0,0.0,1.2486783549953624,0.9169060675926255,1.6984934651720711,unresolved,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,56.0,0.0,56.0,56.0
5,exponential,exponential_alpha_0.02,"Sequential Asymmetric Guard [0,+4]",200,0.19542741413560513,0.006478556672470997,1.0,0.0,1.4184275051567214,1.093810176808713,1.851221485091517,resolved worse,52.0,0.0,52.0,52.0,52.0,0.0,52.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
6,exponential,exponential_alpha_0.08,Hutch++ (Standard),200,0.00016449668370180164,0.0006340985088401967,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
6,exponential,exponential_alpha_0.08,Sequential Forced Baseline (q=q0),200,0.00016655383913005917,0.0006682472153016651,1.0,0.0,1.0125057562375344,0.7698612164197597,1.3290770165740564,unresolved,51.2,5.6,12.0,52.0,60.19,5.670440899965364,20.0,61.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
6,exponential,exponential_alpha_0.08,Sequential Unguarded (B<=q0),200,0.00020562566636242083,0.00039681741477227517,0.0,0.0,1.2500292512594207,0.41306005256523015,2.464913496035643,unresolved,51.2,5.6,12.0,52.0,60.19,5.670440899965364,20.0,61.0,60.19,5.670440899965364,20.0,61.0,60.19,5.670440899965364,20.0,61.0,39.62,11.340881799930726,38.0,120.0
6,exponential,exponential_alpha_0.08,"Sequential Symmetric Guard [-4,+4]",200,9.415036185933232e-05,0.0004904149384504803,1.0,0.0,0.5723541638687829,0.4232043164973139,0.7717439797885324,resolved better,51.2,5.6,12.0,52.0,60.19,5.670440899965364,20.0,61.0,56.84,1.1199999999999999,49.0,57.0,56.84,1.1199999999999999,49.0,57.0,46.32,2.2399999999999998,46.0,62.0
6,exponential,exponential_alpha_0.08,"Sequential Asymmetric Guard [0,+4]",200,9.33583441528343e-05,0.0004957136815763894,1.0,0.0,0.5675393694992272,0.41943254631600313,0.7638514022149211,resolved better,51.2,5.6,12.0,52.0,60.19,5.670440899965364,20.0,61.0,56.92,0.5599999999999999,53.0,57.0,56.92,0.5599999999999999,53.0,57.0,46.16,1.1199999999999999,46.0,54.0
7,exponential,exponential_alpha_0.10,Hutch++ (Standard),200,1.637691050352288e-05,0.00034044512105203004,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
7,exponential,exponential_alpha_0.10,Sequential Forced Baseline (q=q0),200,1.5226788003912706e-05,0.0002446190299092969,1.0,0.0,0.9297717051477586,0.7245122393816846,1.1838029498421438,unresolved,50.82,6.71473007648111,12.0,52.0,62.875,6.405417628851377,25.0,64.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
7,exponential,exponential_alpha_0.10,Sequential Unguarded (B<=q0),200,4.2612413202410254e-05,0.00012442467477064294,0.0,0.0,2.601981197445256,0.20828720054031838,7.095291258078305,unresolved,50.82,6.71473007648111,12.0,52.0,62.875,6.405417628851377,25.0,64.0,62.875,6.405417628851377,25.0,64.0,62.875,6.405417628851377,25.0,64.0,34.25,12.810835257702754,32.0,110.0
7,exponential,exponential_alpha_0.10,"Sequential Symmetric Guard [-4,+4]",200,7.492472995494979e-06,0.00020078020185551924,1.0,0.0,0.45750222509204375,0.3384937947390728,0.6116132995212358,resolved better,50.82,6.71473007648111,12.0,52.0,62.875,6.405417628851377,25.0,64.0,56.76,1.3646977687385586,49.0,57.0,56.76,1.3646977687385586,49.0,57.0,46.48,2.729395537477117,46.0,62.0
7,exponential,exponential_alpha_0.10,"Sequential Asymmetric Guard [0,+4]",200,7.752900593119437e-06,0.00020499325940956067,1.0,0.0,0.47340434518779906,0.3471652397309554,0.6385950553076823,resolved better,50.82,6.71473007648111,12.0,52.0,62.875,6.405417628851377,25.0,64.0,56.88,0.6823488843692792,53.0,57.0,56.88,0.6823488843692792,53.0,57.0,46.24,1.3646977687385586,46.0,54.0
8,exponential,exponential_alpha_0.15,Hutch++ (Standard),200,4.4811952687165235e-08,2.3330849642184413e-05,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
8,exponential,exponential_alpha_0.15,Sequential Forced Baseline (q=q0),200,4.442242831290204e-08,2.2464748492396112e-05,1.0,0.0,0.9913075786502211,0.7491623129867485,1.2968766374031682,unresolved,50.12,7.661957974303957,12.0,52.0,65.515,6.240174276412479,32.0,67.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
8,exponential,exponential_alpha_0.15,Sequential Unguarded (B<=q0),200,1.7525538150097914e-07,4.351392312544189e-06,0.0,0.0,3.9109070458153616,0.3676965254426675,8.731260356751047,unresolved,50.12,7.661957974303957,12.0,52.0,65.515,6.240174276412479,32.0,67.0,65.515,6.240174276412479,32.0,67.0,65.515,6.240174276412479,32.0,67.0,28.97,12.480348552824958,26.0,96.0
8,exponential,exponential_alpha_0.15,"Sequential Symmetric Guard [-4,+4]",200,2.9013797336996024e-08,1.5814618269420796e-05,0.975,0.0,0.6474566627244069,0.3691980068380837,1.132183721428706,unresolved,50.12,7.661957974303957,12.0,52.0,65.515,6.240174276412479,32.0,67.0,56.645,1.577648566696652,49.0,57.0,56.645,1.577648566696652,49.0,57.0,46.71,3.1552971333933035,46.0,62.0
8,exponential,exponential_alpha_0.15,"Sequential Asymmetric Guard [0,+4]",200,1.9318579963419318e-08,1.55791643085774e-05,0.985,0.0,0.43110328394487546,0.323474456687461,0.578426559455629,resolved better,50.12,7.661957974303957,12.0,52.0,65.515,6.240174276412479,32.0,67.0,56.805,0.8348502859794682,53.0,57.0,56.805,0.8348502859794682,53.0,57.0,46.39,1.6697005719589364,46.0,54.0
9,step,step_r_5_eta_0.001,Hutch++ (Standard),200,1.4791883358374525e-06,0.00014721815543023155,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
9,step,step_r_5_eta_0.001,Sequential Forced Baseline (q=q0),200,1.5553184863644648e-06,0.0001590365566956048,1.0,0.0,1.0514675168013077,0.7914389542872919,1.403180009388352,unresolved,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
9,step,step_r_5_eta_0.001,Sequential Unguarded (B<=q0),200,4.143821893298901e-06,0.0002435024167364862,0.0,0.0,2.801416015055884,2.1071331403139024,3.6984112108406983,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66.0,66.0,28.0,0.0,28.0,28.0
9,step,step_r_5_eta_0.001,"Sequential Symmetric Guard [-4,+4]",200,2.8509039514969014e-06,0.00021121775751596893,1.0,0.0,1.9273434507464817,1.472341764741112,2.525889782880844,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
9,step,step_r_5_eta_0.001,"Sequential Asymmetric Guard [0,+4]",200,2.8509039514969014e-06,0.00021121775751596893,1.0,0.0,1.9273434507464817,1.4756765583399103,2.5167200810769597,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
10,step,step_r_5_eta_0.05,Hutch++ (Standard),200,0.0035451018742850395,0.0014056139470865845,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
10,step,step_r_5_eta_0.05,Sequential Forced Baseline (q=q0),200,0.005317766905614358,0.001512498861012378,1.0,0.0,1.5000321836130086,1.125212453202256,1.994544412917471,resolved worse,24.0,0.0,24.0,24.0,51.0,0.0,51.0,51.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
10,step,step_r_5_eta_0.05,Sequential Unguarded (B<=q0),200,0.004364951028937175,0.0016478702324441898,0.0,0.0,1.231262509153557,0.9539943759976566,1.6053863239807762,unresolved,24.0,0.0,24.0,24.0,51.0,0.0,51.0,51.0,51.0,0.0,51.0,51.0,51.0,0.0,51.0,51.0,58.0,0.0,58.0,58.0
10,step,step_r_5_eta_0.05,"Sequential Symmetric Guard [-4,+4]",200,0.004364951028937175,0.0016478702324441898,0.0,0.0,1.231262509153557,0.953593320996636,1.5996346183386594,unresolved,24.0,0.0,24.0,24.0,51.0,0.0,51.0,51.0,51.0,0.0,51.0,51.0,51.0,0.0,51.0,51.0,58.0,0.0,58.0,58.0
10,step,step_r_5_eta_0.05,"Sequential Asymmetric Guard [0,+4]",200,0.005317766905614358,0.001512498861012378,1.0,0.0,1.5000321836130086,1.1302149793826555,2.0009048369573437,resolved worse,24.0,0.0,24.0,24.0,51.0,0.0,51.0,51.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
11,step,step_r_5_eta_0.1,Hutch++ (Standard),200,0.016021677394237363,0.0016182719634033906,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
11,step,step_r_5_eta_0.1,Sequential Forced Baseline (q=q0),200,0.018286589662381617,0.0016633997165547546,0.985,0.0,1.1413654895434915,0.8617668869439954,1.5063891216439307,unresolved,15.12,7.377370805375044,12.0,40.0,46.565,2.0653752685650133,43.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
11,step,step_r_5_eta_0.1,Sequential Unguarded (B<=q0),200,0.014593048937870194,0.0012742560307249728,0.0,0.0,0.9108315302315965,0.6744488806785625,1.2248596726877234,unresolved,15.12,7.377370805375044,12.0,40.0,46.565,2.0653752685650133,43.0,53.0,46.565,2.0653752685650133,43.0,53.0,46.565,2.0653752685650133,43.0,53.0,66.87,4.130750537130027,54.0,74.0
11,step,step_r_5_eta_0.1,"Sequential Symmetric Guard [-4,+4]",200,0.015046945984182832,0.0015676678678780839,0.93,0.0,0.9391617128425567,0.7194829873032081,1.2377440217106797,unresolved,15.12,7.377370805375044,12.0,40.0,46.565,2.0653752685650133,43.0,53.0,49.225,0.8272696053887147,49.0,53.0,49.225,0.8272696053887147,49.0,53.0,61.55,1.6545392107774295,54.0,62.0
11,step,step_r_5_eta_0.1,"Sequential Asymmetric Guard [0,+4]",200,0.018286589662381617,0.0016633997165547546,0.985,0.0,1.1413654895434915,0.8618528031205852,1.500713056315071,unresolved,15.12,7.377370805375044,12.0,40.0,46.565,2.0653752685650133,43.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
12,step,step_r_15_eta_0.001,Hutch++ (Standard),200,1.6698915271872317e-06,6.0694110814877835e-05,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
12,step,step_r_15_eta_0.001,Sequential Forced Baseline (q=q0),200,1.5873755396381162e-06,5.6477681595113623e-05,1.0,0.0,0.9505860193876751,0.7558255238308758,1.1993161777451697,unresolved,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
12,step,step_r_15_eta_0.001,Sequential Unguarded (B<=q0),200,3.6001824970308614e-06,8.527530100841375e-05,0.0,0.0,2.155937938732473,1.6601821769843783,2.7777607181518857,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,66.0,0.0,66.0,66.0,66.0,0.0,66.0,66.0,28.0,0.0,28.0,28.0
12,step,step_r_15_eta_0.001,"Sequential Symmetric Guard [-4,+4]",200,2.35166334942492e-06,6.850656146072792e-05,1.0,0.0,1.4082731190247224,1.1025366665962018,1.8023556135511578,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
12,step,step_r_15_eta_0.001,"Sequential Asymmetric Guard [0,+4]",200,2.35166334942492e-06,6.850656146072792e-05,1.0,0.0,1.4082731190247224,1.1048523374116133,1.7967990648350007,resolved worse,28.0,0.0,28.0,28.0,66.0,0.0,66.0,66.0,57.0,0.0,57.0,57.0,57.0,0.0,57.0,57.0,46.0,0.0,46.0,46.0
13,step,step_r_15_eta_0.05,Hutch++ (Standard),200,0.004810187521531253,0.0011009047605725281,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
13,step,step_r_15_eta_0.05,Sequential Forced Baseline (q=q0),200,0.005439107630567257,0.0012983038470704262,1.0,0.0,1.130747524128913,0.8679345300593302,1.4767124447268138,unresolved,35.8,0.8717797887081347,32.0,36.0,51.9,0.43588989435406733,50.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
13,step,step_r_15_eta_0.05,Sequential Unguarded (B<=q0),200,0.005593620332392921,0.0013455186114975674,0.0,0.0,1.1628694946620863,0.8771614062035483,1.5340916343092956,unresolved,35.8,0.8717797887081347,32.0,36.0,51.9,0.43588989435406733,50.0,52.0,51.9,0.43588989435406733,50.0,52.0,51.9,0.43588989435406733,50.0,52.0,56.2,0.8717797887081347,56.0,60.0
13,step,step_r_15_eta_0.05,"Sequential Symmetric Guard [-4,+4]",200,0.005593620332392921,0.0013455186114975674,0.0,0.0,1.1628694946620863,0.8785306389694051,1.5438388409028174,unresolved,35.8,0.8717797887081347,32.0,36.0,51.9,0.43588989435406733,50.0,52.0,51.9,0.43588989435406733,50.0,52.0,51.9,0.43588989435406733,50.0,52.0,56.2,0.8717797887081347,56.0,60.0
13,step,step_r_15_eta_0.05,"Sequential Asymmetric Guard [0,+4]",200,0.005439107630567257,0.0012983038470704262,1.0,0.0,1.130747524128913,0.8631152998275037,1.4820014777153447,unresolved,35.8,0.8717797887081347,32.0,36.0,51.9,0.43588989435406733,50.0,52.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
14,step,step_r_15_eta_0.1,Hutch++ (Standard),200,0.027610237035161172,0.0016736454521439374,0.0,0.0,1.0,1.0,1.0,unresolved,0.0,0.0,0.0,0.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
14,step,step_r_15_eta_0.1,Sequential Forced Baseline (q=q0),200,0.01913671312065851,0.0016207945733658607,1.0,0.0,0.6931020945705112,0.534610500510586,0.9008030214424654,resolved better,51.7,3.044667469527666,16.0,52.0,60.755,2.498994797913753,31.0,61.0,53.0,0.0,53.0,53.0,53.0,0.0,53.0,53.0,54.0,0.0,54.0,54.0
14,step,step_r_15_eta_0.1,Sequential Unguarded (B<=q0),200,0.03572253634040932,0.0020305506796156223,0.0,0.0,1.2938149098436666,0.9972713979664786,1.6774819240985874,unresolved,51.7,3.044667469527666,16.0,52.0,60.755,2.498994797913753,31.0,61.0,60.755,2.498994797913753,31.0,61.0,60.755,2.498994797913753,31.0,61.0,38.49,4.997989595827506,38.0,98.0
