spectrum_type,label,q_star,mean_B,mean_q_B_star,mean_q_sel,mean_C_commit,mean_C_decision,mean_C_total
power_law,Power-Law c=0.3,6,31.12,31.12,31.24,0.2553989436122744,0.0008524331454835065,0.2562800486372754
power_law,Power-Law c=0.7,29,14.96,29.0,42.82,0.0,0.08428655644297578,0.08428655644297578
power_law,Power-Law c=1.2,47,16.32,47.0,53.36,0.0,0.03164752170331805,0.03164752170331805
power_law,Power-Law c=1.7,56,20.0,56.0,59.04,0.0,0.009052104495064892,0.009052104495064892
power_law,Power-Law c=2.5,64,28.0,64.0,65.0,0.0,0.0029918662228805015,0.0029918662228805015
power_law,Power-Law c=3.0,67,28.0,67.0,67.0,0.0,0.0,0.0
exponential,Exponential alpha=0.02,55,36.0,55.0,36.0,0.0,0.2149296827675935,0.2149296827675935
exponential,Exponential alpha=0.05,70,35.52,70.0,40.56,0.0,4.189526455657962,4.189526455657962
exponential,Exponential alpha=0.08,74,35.04,74.0,46.64,0.0,25.198328356600882,25.198328356600882
exponential,Exponential alpha=0.15,77,35.04,77.0,56.4,0.0,1035.3693692431823,1035.3693692431823
step,"Step r*=5, eta=0.001",5,28.0,28.0,66.0,0.37529137529137535,2.415254237288136,3.6969696969696964
step,"Step r*=5, eta=0.05",5,24.0,24.0,51.0,0.2878787878787881,0.8215010141987829,1.3458725182863116
step,"Step r*=10, eta=0.01",10,24.0,24.0,62.0,0.21428571428571416,1.862745098039216,2.4761904761904763
step,"Step r*=15, eta=0.001",15,28.0,28.0,66.0,0.21649484536082483,2.415254237288136,3.154639175257732
step,"Step r*=20, eta=0.01",20,36.0,36.0,59.0,0.3181818181818179,0.9913793103448281,1.625
step,"Step r*=25, eta=0.01",25,36.0,36.0,54.0,0.2210526315789472,0.6266578249336874,0.9862348178137651
step,"Step r*=30, eta=0.001",30,36.0,36.0,51.0,0.12185686653771753,0.4681926278240192,0.6471019809244316
step,"Step r*=30, eta=0.05",30,36.0,36.0,36.26,0.12185686653771753,0.005473135525260618,0.1279969412082227
spiked,"Spiked r=3, val=10",42,25.12,42.0,62.18,0.0,0.38455389907882703,0.38455389907882703
spiked,"Spiked r=5, val=20",53,28.0,53.0,68.0,0.0,0.36239316054193266,0.36239316054193266
spiked,"Spiked r=10, val=5",18,24.0,24.0,58.0,0.012852978095706957,0.8111493038366661,0.8344279661669333
spiked,"Spiked r=15, val=15",60,32.0,60.0,70.0,0.0,0.262689764188599,0.262689764188599
log_normal,Log-Normal sigma=0.5,71,23.12,71.0,57.7,0.0,0.9387869900090083,0.9387869900090083
log_normal,Log-Normal sigma=1.0,75,32.0,75.0,70.0,0.0,0.5377919733428661,0.5377919733428661
