eta,budget,s,pair,estimator,epsilon,fraction,detection,eligible_by_rank
1e-10,80,4,primary,sample_variance,0.0,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.0,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.0,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.2,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.2,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.2,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.3333333333333333,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.3333333333333333,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.3333333333333333,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.5,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.5,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,sample_variance,0.5,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.0,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.0,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.0,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.2,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.2,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.2,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.3333333333333333,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.3333333333333333,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.3333333333333333,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.5,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.5,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,paired_mean,0.5,0.1,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,mom_w1,0.0,0.01,,"{""15"": 1, ""30"": 0, ""5"": 0}"
1e-10,80,4,primary,mom_w1,0.0,0.05,,"{""15"": 1, ""30"": 0, ""5"": 0}"
