eta,budget,s,pair,estimator,epsilon,fraction,evaluable,paths,original_baseline_mean,paid_baseline_mean,paid_candidate_mean,paid_oracle_mean,paid_selected_mean,selected_mean_ratio,paid_baseline_mean_ratio,paid_candidate_mean_ratio,paid_oracle_mean_ratio,median_pathwise_ratio,p90_pathwise_ratio,p95_pathwise_ratio,p99_pathwise_ratio,max_pathwise_ratio,fraction_paths_harmed,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,mean_cost_multiplier,mean_net_numerator_threshold,baseline_risk_share,recovered_risk_share,candidate_repays_fraction
1e-10,80,4,left,mom_w1,0.0,0.01,True,2.0,1.1879260472489501e-20,1.442663480564969e-20,0.0658676931954001,1.442663480564969e-20,1.4426634805649664e-20,1.1325208607817292,1.1325208607817305,1.0940808943589798e+19,1.1325208607817305,1.1325208607817296,1.1325208607817305,1.1325208607817308,1.1325208607817308,1.1325208607817308,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.010195487939655253,,0.0
1e-10,80,4,left,mom_w1,0.0,0.05,True,10.0,1.1788536943644145e-20,1.4327955290636048e-20,0.06586418020804458,1.4327955290636048e-20,1.4327955290636054e-20,1.1325208607817305,1.1325208607817305,1.1055546768806627e+19,1.1325208607817305,1.132520860781731,1.1325208607817334,1.132520860781734,1.1325208607817345,1.1325208607817345,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.0501877805136601,,0.0
1e-10,80,4,left,mom_w1,0.0,0.1,True,20.0,1.1777161693783006e-20,1.4315577648153045e-20,0.0658635427737656,1.4315577648153045e-20,1.4315577648153042e-20,1.1325208607817305,1.1325208607817305,1.107117432601504e+19,1.1325208607817305,1.1325208607817305,1.132520860781734,1.1325208607817343,1.1325208607817354,1.1325208607817359,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190478,0.10017792468659086,,0.0
1e-10,80,4,left,mom_w1,0.2,0.01,True,2.0,1.1879260472489501e-20,1.442663480564969e-20,0.0658676931954001,1.442663480564969e-20,1.4426634805649664e-20,1.1325208607817292,1.1325208607817305,1.0940808943589798e+19,1.1325208607817305,1.1325208607817296,1.1325208607817305,1.1325208607817308,1.1325208607817308,1.1325208607817308,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.010195487939655253,,0.0
1e-10,80,4,left,mom_w1,0.2,0.05,True,10.0,1.1788536943644145e-20,1.4327955290636048e-20,0.06586418020804458,1.4327955290636048e-20,1.4327955290636054e-20,1.1325208607817305,1.1325208607817305,1.1055546768806627e+19,1.1325208607817305,1.132520860781731,1.1325208607817334,1.132520860781734,1.1325208607817345,1.1325208607817345,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.0501877805136601,,0.0
1e-10,80,4,left,mom_w1,0.2,0.1,True,20.0,1.1777161693783006e-20,1.4315577648153045e-20,0.0658635427737656,1.4315577648153045e-20,1.4315577648153042e-20,1.1325208607817305,1.1325208607817305,1.107117432601504e+19,1.1325208607817305,1.1325208607817305,1.132520860781734,1.1325208607817343,1.1325208607817354,1.1325208607817359,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190478,0.10017792468659086,,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,0.01,True,2.0,1.1879260472489501e-20,1.442663480564969e-20,0.0658676931954001,1.442663480564969e-20,1.4426634805649664e-20,1.1325208607817292,1.1325208607817305,1.0940808943589798e+19,1.1325208607817305,1.1325208607817296,1.1325208607817305,1.1325208607817308,1.1325208607817308,1.1325208607817308,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.010195487939655253,,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,0.05,True,10.0,1.1788536943644145e-20,1.4327955290636048e-20,0.06586418020804458,1.4327955290636048e-20,1.4327955290636054e-20,1.1325208607817305,1.1325208607817305,1.1055546768806627e+19,1.1325208607817305,1.132520860781731,1.1325208607817334,1.132520860781734,1.1325208607817345,1.1325208607817345,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.0501877805136601,,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,0.1,True,20.0,1.1777161693783006e-20,1.4315577648153045e-20,0.0658635427737656,1.4315577648153045e-20,1.4315577648153042e-20,1.1325208607817305,1.1325208607817305,1.107117432601504e+19,1.1325208607817305,1.1325208607817305,1.132520860781734,1.1325208607817343,1.1325208607817354,1.1325208607817359,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190478,0.10017792468659086,,0.0
1e-10,80,4,left,mom_w1,0.5,0.01,True,2.0,1.1879260472489501e-20,1.442663480564969e-20,0.0658676931954001,1.442663480564969e-20,1.4426634805649664e-20,1.1325208607817292,1.1325208607817305,1.0940808943589798e+19,1.1325208607817305,1.1325208607817296,1.1325208607817305,1.1325208607817308,1.1325208607817308,1.1325208607817308,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.010195487939655253,,0.0
1e-10,80,4,left,mom_w1,0.5,0.05,True,10.0,1.1788536943644145e-20,1.4327955290636048e-20,0.06586418020804458,1.4327955290636048e-20,1.4327955290636054e-20,1.1325208607817305,1.1325208607817305,1.1055546768806627e+19,1.1325208607817305,1.132520860781731,1.1325208607817334,1.132520860781734,1.1325208607817345,1.1325208607817345,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817303,0.8876190476190476,0.0501877805136601,,0.0
1e-10,80,4,left,mom_w1,0.5,0.1,True,20.0,1.1777161693783006e-20,1.4315577648153045e-20,0.0658635427737656,1.4315577648153045e-20,1.4315577648153042e-20,1.1325208607817305,1.1325208607817305,1.107117432601504e+19,1.1325208607817305,1.1325208607817305,1.132520860781734,1.1325208607817343,1.1325208607817354,1.1325208607817359,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190478,0.10017792468659086,,0.0
