eta,budget,s,pair,estimator,epsilon,rank_scope,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability
1e-10,80,4,left,mom_w1,0.0,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.0,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.0,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.0,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.2,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.2,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.2,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.2,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.3333333333333333,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.5,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.5,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.5,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w1,0.5,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.0,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.0,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.0,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.0,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.2,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.2,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.2,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.2,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.3333333333333333,5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.3333333333333333,15,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.3333333333333333,30,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1e-10,80,4,left,mom_w2,0.3333333333333333,equal_rank,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
