eta,budget,s,pair,estimator,epsilon,rank_scope,paths,evaluable,original_baseline_mean,paid_baseline_mean,paid_candidate_mean,paid_oracle_mean,paid_selected_mean,selected_mean_ratio,paid_baseline_mean_ratio,paid_candidate_mean_ratio,paid_oracle_mean_ratio,median_pathwise_ratio,p90_pathwise_ratio,p95_pathwise_ratio,p99_pathwise_ratio,max_pathwise_ratio,fraction_paths_harmed,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,mean_cost_multiplier,mean_net_numerator_threshold,decision_efficiency
1e-10,80,4,primary,sample_variance,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.5415881624810755e-21,1.8464166430798053e-21,1.5415881624810755e-21,1.5548865446336517e-21,1.1031851434665731,1.0937499999999998,1.3100244621224044,1.0937499999999998,1.1034715558411357,1.1067330714995924,1.1078229296184436,1.1099771597624404,1.1110758336232858,1.0,0.043625000000000004,0.16595,0.7904250000000002,0.16595,0.043625000000000004,0.0,0.0,0.043625000000000004,1.09375,0.9142857142857145,
1e-10,80,4,primary,sample_variance,0.3333333333333333,15,200.0,True,5.800350314162921e-21,6.591307175185137e-21,7.012360492969805e-21,6.589604462832533e-21,6.6026962394328874e-21,1.1383271495362701,1.1363636363636362,1.2089546515574197,1.1360700829986874,1.1385577812890844,1.1392964020061678,1.1396839861739791,1.1404068124706035,1.1407574160455567,1.0,0.027975000000000003,0.05815000000000001,0.913875,0.058175,0.027325000000000002,0.00435,0.0,0.027975000000000003,1.1363636363636365,0.8800000000000003,-6.688777602586857
1e-10,80,4,primary,sample_variance,0.3333333333333333,30,200.0,True,2.809094472807586e-20,4.012992104010837e-20,4.137981230024795e-20,4.012992104010837e-20,4.0150826729423594e-20,1.4293156431045315,1.4285714285714286,1.4730658830028724,1.4285714285714286,1.429239132359909,1.4299058793513588,1.4301250676525719,1.4303552424072645,1.430572684744745,1.0,0.016725,0.029125000000000005,0.9541499999999999,0.029125000000000005,0.016725,0.0,0.0,0.016725,1.4285714285714284,0.7,
1e-10,80,4,primary,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.1766915692169063e-20,1.6087605459258194e-20,1.6746196478765854e-20,1.6087037888473994e-20,1.6102803171163378e-20,1.2236093120357916,1.2195616883116882,1.3306816655608988,1.2194638371900386,1.2237561564967097,1.2253117842857062,1.2258773278149981,1.2269130715467693,1.227468644804529,1.0,0.02944166666666667,0.08440833333333332,0.8861500000000001,0.08441666666666665,0.029225000000000004,0.00145,0.0,0.02944166666666667,1.2195616883116884,0.8314285714285715,-41.365123422877325
1e-10,80,8,primary,sample_variance,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.6443607066464805e-21,1.9695110859517926e-21,1.6443607066464805e-21,1.6455555241070992e-21,1.167514384383601,1.1666666666666665,1.3973594262638982,1.1666666666666665,1.1678189792212421,1.1689736974754132,1.1689760101011961,1.1701427676171865,1.1712792765479216,1.0,0.0036749999999999994,0.09982500000000001,0.8965,0.09982500000000001,0.0036749999999999994,0.0,0.0,0.0036749999999999994,1.1666666666666665,0.8571428571428571,
1e-10,80,8,primary,sample_variance,0.3333333333333333,15,200.0,True,5.800350314162921e-21,7.25043789270365e-21,7.713596542266785e-21,7.248564909115787e-21,7.251272342884039e-21,1.2501438620316345,1.2499999999999998,1.3298501167131618,1.2496770912985562,1.250000000000004,1.2504036250792665,1.2504042782457554,1.2508069572053635,1.2508093164732377,1.0,0.0021,0.016525,0.9813749999999999,0.016475000000000004,0.001925,0.004824999999999999,0.0,0.0021,1.25,0.8,-0.44551921639646785
1e-10,80,8,primary,sample_variance,0.3333333333333333,30,200.0,True,2.809094472807586e-20,5.618188945615171e-20,5.793173722034713e-20,5.618188945615171e-20,5.618337695733045e-20,2.000052953049217,2.0,2.0622922362040215,2.0,2.0000000000000036,2.0003112184546734,2.0003118608327046,2.0003155182259165,2.000624021676908,1.0,0.00085,0.004125,0.9950249999999999,0.004125,0.00085,0.0,0.0,0.00085,2.0,0.5,
1e-10,80,8,primary,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.1766915692169063e-20,2.1692229351833948e-20,2.253828161618857e-20,2.1691605023971328e-20,2.1693401608107197e-20,1.4725703998214843,1.472222222222222,1.5965005930603606,1.4721145859884075,1.4726063264070832,1.4732295136697846,1.4732307163932188,1.4737550810161555,1.474237538232689,1.0,0.002208333333333333,0.04015833333333334,0.9576333333333333,0.04014166666666667,0.0021499999999999996,0.0016083333333333331,0.0,0.002208333333333333,1.472222222222222,0.719047619047619,-3.2347620027464226
1e-10,80,16,primary,sample_variance,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.8973392768997852e-21,2.272512791482838e-21,1.8973392768997852e-21,1.8973486516812226e-21,1.3461604975199155,1.3461538461538458,1.6123377995352675,1.3461538461538458,1.346153846153844,1.3461538461538516,1.3461538461538518,1.3461538461538525,1.3474841338947783,1.0,2.5e-05,0.04817500000000001,0.9518000000000001,0.04817500000000001,2.5e-05,0.0,0.0,2.5e-05,1.3461538461538465,0.7428571428571429,
1e-10,80,16,primary,sample_variance,0.3333333333333333,15,200.0,True,5.800350314162921e-21,9.063047365879562e-21,9.641995677833483e-21,9.060706136394732e-21,9.063012247437294e-21,1.5624939454618483,1.5624999999999996,1.6623126458914523,1.562096364123195,1.5625,1.5625000000000084,1.5625000000000087,1.5625000000000087,1.5625000000000087,1.0,7.5e-05,0.002825,0.9971,0.002825,0.0,0.004925,0.0,7.5e-05,1.5625,0.6399999999999999,0.014999999998047105
1e-10,80,16,primary,sample_variance,0.3333333333333333,30,200.0,True,2.809094472807586e-20,2.809094472807586e-19,2.8965868610173565e-19,2.809094472807586e-19,2.8090944728075857e-19,10.0,10.000000000000002,10.311461181020109,10.000000000000002,10.0,10.000000000000039,10.00000000000004,10.000000000000055,10.000000000000055,1.0,0.0,0.00017500000000000003,0.999825,0.00017500000000000003,0.0,0.0,0.0,0.0,10.0,0.1,
1e-10,80,16,primary,sample_variance,0.3333333333333333,equal_rank,200.0,True,1.1766915692169063e-20,9.728994464117932e-20,1.0052439819035065e-19,9.728916423135104e-20,9.728993605995903e-20,4.302884814327254,4.302884615384616,4.528703875482276,4.302750070092348,4.302884615384614,4.302884615384634,4.302884615384634,4.302884615384639,4.303328044631614,1.0,3.333333333333333e-05,0.01705833333333334,0.9829083333333334,0.01705833333333334,8.333333333333334e-06,0.0016416666666666665,0.0,3.333333333333333e-05,4.302884615384616,0.4942857142857143,-0.001478629500958966
1e-10,80,32,primary,sample_variance,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,2.740601177744135e-21,3.2825184765863208e-21,2.740601177744135e-21,2.740601177744135e-21,1.9444444444444446,1.9444444444444446,2.328932377106497,1.9444444444444446,1.9444444444444444,1.9444444444444526,1.9444444444444526,1.9444444444444529,1.9444444444444529,1.0,0.0,0.013675000000000001,0.9863249999999999,0.013675000000000001,0.0,0.0,0.0,0.0,1.944444444444444,0.5142857142857142,
1e-10,80,32,primary,sample_variance,0.3333333333333333,15,200.0,True,5.800350314162921e-21,1.8126094731759125e-20,1.9283991355666966e-20,1.8121412272789464e-20,1.8126094731759134e-20,3.125000000000001,3.124999999999999,3.3246252917829047,3.12419272824639,3.125,3.125000000000017,3.1250000000000173,3.1250000000000173,3.1250000000000173,1.0,0.0,0.000125,0.9998750000000001,0.000125,0.0,0.005,0.0,0.0,3.125,0.31999999999999995,-2.2004446847780226e-12
1e-10,80,32,primary,sample_variance,0.3333333333333333,30,200.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1e-10,80,32,primary,sample_variance,0.3333333333333333,equal_rank,,False,,,,,,,,,,,,,,,,,,,,,,,,,,
1e-10,160,4,primary,sample_variance,0.3333333333333333,5,200.0,True,6.577442826585923e-22,6.851502944360337e-22,8.206296191465802e-22,6.851502944360337e-22,6.9106068650384485e-22,1.0506525175872121,1.0416666666666667,1.2476423448784806,1.0416666666666667,1.0509252912772782,1.054031496666277,1.0550694567794658,1.0571211045356497,1.058167460593609,1.0,0.043625000000000004,0.16595,0.7904250000000002,0.16595,0.043625000000000004,0.0,0.0,0.043625000000000004,1.0416666666666665,0.9600000000000003,
