eta,budget,s,pair,estimator,epsilon,rank_scope,paths,evaluable,original_baseline_mean,paid_baseline_mean,paid_candidate_mean,paid_oracle_mean,paid_selected_mean,selected_mean_ratio,paid_baseline_mean_ratio,paid_candidate_mean_ratio,paid_oracle_mean_ratio,median_pathwise_ratio,p90_pathwise_ratio,p95_pathwise_ratio,p99_pathwise_ratio,max_pathwise_ratio,fraction_paths_harmed,accept_probability,reject_probability,abstain_probability,correct_paid_order_probability,false_candidate_probability,missed_paid_candidate_probability,net_beneficial_accept_probability,net_harmful_accept_probability,mean_cost_multiplier,mean_net_numerator_threshold,decision_efficiency
1e-10,80,4,left,mom_w1,0.0,5,200.0,True,1.4094520342684121e-21,1.494873369678619e-21,0.03012989711782328,1.494873369678619e-21,1.494873369678619e-21,1.0606060606060606,1.0606060606060606,2.137702907602844e+19,1.0606060606060606,1.0606060606060606,1.0606060606060643,1.060606060606065,1.0606060606060659,1.0606060606060659,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0606060606060606,0.942857142857143,
1e-10,80,4,left,mom_w1,0.0,15,200.0,True,5.800350314162921e-21,6.304728602351002e-21,0.04321689556756528,6.304728602351002e-21,6.3047286023509996e-21,1.0869565217391302,1.0869565217391306,7.450738873829922e+18,1.0869565217391306,1.0869565217391304,1.086956521739134,1.0869565217391348,1.086956521739135,1.086956521739135,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0869565217391306,0.92,
1e-10,80,4,left,mom_w1,0.0,30,200.0,True,2.809094472807586e-20,3.511368091009483e-20,0.12425029986324108,3.511368091009483e-20,3.511368091009482e-20,1.25,1.2500000000000002,4.423144221954825e+18,1.2500000000000002,1.25,1.2500000000000049,1.250000000000005,1.2500000000000069,1.2500000000000069,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,0.8,
1e-10,80,4,left,mom_w1,0.0,equal_rank,200.0,True,1.1766915692169063e-20,1.4304427627374814e-20,0.06586569751620988,1.4304427627374814e-20,1.4304427627374814e-20,1.13252086078173,1.1325208607817305,1.1083637390604397e+19,1.1325208607817305,1.1325208607817303,1.1325208607817345,1.132520860781735,1.132520860781736,1.132520860781736,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190476,
1e-10,80,4,left,mom_w1,0.2,5,200.0,True,1.4094520342684121e-21,1.494873369678619e-21,0.03012989711782328,1.494873369678619e-21,1.494873369678619e-21,1.0606060606060606,1.0606060606060606,2.137702907602844e+19,1.0606060606060606,1.0606060606060606,1.0606060606060643,1.060606060606065,1.0606060606060659,1.0606060606060659,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0606060606060606,0.942857142857143,
1e-10,80,4,left,mom_w1,0.2,15,200.0,True,5.800350314162921e-21,6.304728602351002e-21,0.04321689556756528,6.304728602351002e-21,6.3047286023509996e-21,1.0869565217391302,1.0869565217391306,7.450738873829922e+18,1.0869565217391306,1.0869565217391304,1.086956521739134,1.0869565217391348,1.086956521739135,1.086956521739135,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0869565217391306,0.92,
1e-10,80,4,left,mom_w1,0.2,30,200.0,True,2.809094472807586e-20,3.511368091009483e-20,0.12425029986324108,3.511368091009483e-20,3.511368091009482e-20,1.25,1.2500000000000002,4.423144221954825e+18,1.2500000000000002,1.25,1.2500000000000049,1.250000000000005,1.2500000000000069,1.2500000000000069,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.25,0.8,
1e-10,80,4,left,mom_w1,0.2,equal_rank,200.0,True,1.1766915692169063e-20,1.4304427627374814e-20,0.06586569751620988,1.4304427627374814e-20,1.4304427627374814e-20,1.13252086078173,1.1325208607817305,1.1083637390604397e+19,1.1325208607817305,1.1325208607817303,1.1325208607817345,1.132520860781735,1.132520860781736,1.132520860781736,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.1325208607817305,0.8876190476190476,
1e-10,80,4,left,mom_w1,0.3333333333333333,5,200.0,True,1.4094520342684121e-21,1.494873369678619e-21,0.03012989711782328,1.494873369678619e-21,1.494873369678619e-21,1.0606060606060606,1.0606060606060606,2.137702907602844e+19,1.0606060606060606,1.0606060606060606,1.0606060606060643,1.060606060606065,1.0606060606060659,1.0606060606060659,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0606060606060606,0.942857142857143,
1e-10,80,4,left,mom_w1,0.3333333333333333,15,200.0,True,5.800350314162921e-21,6.304728602351002e-21,0.04321689556756528,6.304728602351002e-21,6.3047286023509996e-21,1.0869565217391302,1.0869565217391306,7.450738873829922e+18,1.0869565217391306,1.0869565217391304,1.086956521739134,1.0869565217391348,1.086956521739135,1.086956521739135,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0869565217391306,0.92,
