family,m,q,mse
Power-Law (c=2.0),160,10,1.1318768250916062e-05
Power-Law (c=2.0),160,11,8.499103217658334e-06
Power-Law (c=2.0),160,12,6.422603490817175e-06
Power-Law (c=2.0),160,13,5.823690274600256e-06
Power-Law (c=2.0),160,14,3.847309081539319e-06
Power-Law (c=2.0),160,15,3.330505848551204e-06
Power-Law (c=2.0),160,16,2.6246005811575754e-06
Power-Law (c=2.0),160,17,2.117407235724438e-06
Power-Law (c=2.0),160,18,2.0615523382061763e-06
Power-Law (c=2.0),160,19,1.532094103707847e-06
Power-Law (c=2.0),160,20,1.4224357140210287e-06
Power-Law (c=2.0),160,21,1.2033762731489584e-06
Power-Law (c=2.0),160,22,1.1716737092340881e-06
Power-Law (c=2.0),160,23,9.117620134158496e-07
Power-Law (c=2.0),160,24,1.0368487753317968e-06
Power-Law (c=2.0),160,25,7.393461663505637e-07
Power-Law (c=2.0),160,26,6.845008872248227e-07
Power-Law (c=2.0),160,27,6.016027602423798e-07
Power-Law (c=2.0),160,28,6.771794827781524e-07
Power-Law (c=2.0),160,29,6.165721779791982e-07
Power-Law (c=2.0),160,30,5.50162715538577e-07
Power-Law (c=2.0),160,31,4.904950114606777e-07
Power-Law (c=2.0),160,32,3.9303940490799887e-07
Power-Law (c=2.0),160,33,3.9957926236500757e-07
Power-Law (c=2.0),160,34,3.8750440613699947e-07
Power-Law (c=2.0),160,35,2.813129093741181e-07
Power-Law (c=2.0),160,36,3.377913720433386e-07
Power-Law (c=2.0),160,37,2.7469468664013656e-07
Power-Law (c=2.0),160,38,2.8143727599848755e-07
Power-Law (c=2.0),160,39,2.5864537248036816e-07
Power-Law (c=2.0),160,40,2.3558868086794255e-07
Power-Law (c=2.0),160,41,2.527771622983914e-07
Power-Law (c=2.0),160,42,2.1877587815918873e-07
Power-Law (c=2.0),160,43,2.1674024089202696e-07
Power-Law (c=2.0),160,44,1.9299755401225288e-07
Power-Law (c=2.0),160,45,2.0592622304362842e-07
Power-Law (c=2.0),160,46,2.0954105831257287e-07
Power-Law (c=2.0),160,47,2.2454227765475633e-07
Power-Law (c=2.0),160,48,1.4988801959200635e-07
Power-Law (c=2.0),160,49,1.4249593114209104e-07
Power-Law (c=2.0),160,50,1.539429494098631e-07
Power-Law (c=2.0),160,51,1.549373106599467e-07
Power-Law (c=2.0),160,52,1.6195087718804142e-07
Power-Law (c=2.0),160,53,1.7040215950655107e-07
Power-Law (c=2.0),160,54,1.486781088522012e-07
Power-Law (c=2.0),160,55,1.3353382301389034e-07
Power-Law (c=2.0),160,56,1.3099847113958728e-07
Power-Law (c=2.0),160,57,1.2634641574105553e-07
Power-Law (c=2.0),160,58,1.4532555046924373e-07
Power-Law (c=2.0),160,59,1.444776470358631e-07
Power-Law (c=2.0),160,60,1.3025806990387477e-07
Power-Law (c=2.0),160,61,1.4269185187929808e-07
Power-Law (c=2.0),160,62,1.1489262980649241e-07
Power-Law (c=2.0),160,63,1.6885948237313815e-07
Power-Law (c=2.0),160,64,1.4377372413627604e-07
Power-Law (c=2.0),160,65,1.516242619348074e-07
Power-Law (c=2.0),160,66,1.381836714596548e-07
Power-Law (c=2.0),160,67,1.4094164921713964e-07
Power-Law (c=2.0),160,68,1.668186197266469e-07
Power-Law (c=2.0),160,69,1.2349220241271505e-07
Power-Law (c=2.0),160,70,1.9079652887408307e-07
Power-Law (c=2.0),160,71,1.8243558792352094e-07
Power-Law (c=2.0),160,72,1.8220457008559777e-07
Power-Law (c=2.0),160,73,2.0701003057556556e-07
Power-Law (c=2.0),160,74,2.0318969477933642e-07
Power-Law (c=2.0),160,75,2.7379042951508654e-07
Power-Law (c=2.0),160,76,3.241425590743354e-07
Power-Law (c=2.0),160,77,4.54091467430094e-07
Power-Law (c=2.0),160,78,5.730850734421163e-07
Power-Law (c=2.0),160,79,1.2250408839781446e-06
Power-Law (c=0.5),160,10,0.0279342802598777
Power-Law (c=0.5),160,11,0.022692946761255283
Power-Law (c=0.5),160,12,0.02427976168501262
Power-Law (c=0.5),160,13,0.02649040860686547
Power-Law (c=0.5),160,14,0.021607788354170918
Power-Law (c=0.5),160,15,0.019493128925324076
Power-Law (c=0.5),160,16,0.023789770799166162
Power-Law (c=0.5),160,17,0.023638660178357397
Power-Law (c=0.5),160,18,0.02522342550045663
Power-Law (c=0.5),160,19,0.023357656641956707
Power-Law (c=0.5),160,20,0.021619648601844097
Power-Law (c=0.5),160,21,0.018999432491735736
Power-Law (c=0.5),160,22,0.017758928190230065
Power-Law (c=0.5),160,23,0.02019087998126818
Power-Law (c=0.5),160,24,0.023476023454166627
Power-Law (c=0.5),160,25,0.02668448113723778
Power-Law (c=0.5),160,26,0.02328252569197634
Power-Law (c=0.5),160,27,0.018702991133643324
Power-Law (c=0.5),160,28,0.020658902250005284
Power-Law (c=0.5),160,29,0.02125391336569209
Power-Law (c=0.5),160,30,0.02240224041080298
Power-Law (c=0.5),160,31,0.020660926648817978
Power-Law (c=0.5),160,32,0.019052539462593727
Power-Law (c=0.5),160,33,0.024176526548510813
Power-Law (c=0.5),160,34,0.023137206076231855
Power-Law (c=0.5),160,35,0.025316575286931483
Power-Law (c=0.5),160,36,0.02257016128112079
Power-Law (c=0.5),160,37,0.022984555554891973
Power-Law (c=0.5),160,38,0.02489355951680996
Power-Law (c=0.5),160,39,0.02487969485432295
Power-Law (c=0.5),160,40,0.022038005372149908
Power-Law (c=0.5),160,41,0.022270962113106064
Power-Law (c=0.5),160,42,0.02551684443594252
Power-Law (c=0.5),160,43,0.02576803013010074
Power-Law (c=0.5),160,44,0.029480054804732328
Power-Law (c=0.5),160,45,0.02828099065460337
Power-Law (c=0.5),160,46,0.029383608386022508
Power-Law (c=0.5),160,47,0.029152036576040555
Power-Law (c=0.5),160,48,0.026800649847861246
Power-Law (c=0.5),160,49,0.031364131692191655
Power-Law (c=0.5),160,50,0.02707865983172391
Power-Law (c=0.5),160,51,0.030889643569758915
Power-Law (c=0.5),160,52,0.03268784647425253
Power-Law (c=0.5),160,53,0.0314757997963942
Power-Law (c=0.5),160,54,0.029652861192548858
Power-Law (c=0.5),160,55,0.03256528505376413
Power-Law (c=0.5),160,56,0.03992047801582403
Power-Law (c=0.5),160,57,0.03160063396979043
Power-Law (c=0.5),160,58,0.030243321842445842
Power-Law (c=0.5),160,59,0.03252833386403332
Power-Law (c=0.5),160,60,0.05337290769499706
Power-Law (c=0.5),160,61,0.036239645566542605
Power-Law (c=0.5),160,62,0.04563291225616552
Power-Law (c=0.5),160,63,0.054430022129682024
Power-Law (c=0.5),160,64,0.05866748300652831
Power-Law (c=0.5),160,65,0.04443129994411075
Power-Law (c=0.5),160,66,0.05219705299112652
Power-Law (c=0.5),160,67,0.05689713430936295
Power-Law (c=0.5),160,68,0.058440517125994004
Power-Law (c=0.5),160,69,0.0766852490796014
Power-Law (c=0.5),160,70,0.07694233082993782
Power-Law (c=0.5),160,71,0.08846631217888806
Power-Law (c=0.5),160,72,0.10317093511555978
Power-Law (c=0.5),160,73,0.10799852196699133
Power-Law (c=0.5),160,74,0.10973081480190748
Power-Law (c=0.5),160,75,0.1389895439704609
Power-Law (c=0.5),160,76,0.1701265741837336
Power-Law (c=0.5),160,77,0.26451677446596
Power-Law (c=0.5),160,78,0.4375733976619196
Power-Law (c=0.5),160,79,0.7257799752606168
Exponential (alpha=0.05),160,10,0.05903500867234012
Exponential (alpha=0.05),160,11,0.06332404690627472
Exponential (alpha=0.05),160,12,0.05852506528028818
Exponential (alpha=0.05),160,13,0.056768482834703884
Exponential (alpha=0.05),160,14,0.05099358236118089
Exponential (alpha=0.05),160,15,0.05456159222680002
Exponential (alpha=0.05),160,16,0.05519367695767551
Exponential (alpha=0.05),160,17,0.050157036382726596
Exponential (alpha=0.05),160,18,0.05455528559326536
Exponential (alpha=0.05),160,19,0.03612472367423261
Exponential (alpha=0.05),160,20,0.038079695615006494
Exponential (alpha=0.05),160,21,0.037506193924864706
Exponential (alpha=0.05),160,22,0.034090904709402556
Exponential (alpha=0.05),160,23,0.03583613121681252
Exponential (alpha=0.05),160,24,0.03662998011132926
Exponential (alpha=0.05),160,25,0.028957199916186154
Exponential (alpha=0.05),160,26,0.023647848470220615
Exponential (alpha=0.05),160,27,0.022095712816203084
Exponential (alpha=0.05),160,28,0.022591527547316886
Exponential (alpha=0.05),160,29,0.02200700254217816
Exponential (alpha=0.05),160,30,0.02297022376350169
Exponential (alpha=0.05),160,31,0.019168336414456442
Exponential (alpha=0.05),160,32,0.01665129229407593
Exponential (alpha=0.05),160,33,0.01617667810483171
Exponential (alpha=0.05),160,34,0.01678736565016766
Exponential (alpha=0.05),160,35,0.015519730227437191
