matrix_name,family,param,q,mse,rmse,rel_rmse
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,2,0.03572815076804934,0.18901891642914828,0.0027796899474874736
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,4,0.07650673576460705,0.2765985100549297,0.004067625147866611
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,6,0.11031970946804084,0.33214410948869894,0.004884472198363217
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,8,0.17368776185661652,0.4167586374109318,0.006128803491337229
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,10,0.22204858579293854,0.47122031555625715,0.0069297105228861315
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,12,0.2559609846544939,0.5059258687342385,0.007440086304915269
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,14,0.27868720428029337,0.5279083294287876,0.007763357785717462
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,16,0.380359109359348,0.616732607666684,0.00906959717156888
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,18,0.5124436631150374,0.7158517046952095,0.010527230951400136
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,20,0.7197989444035627,0.8484096560056131,0.012476612588317835
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,22,1.092761300944706,1.0453522377384121,0.015372827025564877
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,24,1.4524731788736038,1.205185951989818,0.01772332282337967
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,26,2.1579834742070023,1.4690076494719155,0.02160305366870463
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,28,4.858085292848662,2.20410646132365,0.03241333031358307
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,2,0.045319114051726776,0.21288286462683365,0.004093901242823724
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,4,0.0739981857929502,0.27202607557539443,0.005231270684142201
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,6,0.08096660960026876,0.284546322415646,0.005472044661839346
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,8,0.08914740610971571,0.2985756287939719,0.005741839015268691
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,10,0.16892542934778734,0.4110053884656348,0.007903949778185284
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,12,0.13474365679766462,0.36707445674912415,0.007059124168252388
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,14,0.19384297097345857,0.44027601680475237,0.008466846477014468
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,16,0.19033640367612564,0.4362756051810892,0.008389915484251716
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,18,0.34491966661792056,0.5872986179261114,0.011294204190886756
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,20,0.5123573464477326,0.7157914126669392,0.013765219474364217
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,22,0.608230803991097,0.779891533478276,0.014997914105351461
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,24,0.8702748781536527,0.9328852438288713,0.01794010084286291
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,26,1.2390052458604386,1.1131061251562848,0.021405887022236246
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,28,3.239924971455856,1.7999791586170812,0.034614983819559256
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,2,0.05568064654119652,0.23596746924353051,0.010171011605324591
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,4,0.04539074662623828,0.21305104230263291,0.00918323458201004
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,6,0.03941036619497274,0.19852044276339084,0.008556915636353054
