matrix_name,family,param,true_trace,mean_pilot_gamma_gap,mean_pilot_tau_ratio,mean_pilot_kappa,mean_pilot_decay_slope,mean_pilot_energy_top4,q_oracle_star,mse_oracle_star,mse_standard_hutch,oracle_gain_ratio,gated_trigger_rate,mean_q_gated,mse_gated,achieved_gain_ratio,adaptation_efficiency,regime
"Step (r=4, drop=1.5)",Step Height Sweep,1.5,68.00000000000003,0.06415484403137338,1.0662574895876806,1.154203250623805,-0.07362941660923344,0.5193251398496614,2,0.03572815076804934,0.7197989444035627,20.146549119672276,0.0,20.0,0.7528229763004843,0.9561330712045905,-0.04827575187271841,Under-triggered
"Step (r=4, drop=2.0)",Step Height Sweep,2.0,52.0,0.15185461086337237,1.1639909924838552,1.442318147006412,-0.1939852772800108,0.553838344967664,2,0.045319114051726776,0.5123573464477326,11.305546394021142,0.0,20.0,0.3659248893161925,1.4001708039187493,0.3135341969335365,Under-triggered
"Step (r=4, drop=5.0)",Step Height Sweep,5.0,23.2,0.7966854302136618,2.2181764295878343,4.270537210572906,-0.8586460176473107,0.7690083471841807,10,0.02801823471181969,0.07315403907381714,2.610943902292195,0.0,20.0,0.06521151722776519,1.1217963050654225,0.1759694317697644,Under-triggered
"Step (r=4, drop=10.0)",Step Height Sweep,10.0,13.600000000000001,1.8523158629026661,6.374565060433602,9.549856161524431,-1.3759786317693792,0.8936850148296639,12,0.0072289231981453,0.018397462372912662,2.5449796420071022,0.9666666666666667,8.4,0.013852515126776328,1.3280954544746277,0.4069419621506592,Obvious Adapt (Captured)
"Step (r=4, drop=50.0)",Step Height Sweep,50.0,5.919999999999999,3.874570235231837,48.16199551391904,49.883967182037225,-2.397839234450358,0.9801379526172002,10,0.00017714791935296342,0.0007850092444696571,4.431377163993346,1.0,8.0,0.00018158993348093072,4.3229777632585185,0.9926923889636925,Obvious Adapt (Captured)
"Step (r=4, drop=100.0)",Step Height Sweep,100.0,4.959999999999999,4.597263833208407,99.2124820218447,99.94519960694188,-2.824158550194021,0.9900697408426482,8,3.631005429755518e-05,0.00017415256885165977,4.796262969603595,1.0,8.0,4.788209772081696e-05,3.6371123476477547,0.9160488078682021,Obvious Adapt (Captured)
"Step (r=4, drop=500.0)",Step Height Sweep,500.0,4.191999999999999,6.214250769526876,499.8213674695251,499.9876957334595,-3.8117154321543434,0.9980037274455966,6,7.096245007546397e-07,6.139076347801704e-06,8.6511617641065,1.0,8.0,1.4888259159185616e-06,4.123434635414762,0.8564861726165397,Obvious Adapt (Captured)
"Step (r=4, drop=1000.0)",Step Height Sweep,1000.0,4.0959999999999965,6.907672512810681,999.9172372535688,999.9947819176584,-4.236872271664036,0.9990009691535887,6,2.01673470534648e-07,1.1904532429321012e-06,5.902874779593671,1.0,8.0,2.6840603030308835e-07,4.435270107708916,0.9325101891934574,Obvious Adapt (Captured)
"Step (r=2, drop=100)",Step Location Sweep,2.0,2.979999999999999,4.602041885442269,99.68765874879217,99.90252320092038,-2.6025869135774293,0.980543807266644,6,2.1693921091703602e-05,0.00016062617183971173,7.404201903414314,1.0,8.0,4.305678728630657e-05,3.730565654414164,0.8462353695446105,Obvious Adapt (Captured)
"Step (r=4, drop=100)",Step Location Sweep,4.0,4.959999999999999,4.59673934191269,99.16045958244862,99.94296814866762,-2.824162189188418,0.9900687938315462,8,3.7920139696244857e-05,0.00014522818253908044,3.8298430254322624,1.0,8.0,4.780322908194754e-05,3.0380412647463717,0.9078998262956155,Obvious Adapt (Captured)
