alpha,trial,extrapolation_dist,target_q,alpha_hat,delta_alpha,loss_pilot,log_tail_error,theoretical_exponent
0.05,0,10,20,0.09033379318925829,0.04033379318925828,0.003099649055521979,2.065449582476872,1.6133517275703313
0.05,0,20,30,0.09033379318925829,0.04033379318925828,0.003099649055521979,2.872125446262037,2.420027591355497
0.05,0,30,40,0.09033379318925829,0.04033379318925828,0.003099649055521979,3.6788013100472026,3.2267034551406626
0.05,0,40,50,0.09033379318925829,0.04033379318925828,0.003099649055521979,4.485477173832368,4.033379318925828
0.05,0,50,60,0.09033379318925829,0.04033379318925828,0.003099649055521979,5.292153037617535,4.840055182710994
0.05,0,60,70,0.09033379318925829,0.04033379318925828,0.003099649055521979,6.0988289014027,5.64673104649616
0.05,0,70,80,0.09033379318925829,0.04033379318925828,0.003099649055521979,6.905504765187865,6.453406910281325
0.05,1,10,20,0.07191797739378757,0.021917977393787563,0.0013469887589113677,1.1187496317542802,0.8767190957515025
0.05,1,20,30,0.07191797739378757,0.021917977393787563,0.0013469887589113677,1.557109179630031,1.315078643627254
0.05,1,30,40,0.07191797739378757,0.021917977393787563,0.0013469887589113677,1.9954687275057825,1.753438191503005
0.05,1,40,50,0.07191797739378757,0.021917977393787563,0.0013469887589113677,2.433828275381534,2.191797739378756
0.05,1,50,60,0.07191797739378757,0.021917977393787563,0.0013469887589113677,2.8721878232572853,2.630157287254508
0.05,1,60,70,0.07191797739378757,0.021917977393787563,0.0013469887589113677,3.310547371133036,3.068516835130259
0.05,1,70,80,0.07191797739378757,0.021917977393787563,0.0013469887589113677,3.748906919008788,3.50687638300601
0.05,2,10,20,0.09771618958515127,0.04771618958515127,0.005700963564745862,2.43214991162033,1.9086475834060508
0.05,2,20,30,0.09771618958515127,0.04771618958515127,0.005700963564745862,3.3864737033233543,2.862971375109076
0.05,2,30,40,0.09771618958515127,0.04771618958515127,0.005700963564745862,4.340797495026381,3.8172951668121016
0.05,2,40,50,0.09771618958515127,0.04771618958515127,0.005700963564745862,5.295121286729406,4.771618958515127
0.05,2,50,60,0.09771618958515127,0.04771618958515127,0.005700963564745862,6.249445078432432,5.725942750218152
0.05,2,60,70,0.09771618958515127,0.04771618958515127,0.005700963564745862,7.203768870135456,6.680266541921178
0.05,2,70,80,0.09771618958515127,0.04771618958515127,0.005700963564745862,8.15809266183848,7.634590333624203
0.05,3,10,20,0.10694906421504155,0.05694906421504155,0.013291685872024794,2.88283217683862,2.277962568601662
0.05,3,20,30,0.10694906421504155,0.05694906421504155,0.013291685872024794,4.02181346113945,3.416943852902493
0.05,3,30,40,0.10694906421504155,0.05694906421504155,0.013291685872024794,5.160794745440281,4.555925137203324
0.05,3,40,50,0.10694906421504155,0.05694906421504155,0.013291685872024794,6.299776029741112,5.694906421504155
0.05,3,50,60,0.10694906421504155,0.05694906421504155,0.013291685872024794,7.438757314041943,6.833887705804986
0.05,3,60,70,0.10694906421504155,0.05694906421504155,0.013291685872024794,8.577738598342773,7.972868990105817
0.05,3,70,80,0.10694906421504155,0.05694906421504155,0.013291685872024794,9.716719882643606,9.111850274406647
0.05,4,10,20,0.09507829287165724,0.04507829287165724,0.005751895678318869,2.301820665520967,1.8031317148662895
0.05,4,20,30,0.09507829287165724,0.04507829287165724,0.005751895678318869,3.2033865229541116,2.7046975722994344
0.05,4,30,40,0.09507829287165724,0.04507829287165724,0.005751895678318869,4.104952380387257,3.606263429732579
0.05,4,40,50,0.09507829287165724,0.04507829287165724,0.005751895678318869,5.006518237820401,4.507829287165724
0.05,4,50,60,0.09507829287165724,0.04507829287165724,0.005751895678318869,5.908084095253546,5.409395144598869
0.05,4,60,70,0.09507829287165724,0.04507829287165724,0.005751895678318869,6.80964995268669,6.3109610020320135
0.05,4,70,80,0.09507829287165724,0.04507829287165724,0.005751895678318869,7.7112158101198345,7.212526859465158
0.05,5,10,20,0.0926363049472851,0.0426363049472851,0.0016318320367539763,2.1804872210478514,1.705452197891404
0.05,5,20,30,0.0926363049472851,0.0426363049472851,0.0016318320367539763,3.0332133199935534,2.558178296837106
0.05,5,30,40,0.0926363049472851,0.0426363049472851,0.0016318320367539763,3.885939418939255,3.410904395782808
0.05,5,40,50,0.0926363049472851,0.0426363049472851,0.0016318320367539763,4.738665517884957,4.26363049472851
0.05,5,50,60,0.0926363049472851,0.0426363049472851,0.0016318320367539763,5.591391616830659,5.116356593674212
0.05,5,60,70,0.0926363049472851,0.0426363049472851,0.0016318320367539763,6.44411771577636,5.969082692619914
0.05,5,70,80,0.0926363049472851,0.0426363049472851,0.0016318320367539763,7.296843814722062,6.821808791565616
0.05,6,10,20,0.07528374568842909,0.025283745688429088,0.0015588942733038868,1.2958351239322756,1.0113498275371635
0.05,6,20,30,0.07528374568842909,0.025283745688429088,0.0015588942733038868,1.8015100377008575,1.5170247413057454
0.05,6,30,40,0.07528374568842909,0.025283745688429088,0.0015588942733038868,2.307184951469439,2.022699655074327
0.05,6,40,50,0.07528374568842909,0.025283745688429088,0.0015588942733038868,2.812859865238021,2.5283745688429087
0.05,6,50,60,0.07528374568842909,0.025283745688429088,0.0015588942733038868,3.3185347790066024,3.0340494826114908
0.05,6,60,70,0.07528374568842909,0.025283745688429088,0.0015588942733038868,3.8242096927751836,3.5397243963800724
0.05,6,70,80,0.07528374568842909,0.025283745688429088,0.0015588942733038868,4.329884606543765,4.045399310148654
0.05,7,10,20,0.09189054656526348,0.041890546565263476,0.0010054372964343448,2.1432967523989457,1.675621862610539
0.05,7,20,30,0.09189054656526348,0.041890546565263476,0.0010054372964343448,2.9811076837042148,2.5134327939158085
0.05,7,30,40,0.09189054656526348,0.041890546565263476,0.0010054372964343448,3.8189186150094847,3.351243725221078
0.05,7,40,50,0.09189054656526348,0.041890546565263476,0.0010054372964343448,4.656729546314754,4.189054656526348
0.05,7,50,60,0.09189054656526348,0.041890546565263476,0.0010054372964343448,5.494540477620024,5.026865587831617
0.05,7,60,70,0.09189054656526348,0.041890546565263476,0.0010054372964343448,6.332351408925292,5.864676519136887
0.05,7,70,80,0.09189054656526348,0.041890546565263476,0.0010054372964343448,7.170162340230562,6.702487450442156
0.05,8,10,20,0.08421490307856311,0.034214903078563105,0.0022091906023720825,1.7564952301271968,1.3685961231425243
0.05,8,20,30,0.08421490307856311,0.034214903078563105,0.0022091906023720825,2.4407932916984585,2.0528941847137863
0.05,8,30,40,0.08421490307856311,0.034214903078563105,0.0022091906023720825,3.125091353269721,2.7371922462850486
0.05,8,40,50,0.08421490307856311,0.034214903078563105,0.0022091906023720825,3.809389414840983,3.4214903078563106
0.05,8,50,60,0.08421490307856311,0.034214903078563105,0.0022091906023720825,4.493687476412246,4.1057883694275725
0.05,8,60,70,0.08421490307856311,0.034214903078563105,0.0022091906023720825,5.177985537983507,4.7900864309988345
0.05,8,70,80,0.08421490307856311,0.034214903078563105,0.0022091906023720825,5.862283599554769,5.474384492570097
0.05,9,10,20,0.08700596114756666,0.03700596114756666,0.000801278218725546,1.898030837290257,1.4802384459026663
0.05,9,20,30,0.08700596114756666,0.03700596114756666,0.000801278218725546,2.63815006024159,2.2203576688539997
0.05,9,30,40,0.08700596114756666,0.03700596114756666,0.000801278218725546,3.3782692831929233,2.9604768918053326
0.05,9,40,50,0.08700596114756666,0.03700596114756666,0.000801278218725546,4.118388506144257,3.7005961147566655
0.05,9,50,60,0.08700596114756666,0.03700596114756666,0.000801278218725546,4.8585077290955905,4.440715337707999
0.05,9,60,70,0.08700596114756666,0.03700596114756666,0.000801278218725546,5.598626952046922,5.180834560659332
0.05,9,70,80,0.08700596114756666,0.03700596114756666,0.000801278218725546,6.338746174998255,5.920953783610665
0.05,10,10,20,0.08215092640383763,0.032150926403837626,0.0021078149866723623,1.6511291566305062,1.286037056153505
0.05,10,20,30,0.08215092640383763,0.032150926403837626,0.0021078149866723623,2.294147684707258,1.9290555842302575
0.05,10,30,40,0.08215092640383763,0.032150926403837626,0.0021078149866723623,2.937166212784011,2.57207411230701
0.05,10,40,50,0.08215092640383763,0.032150926403837626,0.0021078149866723623,3.5801847408607634,3.2150926403837627
0.05,10,50,60,0.08215092640383763,0.032150926403837626,0.0021078149866723623,4.223203268937516,3.858111168460515
0.05,10,60,70,0.08215092640383763,0.032150926403837626,0.0021078149866723623,4.866221797014268,4.501129696537268
0.05,10,70,80,0.08215092640383763,0.032150926403837626,0.0021078149866723623,5.509240325091022,5.14414822461402
0.05,11,10,20,0.09468562525120428,0.04468562525120427,0.0002683223234810642,2.28235572524812,1.787425010048171
0.05,11,20,30,0.09468562525120428,0.04468562525120427,0.0002683223234810642,3.176068230272205,2.6811375150722565
0.05,11,30,40,0.09468562525120428,0.04468562525120427,0.0002683223234810642,4.069780735296291,3.574850020096342
0.05,11,40,50,0.09468562525120428,0.04468562525120427,0.0002683223234810642,4.963493240320377,4.4685625251204275
0.05,11,50,60,0.09468562525120428,0.04468562525120427,0.0002683223234810642,5.857205745344462,5.362275030144513
0.05,11,60,70,0.09468562525120428,0.04468562525120427,0.0002683223234810642,6.750918250368547,6.2559875351685985
0.05,11,70,80,0.09468562525120428,0.04468562525120427,0.0002683223234810642,7.644630755392632,7.149700040192684
0.05,12,10,20,0.08647566391044466,0.036475663910444656,0.0012301634896680813,1.8712203169566828,1.4590265564177862
0.05,12,20,30,0.08647566391044466,0.036475663910444656,0.0012301634896680813,2.600733595165576,2.1885398346266793
