c,k,l,median_rel_err,iqr_rel_err,mean_rel_err,std_rel_err,is_optuna_best,is_standard_hutchpp,error_reduction_ratio_vs_std,exact_trace
0.5,90,120,0.0011696154596699797,0.0022377458565791784,0.0017602773028929397,0.0014919242525946892,True,False,1.9654157325189705,43.28336199418217
0.5,70,160,0.0020055781699493632,0.0016920269138323376,0.0019772759835522233,0.0012051349506570054,False,False,1.1461934816985095,43.28336199418217
0.5,50,200,0.0016398616145141902,0.0017116445783989637,0.0018601191888513013,0.0011687852195906756,False,False,1.40181379031413,43.28336199418217
0.5,120,60,0.002587938466939621,0.0026198933589232894,0.002728978252063985,0.0023641990260797868,False,False,0.888267110983987,43.28336199418217
0.5,30,240,0.0013392882670891137,0.0017394563164395173,0.0017362995805027814,0.0015535929364470602,False,False,1.716419595334086,43.28336199418217
0.5,140,20,0.00434690078878067,0.004528908354801413,0.005121176510598464,0.003798263523859734,False,False,0.5288320891440466,43.28336199418217
0.5,100,100,0.0022987806254327857,0.002137325287766185,0.0023661797809493112,0.0017763207233879173,False,True,1.0,43.28336199418217
0.5,20,260,0.0018311340601856472,0.002211008915884367,0.0019915162335159757,0.001632880503222539,False,False,1.2553863069969475,43.28336199418217
0.5,80,140,0.0017233970999231238,0.0021238540989874603,0.0018777666017079384,0.0011789080658985984,False,False,1.3338659009785547,43.28336199418217
0.5,110,80,0.0016845076415001807,0.0028100052619253494,0.0022920618010408103,0.0021409090676915393,False,False,1.3646602537139865,43.28336199418217
0.5,40,220,0.0014595374286860776,0.0013034537179300886,0.0014821252482744164,0.0009421197496033318,False,False,1.5750062864110457,43.28336199418217
0.5,10,280,0.0017119072338430924,0.0020704987753778804,0.0019566371748581694,0.0014213566503322487,False,False,1.3428184541706798,43.28336199418217
0.5,60,180,0.001368403674268374,0.0012197494138904,0.0017395935537256105,0.0012439137356820254,False,False,1.6798994833610366,43.28336199418217
0.5,130,40,0.003729249487884085,0.004975503115424851,0.0038481661858210093,0.0027987497026651514,False,False,0.6164191033346702,43.28336199418217
1.0,90,120,0.0010631702955905093,0.001348243805302126,0.0014353122940383288,0.0009890765824949422,True,False,1.1592235222998013,6.792823429990525
1.0,70,160,0.0014422602600114682,0.0014542500355057726,0.0016224744841730667,0.0011051863558906863,False,False,0.8545281659838226,6.792823429990525
1.0,50,200,0.001177438558555048,0.0015032145362938855,0.001449369215944082,0.0011566047906650659,False,False,1.0467229953564758,6.792823429990525
1.0,120,60,0.0014321059544173088,0.0015534293494392421,0.0017143161695923692,0.0013013208017444722,False,False,0.8605871730771538,6.792823429990525
1.0,30,240,0.001727750322981413,0.0020684725374438707,0.0018860334187829014,0.0013497503844516717,False,False,0.7133276136405096,6.792823429990525
1.0,140,20,0.0021403323370671025,0.0026252672713283397,0.002553236562314547,0.0017820768921572386,False,False,0.5758227325331075,6.792823429990525
1.0,100,100,0.001232452014858951,0.0012334425291266294,0.0015159042375519824,0.0010017235201171606,False,True,1.0,6.792823429990525
1.0,20,260,0.0023880184956207094,0.003216666782971613,0.0027824267996572616,0.0019136662555040037,False,False,0.5160981864751446,6.792823429990525
1.0,80,140,0.0011366561658728725,0.0012143906583748682,0.0012992485580853226,0.0008745748240838785,False,False,1.08427865159427,6.792823429990525
1.0,110,80,0.0014576727538989842,0.0012335155428696949,0.001549369302615427,0.0008330942649228038,False,False,0.8454929349282186,6.792823429990525
1.0,40,220,0.0012410856444049836,0.0014477529602429345,0.0015226786349051822,0.0011466302477021733,False,False,0.9930434860922336,6.792823429990525
1.0,10,280,0.0040690496774492295,0.004664773028970695,0.0039734573881320175,0.0027189416075766274,False,False,0.302884484721145,6.792823429990525
1.0,60,180,0.001290019817223384,0.0014447760166469575,0.0014616344595195425,0.0010483681912377147,False,False,0.9553744821623432,6.792823429990525
1.0,130,40,0.001469069851775733,0.0019710977308498843,0.0018217513716696659,0.001334492787795569,False,False,0.8389335696796372,6.792823429990525
1.5,90,120,0.0003258616869223557,0.00033859978657863033,0.0003745827122498943,0.00025864136296449537,False,False,0.8622921132992376,2.52297732858438
1.5,70,160,0.0003417749272494566,0.0005718023686085175,0.0005019357114631704,0.0003697726578962462,False,False,0.8221432886282016,2.52297732858438
1.5,50,200,0.0004747079356847714,0.0006555106782989574,0.0005520538121005305,0.0004318109202781197,False,False,0.5919175592761144,2.52297732858438
