c_true,m,d,b,c_hat,r2_fit,fit_reliable,q_model,q_pilot,q_emp,gap_model_emp,gap_pilot_model,mse_q_model,mse_q_pilot,mse_q_emp,diag_state
0.3,40,500,10,0.276376476291536,0.9812796424715907,True,10,10,13,3,0,0.39192801944317673,0.39192801944317673,0.38552722257633026,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
0.3,80,500,10,0.28467927126538906,0.9441598386037238,True,10,10,19,9,0,0.14275767979716764,0.14275767979716764,0.0945659155286827,STATE_1: Model Discrepancy (q_model != q_emp)
0.3,160,500,10,0.26932564232894884,0.9722958197017034,True,10,10,16,6,0,0.04743026895634958,0.04743026895634958,0.03646477174909965,STATE_1: Model Discrepancy (q_model != q_emp)
0.3,320,500,10,0.2699707433013689,0.9864773570633076,True,22,18,16,6,4,0.01821457072731266,0.031020433657311153,0.015878329288368652,STATE_1: Model Discrepancy (q_model != q_emp)
0.5,40,500,10,0.8172292970117206,0.9915443837119702,True,10,10,10,0,0,0.1828350153214802,0.1828350153214802,0.1828350153214802,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
0.5,80,500,10,0.6956249296087724,0.9667571492275218,True,10,13,22,12,3,0.05012483307075593,0.0711341486607418,0.042371924813875216,STATE_1: Model Discrepancy (q_model != q_emp)
0.5,160,500,10,0.7960750772799872,0.9889783304906482,True,18,34,24,6,16,0.025650574905850744,0.022632173110996478,0.016858781768601613,STATE_1: Model Discrepancy (q_model != q_emp)
0.5,320,500,10,0.7559581245699527,0.9811794458870478,True,47,71,24,23,24,0.007958743515599108,0.011589989460974988,0.0055659954494728416,STATE_1: Model Discrepancy (q_model != q_emp)
0.75,40,500,10,1.157718473251553,0.9770987818426363,True,10,11,10,0,1,0.039243974432364596,0.040192276648552176,0.039243974432364596,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
0.75,80,500,10,1.0474998811657683,0.9905433707594343,True,15,21,16,1,6,0.01574316537598578,0.013319868971772373,0.011347898736509725,STATE_2: Pilot Error (q_pilot != q_model)
0.75,160,500,10,1.0795364993862206,0.9929367450266238,True,32,44,53,21,12,0.003676523415476037,0.005653648477623052,0.002656152648018388,STATE_1: Model Discrepancy (q_model != q_emp)
0.75,320,500,10,1.0895236059222264,0.9781369808500523,True,71,92,78,7,21,0.0011220945395218984,0.001224166566260527,0.0006576389853442501,STATE_1: Model Discrepancy (q_model != q_emp)
1.0,40,500,10,1.2468209248618347,0.9913198189865535,True,10,12,12,2,2,0.013630449022672892,0.011900447766355371,0.011900447766355371,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
1.0,80,500,10,1.4122715897321771,0.9792892110959324,True,20,26,29,9,6,0.002146753359262753,0.002764119015315978,0.0019207938681987083,STATE_1: Model Discrepancy (q_model != q_emp)
1.0,160,500,10,1.1940395108614892,0.9944508661638288,True,42,47,56,14,5,0.0003964284160755817,0.0005012422574097153,0.0003937461641877747,STATE_1: Model Discrepancy (q_model != q_emp)
1.0,320,500,10,1.3980819532305908,0.9720739735929889,True,87,105,101,14,18,0.00011520038832332588,0.0001363109780293119,7.531977417065671e-05,STATE_1: Model Discrepancy (q_model != q_emp)
1.5,40,500,10,1.8762400835774573,0.9797321077491934,True,13,15,13,0,2,0.0005793636142917135,0.0010041104326749945,0.0005793636142917135,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
1.5,80,500,10,1.770109515011753,0.9849290758329863,True,27,29,26,1,2,0.00012445912810335046,8.847610972957108e-05,6.849265785171898e-05,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
1.5,160,500,10,1.7771266326530368,0.9779871861484706,True,53,57,46,7,4,8.334755645540366e-06,1.0009751116997205e-05,7.31241804583407e-06,STATE_1: Model Discrepancy (q_model != q_emp)
1.5,320,500,10,1.7366518435131644,0.9889017915354719,True,108,115,120,12,7,7.525041373649173e-07,9.195930773512974e-07,6.959648470092053e-07,STATE_1: Model Discrepancy (q_model != q_emp)
2.0,40,500,10,2.1584587627815126,0.9957991437951144,True,15,15,14,1,0,4.5356158663187546e-05,4.5356158663187546e-05,2.1862479141817106e-05,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
2.0,80,500,10,2.2991790363297846,0.9859131857118588,True,30,31,31,1,1,2.114582245175665e-06,1.7794487105637774e-06,1.7794487105637774e-06,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
2.0,160,500,10,2.224511615758356,0.9924338231329572,True,60,62,54,6,2,1.5096446075811916e-07,1.8980075785858117e-07,9.744024773796134e-08,STATE_1: Model Discrepancy (q_model != q_emp)
2.0,320,500,10,2.208746217581082,0.994541651010505,True,120,124,130,10,4,7.971047863513529e-09,5.838508926717507e-09,4.978610546635045e-09,STATE_1: Model Discrepancy (q_model != q_emp)
3.0,40,500,10,3.2130609970460884,0.9939163280825452,True,17,17,18,1,0,9.955014514352378e-08,9.955014514352378e-08,9.244464617907295e-08,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
3.0,80,500,10,3.113030427066466,0.9969788523410062,True,33,33,32,1,0,1.4290236155548167e-09,1.4290236155548167e-09,1.4233806705271812e-09,STATE_3: Adaptation Working (q_pilot ~ q_model ~ q_emp)
