sample_size,independent_pair_count,joint_delta,scale_delta,sample_variance_relative_variance_bound,elementary_scale_relative_radius,pairwise_scale_relative_variance_factor,minimum_25pct_scale_block_size,available_signed_pairs,available_pairwise_scale_observations,elementary_nonvacuous,robust_mom_nonvacuous
4,2,0.01,0.005,3281.0,810.0617260431454,3281.0,13125,2,1,False,False
4,2,0.05,0.025,3281.0,362.27061708065696,3281.0,13125,2,1,False,False
4,2,0.1,0.05,3281.0,256.1640099623677,3281.0,13125,2,1,False,False
8,4,0.01,0.005,1640.1666666666667,572.7419430540541,3281.0,13125,4,2,False,False
8,4,0.05,0.025,1640.1666666666667,256.1379836468357,3281.0,13125,4,2,False,False
8,4,0.1,0.05,1640.1666666666667,181.11690515612653,3281.0,13125,4,2,False,False
16,8,0.01,0.005,820.0357142857143,404.9779535445638,3281.0,13125,8,4,False,False
16,8,0.05,0.025,820.0357142857143,181.1116467028793,3281.0,13125,8,4,False,False
16,8,0.1,0.05,820.0357142857143,128.06527353546818,3281.0,13125,8,4,False,False
32,16,0.01,0.005,410.0083333333333,286.35933137697236,3281.0,13125,16,8,False,False
32,16,0.05,0.025,410.0083333333333,128.06378619005972,3281.0,13125,16,8,False,False
32,16,0.1,0.05,410.0083333333333,90.55477163941536,3281.0,13125,16,8,False,False
