step_rank,basis_trial,eta,budget,s,pair,accounting_feasible,truth_label,dangerous_error_q90,dangerous_error_q95,dangerous_error_q975,dangerous_error_q99,shifted_error_q90,shifted_error_q95,shifted_error_q975,shifted_error_q99
5,0,1e-10,80,4,left,True,1,0.029131741510884608,0.02976051759063391,0.029919846783359166,0.03006447397739827,0.029131741510884608,0.02976051759063391,0.029919846783359166,0.03006447397739827
5,0,1e-10,160,4,left,True,1,0.013169143422728657,0.013453384664259166,0.013525410189737705,0.013590789606221138,0.013169143422728657,0.013453384664259166,0.013525410189737705,0.013590789606221138
5,0,1e-10,240,4,left,True,1,0.008507499733267187,0.008691124606114329,0.008737654370361527,0.008779890630567638,0.008507499733267187,0.008691124606114329,0.008737654370361527,0.008779890630567638
5,0,1e-10,80,4,primary,True,1,7.3609985018593785e-22,8.75395516412723e-22,9.752245102076116e-22,1.0269977038228426e-21,2.302161043631899e-21,3.964867023520768e-21,4.558510820962928e-21,6.226377343965999e-21
5,0,1e-10,160,4,primary,True,1,3.365504418488394e-22,3.9181840374448127e-22,4.303190299353555e-22,4.654314551998125e-22,1.0408771860201808e-21,1.819448157907176e-21,2.0913766909439748e-21,2.9112992537940698e-21
5,0,1e-10,240,4,primary,True,1,2.1773101149274186e-22,2.623730457707046e-22,2.836666516854657e-22,3.0096446334444023e-22,6.725973012538994e-22,1.1793918366929865e-21,1.3572465949314012e-21,1.8997274313458097e-21
5,0,1e-10,80,4,right,True,1,7.766135366108368e-22,1.0932717859196455e-21,1.5225399624345348e-21,2.0593104848018334e-21,3.0871102461011015e-21,4.188672018348916e-21,6.043778497508787e-21,7.657040468444783e-21
5,0,1e-10,160,4,right,True,1,3.416102292479121e-22,4.9962551650837795e-22,7.090578016476747e-22,9.922809114372356e-22,1.4440659009320098e-21,1.9109303821337414e-21,2.7789079523107712e-21,3.477368277676993e-21
5,0,1e-10,240,4,right,True,1,2.265756484769403e-22,3.2710010950975475e-22,4.608853109787805e-22,6.436208201795288e-22,9.420286302831513e-22,1.2397233389651538e-21,1.8040524384824637e-21,2.249855003010039e-21
5,1,1e-10,80,4,left,True,1,0.029060457017055185,0.029556193681950855,0.029881714794662843,0.030026738591374804,0.029060457017055185,0.029556193681950855,0.029881714794662843,0.030026738591374804
5,1,1e-10,160,4,left,True,1,0.013136918925518097,0.01336101906170381,0.013508172441422928,0.013573731144046143,0.013136918925518097,0.01336101906170381,0.013508172441422928,0.013573731144046143
5,1,1e-10,240,4,left,True,1,0.008486682137724081,0.008631454792074143,0.00872651847985729,0.008768870562082908,0.008486682137724081,0.008631454792074143,0.00872651847985729,0.008768870562082908
5,1,1e-10,80,4,primary,True,1,7.920394832703909e-22,1.0022722697725247e-21,1.1567202311745478e-21,1.2438057798979092e-21,2.70543522197785e-21,3.8539611890460806e-21,4.625724230134616e-21,5.4433236431602224e-21
5,1,1e-10,160,4,primary,True,1,3.729259334367963e-22,4.67104611304413e-22,5.578905632725804e-22,5.736875701180624e-22,1.2330925613580105e-21,1.761731144385809e-21,2.157727798874739e-21,2.5230234219756874e-21
5,1,1e-10,240,4,primary,True,1,2.4177253395019727e-22,3.0607303388334946e-22,3.613206353526301e-22,3.764070301689893e-22,7.987043644449785e-22,1.1421009182946528e-21,1.4070379728335727e-21,1.6429407687054334e-21
5,1,1e-10,80,4,right,True,1,8.329016792803703e-22,1.1078055877434488e-21,1.3105209053016103e-21,1.4520830899347485e-21,2.6572916290240698e-21,3.735550069828229e-21,4.842821475039166e-21,6.05208646651536e-21
5,1,1e-10,160,4,right,True,1,3.556508164135236e-22,5.17734628738179e-22,5.938310612376868e-22,6.811970025106363e-22,1.1918315590859826e-21,1.6751948925442822e-21,2.2022330880665264e-21,2.745260198057687e-21
5,1,1e-10,240,4,right,True,1,2.2435956446999203e-22,3.3526993572636305e-22,3.838123416301269e-22,4.3574185546471285e-22,7.694640567530939e-22,1.079949277481932e-21,1.4253778611278472e-21,1.7755883535232325e-21
5,2,1e-10,80,4,left,True,1,0.029085983291649808,0.02952455805922417,0.029837374576526614,0.029938592269486582,0.029085983291649808,0.02952455805922417,0.029837374576526614,0.029938592269486582
5,2,1e-10,160,4,left,True,1,0.013148458200334846,0.01334671802677257,0.01348812823322436,0.013533884176617224,0.013148458200334846,0.01334671802677257,0.01348812823322436,0.013533884176617224
5,2,1e-10,240,4,left,True,1,0.008494136713490653,0.0086222160703929,0.008713569566596269,0.008743128715867764,0.008494136713490653,0.0086222160703929,0.008713569566596269,0.008743128715867764
5,2,1e-10,80,4,primary,True,1,6.058457217522492e-22,8.003701107924266e-22,1.1700780448471992e-21,1.4297870443147072e-21,1.6555059482183885e-21,3.0521464657314295e-21,4.552936109747471e-21,7.397140591352969e-21
5,2,1e-10,160,4,primary,True,1,2.6091610431688155e-22,3.448214160586944e-22,5.623034852568067e-22,7.10477621380266e-22,7.453480132637248e-22,1.4042054371817292e-21,2.0872860639548184e-21,3.417709372322385e-21
