eta,budget,s,pair,step_rank,scope,eligible_paths,true_better_paths,true_worse_paths,truth_tie_paths,covariance_contribution,pairing_variance_ratio,shifted_variance_ratio,dangerous_error_q95,dangerous_error_q99,zero_radius_accept_probability,batch_pairing_ratio_std
1e-10,80,4,left,5,rank,200,0,200,0,1.835521136620974e-20,1.0,1.0,0.029672595370182728,0.0300208067636364,0.0,0.0
1e-10,80,4,left,15,rank,200,0,200,0,1.8173974105851985e-20,1.0,1.0,0.04258191880372173,0.04306698959609975,0.0,0.0
1e-10,80,4,left,30,rank,200,0,200,0,1.4723940141521318e-20,1.0,1.0,0.12244824358251083,0.12383335795932408,0.0,0.0
1e-10,80,4,primary,5,rank,200,0,200,0,0.8428426874172049,0.15715731258279506,1.0002866966440884,8.725385593497377e-22,1.3503005223976606e-21,0.2798,0.07882435950080388
1e-10,80,4,primary,15,rank,200,0,200,0,0.9269818252742238,0.07301817472577626,1.0027256213258708,2.3408400573893254e-21,3.7269957358821004e-21,0.22039999999999998,0.03307473622684189
1e-10,80,4,primary,30,rank,200,0,200,0,0.898551938466114,0.1014480615338861,1.000256656327212,1.3569578954607668e-20,1.7407155645443022e-20,0.05857500000000001,0.023547752841162603
1e-10,80,4,right,5,rank,200,0,200,0,0.856509177666724,0.14349082233327612,0.9996503882139132,9.911515254061668e-22,1.5320618583023284e-21,0.276225,0.06978053294747323
1e-10,80,4,right,15,rank,200,0,200,0,0.9270471056524405,0.07295289434755955,1.0025806342568726,2.53480019811815e-21,4.013636699939552e-21,0.20980000000000001,0.0313777501523867
1e-10,80,4,right,30,rank,200,0,200,0,0.8833031210713225,0.11669687892867757,1.0021029617224626,1.7466593898964685e-20,2.2009087339653894e-20,0.04835,0.02375532979962734
1e-10,80,8,left,5,rank,200,0,200,0,1.7372748334540112e-20,1.0,1.0,0.029742479979926316,0.03111888689813672,0.0,0.0
1e-10,80,8,left,15,rank,200,0,200,0,1.5258366053043544e-20,1.0,1.0,0.04403412317679379,0.0459966161678393,0.0,0.0
1e-10,80,8,left,30,rank,200,0,200,0,1.0783874028378752e-20,1.0,1.0,0.15410156114457846,0.1609130722181419,0.0,0.0
1e-10,80,8,primary,5,rank,200,0,200,0,0.8326314877223769,0.16736851227762306,0.9986879785196802,6.780706887368935e-22,8.739230471181213e-22,0.11842500000000002,0.0650175681244873
1e-10,80,8,primary,15,rank,200,0,200,0,0.9094123332806743,0.09058766671932564,1.0104416494834214,1.95832656470445e-21,2.6392461102703113e-21,0.0574,0.02895687730274723
1e-10,80,8,primary,30,rank,200,0,200,0,0.760456077028567,0.23954392297143315,0.9960624220691924,2.173814691557283e-20,2.558230560576963e-20,0.00085,0.022099932905674528
1e-10,80,8,right,5,rank,200,0,200,0,0.8466606174752777,0.15333938252472246,0.9969046011201678,7.657832677368688e-22,1.0075873499265511e-21,0.11470000000000001,0.06152589131311273
1e-10,80,8,right,15,rank,200,0,200,0,0.9086590323803907,0.09134096761960933,1.0119576699115709,2.1867046096947126e-21,2.8805802404017656e-21,0.053925,0.0267050034185132
1e-10,80,8,right,30,rank,200,0,200,0,0.7049895092499102,0.2950104907500898,0.9977486571802189,3.045423680075799e-20,3.5850748747672317e-20,0.0005,0.023153086273814374
1e-10,80,16,left,5,rank,200,0,200,0,1.5300921274795937e-20,1.0,1.0,0.03040513470489068,0.03320671754486216,0.0,0.0
1e-10,80,16,left,15,rank,200,0,200,0,1.2438041840407914e-20,1.0,1.0,0.04827592434863018,0.05282284115377103,0.0,0.0
1e-10,80,16,left,30,rank,200,0,200,0,3.68176106031679e-21,1.0,1.0,0.4099336548765606,0.448537834869267,0.0,0.0
1e-10,80,16,primary,5,rank,200,0,200,0,0.7905234689365411,0.2094765310634588,1.003873517645555,6.696578521574293e-22,7.987947655551654e-22,0.00515,0.05636727010878987
1e-10,80,16,primary,15,rank,200,0,200,0,0.8364691255337943,0.16353087446620596,1.0050511132411493,2.4073071948557116e-21,2.9548201155446792e-21,0.000625,0.027110646729224922
1e-10,80,16,primary,30,rank,200,0,200,0,0.1867034557356473,0.8132965442643527,0.9989831949086495,1.3816306768106032e-19,1.6908880395965953e-19,0.0,0.00663658591395754
1e-10,80,16,right,5,rank,200,0,200,0,0.8073903021674513,0.19260969783254872,0.9980089627937448,7.71635293853246e-22,9.267036459606678e-22,0.0046,0.05515431466241718
1e-10,80,16,right,15,rank,200,0,200,0,0.8319567021681923,0.1680432978318078,1.0066389907120035,2.7326946292237688e-21,3.3815455067512246e-21,0.00030000000000000003,0.02606322095054719
1e-10,80,32,left,5,rank,200,0,200,0,1.045689695205739e-20,1.0,1.0,0.036272046072159225,0.041458978023516106,0.0,0.0
1e-10,80,32,left,15,rank,200,0,200,0,6.308257211067871e-21,1.0,1.0,0.07667874604213526,0.08734598389349109,0.0,0.0
1e-10,80,32,primary,5,rank,200,0,200,0,0.6485295731404191,0.35147042685958074,1.0078992330468273,9.519149914685387e-22,1.160460827921277e-21,0.0,0.048039620891945335
1e-10,80,32,primary,15,rank,200,0,200,0,0.5254697775148057,0.47453022248519433,0.9963117586705326,5.585676034356574e-21,7.0621801826035e-21,0.0,0.02152484852981927
1e-10,80,32,right,5,rank,200,0,200,0,0.6574770671623037,0.3425229328376964,1.0032304031953685,1.1239446484700525e-21,1.3902013341708325e-21,0.0,0.04584612562639037
1e-10,80,32,right,15,rank,200,0,200,0,0.4870857466821494,0.5129142533178507,1.000578733346362,7.001868841067606e-21,8.832660884546962e-21,0.0,0.020175230791733934
1e-10,160,4,left,5,rank,200,0,200,0,1.894851112754177e-20,1.0,1.0,0.013413639002959317,0.013571049632876728,0.0,0.0
1e-10,160,4,left,15,rank,200,0,200,0,1.9146494459342392e-20,1.0,1.0,0.015545779880723807,0.015722869217623718,0.0,0.0
1e-10,160,4,left,30,rank,200,0,200,0,1.7668728169825583e-20,1.0,1.0,0.020408040597085137,0.020638892993220682,0.0,0.0
1e-10,160,4,primary,5,rank,200,0,200,0,0.8507389173650965,0.14926108263490356,1.0002872918428578,4.013443646343677e-22,6.346444542254975e-22,0.33882499999999993,0.07674603776588172
