dimension,step_rank,eta,budget,batch,orientation_seed,trials,q_rank_star,q_gaussian_star,gaussian_shift_from_rank,gaussian_mean_risk_ratio_k_to_kp1,gaussian_path_improvement_rate,q_rademacher_star,rademacher_shift_from_rank,rademacher_mean_risk_ratio_k_to_kp1,rademacher_path_improvement_rate
250,5,1e-08,80,0,91000,50,5,5,0,0.9754140943665014,0.0,5,0,0.8125105261648801,0.0
250,5,1e-08,160,0,91000,50,5,5,0,0.9907147076114665,0.0,5,0,0.8252557893204073,0.0
250,5,1e-08,240,0,91000,50,5,5,0,0.9953714159903684,0.0,5,0,0.8291347824546985,0.0
250,5,1e-06,80,0,91000,50,5,5,0,0.9759233428765639,0.0,5,0,0.8165653773902154,0.0
250,5,1e-06,160,0,91000,50,5,5,0,0.9912319443334511,0.0,5,0,0.8293742460551603,0.0
250,5,1e-06,240,0,91000,50,5,5,0,0.9958910839072864,0.06,5,0,0.8332725973879692,0.0
250,5,0.0001,80,0,91000,50,5,6,1,1.8813033855952985,0.34,7,2,26.745496378571442,0.46
250,5,0.0001,160,0,91000,50,5,7,2,1.9108140269379696,0.46,7,2,27.165033576666666,0.46
250,5,0.0001,240,0,91000,50,5,7,2,1.9197955264770437,0.5,7,2,27.292718810869573,0.46
250,5,0.01,80,0,91000,50,5,11,6,3.9289348065223124,0.96,11,6,5.212762871356351,0.96
250,5,0.01,160,0,91000,50,5,11,6,3.9905651564285454,0.96,11,6,5.29453170071096,0.98
250,5,0.01,240,0,91000,50,5,13,8,4.0093222194434865,1.0,11,6,5.31941786616671,0.98
250,5,1e-08,80,1,91001,50,5,5,0,0.9754267146710544,0.0,5,0,0.8124268176213394,0.0
250,5,1e-08,160,1,91001,50,5,5,0,0.9907275258815805,0.0,5,0,0.8251707677016743,0.0
250,5,1e-08,240,1,91001,50,5,5,0,0.9953842945108712,0.0,5,0,0.8290493612043848,0.0
250,5,1e-06,80,1,91001,50,5,5,0,0.980318622713107,0.04,5,0,0.9492128039626196,0.04
250,5,1e-06,160,1,91001,50,5,5,0,0.9956961697360578,0.04,5,0,0.9641024165737977,0.04
250,5,1e-06,240,1,91001,50,5,6,1,1.0003762927430424,0.08,5,0,0.9686340378032869,0.04
250,5,0.0001,80,1,91001,50,5,6,1,30.641945814067405,0.24,6,1,1210.9320523145948,0.3
250,5,0.0001,160,1,91001,50,5,6,1,31.1226037876214,0.34,6,1,1229.9270648999216,0.3
250,5,0.0001,240,1,91001,50,5,6,1,31.26889099696393,0.38,6,1,1235.7081556867606,0.32
250,5,0.01,80,1,91001,50,5,9,4,4.745995751949434,0.98,10,5,7.980575332775071,1.0
250,5,0.01,160,1,91001,50,5,10,5,4.820442744136876,1.0,10,5,8.105760828191148,1.0
250,5,0.01,240,1,91001,50,5,11,6,4.843100524367837,1.0,10,5,8.143860761578651,1.0
250,5,1e-08,80,2,91002,50,5,6,1,1.1328545723427759,0.04,6,1,7.090632431334621,0.04
250,5,1e-08,160,2,91002,50,5,6,1,1.1506248401442312,0.04,6,1,7.201858038100653,0.04
250,5,1e-08,240,2,91002,50,5,6,1,1.156033182518587,0.04,6,1,7.2357093097251,0.04
250,5,1e-06,80,2,91002,50,5,6,1,1490.0175004751757,0.04,6,1,62094.11667604545,0.04
250,5,1e-06,160,2,91002,50,5,6,1,1513.3903240120414,0.04,6,1,63068.14203566968,0.04
250,5,1e-06,240,2,91002,50,5,6,1,1520.5037920450009,0.06,6,1,63364.5845364249,0.04
250,5,0.0001,80,2,91002,50,5,7,2,8871.600590925773,0.2,7,2,35626.2176080673,0.28
250,5,0.0001,160,2,91002,50,5,7,2,9010.762953136375,0.28,7,2,36185.06023721346,0.28
250,5,0.0001,240,2,91002,50,5,7,2,9053.116715548296,0.38,7,2,36355.14277651883,0.28
250,5,0.01,80,2,91002,50,5,9,4,2.928918143638733,0.94,12,7,3.7649374878959834,0.94
250,5,0.01,160,2,91002,50,5,12,7,2.9748619576565947,0.96,12,7,3.823995330843371,0.96
250,5,0.01,240,2,91002,50,5,12,7,2.9888448575750757,0.98,12,7,3.841969456957794,0.96
250,15,1e-08,80,0,91010,50,15,15,0,0.9642239445622031,0.0,15,0,0.9042242085951369,0.0
250,15,1e-08,160,0,91010,50,15,15,0,0.9889476354484132,0.0,15,0,0.9274094447129609,0.0
250,15,1e-08,240,0,91010,50,15,15,0,0.9948342285165586,0.02,15,0,0.9329297390267286,0.0
250,15,1e-06,80,0,91010,50,15,16,1,1.191802724413179,0.06,16,1,4.304647537235607,0.08
250,15,1e-06,160,0,91010,50,15,16,1,1.2223617686289012,0.08,16,1,4.415023115113444,0.08
250,15,1e-06,240,0,91010,50,15,16,1,1.2296377315374063,0.08,16,1,4.441303014608167,0.08
250,15,0.0001,80,0,91010,50,15,17,2,881.5510793695206,0.28,17,2,6511.950400315592,0.36
250,15,0.0001,160,0,91010,50,15,17,2,904.1549531995084,0.4,17,2,6678.9234875031725,0.38
250,15,0.0001,240,0,91010,50,15,17,2,909.5368279209335,0.5,17,2,6718.678984452595,0.4
250,15,0.01,80,0,91010,50,15,20,5,2.55342073769846,0.98,23,8,2.882723959005865,0.98
250,15,0.01,160,0,91010,50,15,23,8,2.6188930643061137,0.98,24,9,2.9566399579547338,0.98
250,15,0.01,240,0,91010,50,15,26,11,2.6344817134984115,1.0,24,9,2.9742390053235126,1.0
250,15,1e-08,80,1,91011,50,15,15,0,0.9649730733889542,0.0,15,0,0.9099467504734633,0.02
250,15,1e-08,160,1,91011,50,15,15,0,0.9897159727066197,0.02,15,0,0.9332787184343214,0.02
250,15,1e-08,240,1,91011,50,15,15,0,0.9956071392108259,0.04,15,0,0.9388339489011922,0.02
250,15,1e-06,80,1,91011,50,15,16,1,4.650320905514076,0.06,16,1,57.570976933299775,0.06
250,15,1e-06,160,1,91011,50,15,16,1,4.769559903091361,0.08,16,1,59.0471558290254,0.08
250,15,1e-06,240,1,91011,50,15,16,1,4.797950140609761,0.08,16,1,59.398626994674366,0.08
250,15,0.0001,80,1,91011,50,15,17,2,5169.847708070159,0.46,17,2,37620.22294882943,0.52
250,15,0.0001,160,1,91011,50,15,17,2,5302.407905712984,0.56,17,2,38584.84405008146,0.56
250,15,0.0001,240,1,91011,50,15,17,2,5333.969857532707,0.66,17,2,38814.51574085578,0.56
250,15,0.01,80,1,91011,50,15,20,5,3.1875270448561777,0.96,22,7,3.640545108983673,0.96
250,15,0.01,160,1,91011,50,15,22,7,3.269258507544799,1.0,24,9,3.7338924194704335,1.0
250,15,0.01,240,1,91011,50,15,26,11,3.288718379613517,1.0,24,9,3.756117969586329,1.0
250,15,1e-08,80,2,91012,50,15,15,0,0.9641089291341169,0.0,15,0,0.903733508134225,0.0
250,15,1e-08,160,2,91012,50,15,15,0,0.9888296709067866,0.0,15,0,0.9269061621889488,0.0
250,15,1e-08,240,2,91012,50,15,15,0,0.9947155618050415,0.0,15,0,0.9324234607734069,0.0
250,15,1e-06,80,2,91012,50,15,15,0,0.9648995365368698,0.0,15,0,0.9068526155746134,0.0
250,15,1e-06,160,2,91012,50,15,15,0,0.9896405502942252,0.02,15,0,0.9301052467431931,0.0
250,15,1e-06,240,2,91012,50,15,15,0,0.9955312678555006,0.04,15,0,0.935641587497617,0.0
250,15,0.0001,80,2,91012,50,15,16,1,2.5870095749918423,0.36,17,2,21.0739477642736,0.48
250,15,0.0001,160,2,91012,50,15,17,2,2.653343153837788,0.5,17,2,21.61430539925498,0.5
250,15,0.0001,240,2,91012,50,15,17,2,2.6691368630868215,0.62,17,2,21.742961979012446,0.5
250,15,0.01,80,2,91012,50,15,21,6,2.1622331228813962,0.98,24,9,2.3345561871056173,0.98
250,15,0.01,160,2,91012,50,15,24,9,2.2176749978270727,0.98,24,9,2.394416602159608,0.98
250,15,0.01,240,2,91012,50,15,26,11,2.2308754442427103,0.98,24,9,2.408669081934367,0.98
250,30,1e-08,80,0,91020,50,30,31,1,1.0718071717554565,0.04,31,1,2.1569440664149258,0.06
250,30,1e-08,160,0,91020,50,30,31,1,1.167078920355942,0.06,31,1,2.3486724278740296,0.06
250,30,1e-08,240,0,91020,50,30,31,1,1.17766467020044,0.08,31,1,2.3699755791472636,0.06
250,30,1e-06,80,0,91020,50,30,31,1,1572.7543572726338,0.08,31,1,12616.694610019113,0.1
250,30,1e-06,160,0,91020,50,30,31,1,1712.5547445857571,0.1,31,1,13738.178575354146,0.12
250,30,1e-06,240,0,91020,50,30,31,1,1728.0881209538816,0.12,31,1,13862.787904835815,0.12
250,30,0.0001,80,0,91020,50,30,32,2,15937.033854315063,0.34,32,2,49113.7895343187,0.5
250,30,0.0001,160,0,91020,50,30,32,2,17353.659085809726,0.66,33,3,53479.459715147044,0.68
250,30,0.0001,240,0,91020,50,30,34,4,17511.061889309134,0.74,33,3,53964.53417968352,0.7
250,30,0.01,80,0,91020,50,30,35,5,1.8694028132986122,0.92,36,6,1.9570153819389948,0.92
250,30,0.01,160,0,91020,50,30,40,10,2.035571952258489,0.98,42,12,2.130972304778016,0.98
250,30,0.01,240,0,91020,50,30,43,13,2.0540351899206972,1.0,42,12,2.1503008517601296,1.0
250,30,1e-08,80,1,91021,50,30,30,0,0.9046178352016906,0.0,30,0,0.876610298649186,0.0
250,30,1e-08,160,1,91021,50,30,30,0,0.9850283094418406,0.0,30,0,0.9545312140846695,0.0
250,30,1e-08,240,1,91021,50,30,30,0,0.9939628065796349,0.04,30,0,0.9631890935775009,0.04
250,30,1e-06,80,1,91021,50,30,31,1,2.6227624114453243,0.04,31,1,14.404120433971354,0.06
250,30,1e-06,160,1,91021,50,30,31,1,2.8558968480182436,0.08,31,1,15.684486694768802,0.08
250,30,1e-06,240,1,91021,50,30,31,1,2.881800674304123,0.08,31,1,15.82674961263519,0.08
250,30,0.0001,80,1,91021,50,30,32,2,890.7921572545862,0.22,32,2,1105.565531373088,0.4
250,30,0.0001,160,1,91021,50,30,32,2,969.9736823438825,0.46,32,2,1203.8380230506962,0.5
250,30,0.0001,240,1,91021,50,30,32,2,978.7716295760268,0.6,32,2,1214.7571887926524,0.54
250,30,0.01,80,1,91021,50,30,35,5,2.024153113183732,0.88,36,6,2.1602473260669686,0.88
250,30,0.01,160,1,91021,50,30,39,9,2.20407783435562,0.98,41,11,2.352269310606255,0.98
250,30,0.01,240,1,91021,50,30,43,13,2.2240694700413846,0.98,43,13,2.373605086666175,0.98
250,30,1e-08,80,2,91022,50,30,30,0,0.9041548868590273,0.0,30,0,0.8749795498297753,0.0
250,30,1e-08,160,2,91022,50,30,30,0,0.9845242101353853,0.0,30,0,0.9527555098146442,0.0
250,30,1e-08,240,2,91022,50,30,30,0,0.9934541349438696,0.0,30,0,0.9613972831462964,0.0
250,30,1e-06,80,2,91022,50,30,30,0,0.9462155526234388,0.02,31,1,1.1843164691084376,0.02
250,30,1e-06,160,2,91022,50,30,31,1,1.0303236017455222,0.04,31,1,1.2895890441402986,0.04
250,30,1e-06,240,2,91022,50,30,31,1,1.039668940536865,0.08,31,1,1.3012859969216166,0.04
250,30,0.0001,80,2,91022,50,30,31,1,254.43967111104365,0.24,31,1,1921.8159543084403,0.4
250,30,0.0001,160,2,91022,50,30,31,1,277.0565307653587,0.52,32,2,2092.644039135858,0.54
250,30,0.0001,240,2,91022,50,30,32,2,279.5695151713937,0.7,32,2,2111.624937450015,0.56
250,30,0.01,80,2,91022,50,30,35,5,2.0589843532610344,0.86,36,6,2.2026011421926968,0.9
250,30,0.01,160,2,91022,50,30,40,10,2.2420051846620144,0.96,41,11,2.398387910387603,0.96
250,30,0.01,240,2,91022,50,30,42,12,2.2623408325954575,0.96,42,12,2.420141995742593,0.96
500,5,1e-08,80,0,91100,50,5,5,0,0.9733977352187235,0.0,5,0,0.810933014112123,0.0
500,5,1e-08,160,0,91100,50,5,5,0,0.988666719300586,0.0,5,0,0.8236535319805485,0.0
500,5,1e-08,240,0,91100,50,5,5,0,0.9933138014124568,0.0,5,0,0.827524993940504,0.0
500,5,1e-06,80,0,91100,50,5,5,0,0.9737944535622047,0.0,5,0,0.8219921784010873,0.02
500,5,1e-06,160,0,91100,50,5,5,0,0.9890696606769062,0.0,5,0,0.8348861733563986,0.02
500,5,1e-06,240,0,91100,50,5,5,0,0.9937186367552935,0.02,5,0,0.8388104326906234,0.02
500,5,0.0001,80,0,91100,50,5,6,1,2.2398875119629427,0.2,7,2,46.00083198519661,0.34
500,5,0.0001,160,0,91100,50,5,7,2,2.2750230023466753,0.26,7,2,46.72241366339575,0.34
500,5,0.0001,240,0,91100,50,5,7,2,2.2857164124634637,0.34,7,2,46.94202547849988,0.34
500,5,0.01,80,0,91100,50,5,10,5,2.567431270675249,0.96,13,8,3.544977350686914,0.96
500,5,0.01,160,0,91100,50,5,11,6,2.607704702372116,0.96,15,10,3.6005848385408274,0.96
500,5,0.01,240,0,91100,50,5,12,7,2.6199618337581185,0.96,15,10,3.617508856583321,0.96
500,5,1e-08,80,1,91101,50,5,5,0,0.9734033762774501,0.0,5,0,0.8109218324230236,0.0
500,5,1e-08,160,1,91101,50,5,5,0,0.988672448846508,0.0,5,0,0.8236421748924044,0.0
500,5,1e-08,240,1,91101,50,5,5,0,0.9933195578892651,0.0,5,0,0.8275135834700419,0.0
500,5,1e-06,80,1,91101,50,5,5,0,0.9771762181693563,0.02,6,1,1.0594013255777421,0.02
500,5,1e-06,160,1,91101,50,5,5,0,0.9925044725720127,0.02,6,1,1.0760193855868048,0.02
500,5,1e-06,240,1,91101,50,5,5,0,0.9971695934771694,0.02,6,1,1.081077056024346,0.02
500,5,0.0001,80,1,91101,50,5,6,1,26.21879593791612,0.26,6,1,2032.65265883284,0.38
500,5,0.0001,160,1,91101,50,5,6,1,26.630071168314814,0.32,6,1,2064.5374064223747,0.38
500,5,0.0001,240,1,91101,50,5,6,1,26.755241890610055,0.38,6,1,2074.241460036581,0.4
500,5,0.01,80,1,91101,50,5,9,4,3.313738362852716,0.88,13,8,5.402820290808733,0.96
500,5,0.01,160,1,91101,50,5,11,6,3.3657185724660925,0.92,13,8,5.487570413017496,0.98
500,5,0.01,240,1,91101,50,5,13,8,3.381538636261468,0.96,13,8,5.513363928472339,0.98
500,5,1e-08,80,2,91102,50,5,5,0,0.973501386955352,0.0,5,0,0.8128982011968249,0.0
500,5,1e-08,160,2,91102,50,5,5,0,0.9887719969468091,0.0,5,0,0.8256495455293241,0.0
500,5,1e-08,240,2,91102,50,5,5,0,0.9934195739007304,0.0,5,0,0.8295303894566062,0.0
500,5,1e-06,80,2,91102,50,5,6,1,1.2039956726922474,0.04,6,1,19.319590080025492,0.04
500,5,1e-06,160,2,91102,50,5,6,1,1.2228818793227143,0.04,6,1,19.62264247343765,0.04
500,5,1e-06,240,2,91102,50,5,6,1,1.2286298552537256,0.04,6,1,19.7148758105631,0.04
500,5,0.0001,80,2,91102,50,5,6,1,936.5353907440913,0.26,6,1,70517.68257091109,0.4
500,5,0.0001,160,2,91102,50,5,6,1,951.2261419714495,0.36,6,1,71623.84229751362,0.4
500,5,0.0001,240,2,91102,50,5,6,1,955.6972401710809,0.4,6,1,71960.49960561,0.4
500,5,0.01,80,2,91102,50,5,9,4,2.557295859983728,0.88,13,8,3.4529848325438657,0.96
500,5,0.01,160,2,91102,50,5,10,5,2.5974103048462185,0.98,13,8,3.507149300505337,0.98
500,5,0.01,240,2,91102,50,5,12,7,2.609619048934802,0.98,13,8,3.523634138580567,0.98
500,15,1e-08,80,0,91110,50,15,15,0,0.9620027091113335,0.0,15,0,0.901842124145411,0.0
500,15,1e-08,160,0,91110,50,15,15,0,0.9866694452423931,0.0,15,0,0.9249662811747807,0.0
500,15,1e-08,240,0,91110,50,15,15,0,0.9925424776545505,0.0,15,0,0.9304720328484398,0.0
