step_rank,budget,risk_name,observations,mean_risk_k,median_risk_k,mean_risk_kp1,median_risk_kp1,improvement_count,improvement_rate,improving_path_risk_share,mean_energy_ratio,median_path_energy_ratio,required_energy_ratio,top_1pct_risk_share,top_1pct_count,top_5pct_risk_share,top_5pct_count,top_10pct_risk_share,top_10pct_count,count_above_10x_next_median,count_above_100x_next_median,spearman_s1_pinv_norm_vs_risk,spearman_p_s1_pinv_norm_vs_risk,spearman_graph_factor_op_vs_risk,spearman_p_graph_factor_op_vs_risk,spearman_subspace_projection_op_vs_risk,spearman_p_subspace_projection_op_vs_risk,spearman_subspace_projection_fro_vs_risk,spearman_p_subspace_projection_fro_vs_risk
5,80,gaussian,200,1.406067404502485e-10,1.4143428092796715e-11,1.4529890693952481e-11,1.4529553274896388e-11,8,0.04,0.9033955355509434,0.10038459688804063,0.9979573346678272,0.9714285714285714,0.8998093085196934,2,0.9044176226097954,10,0.9094660194783317,20,1,1,0.9971319282982076,6.251340548522451e-224,0.9969339233480837,4.593068653280936e-221,0.9969339233480837,4.593068653280936e-221,0.9999939998499965,0.0
5,80,rademacher,200,1.2577497278513411e-10,1.4095150939038418e-13,1.7380533230995776e-13,1.7378220002456637e-13,12,0.06,0.9989440597001207,0.0013423931799290858,1.1976198589396054,0.9714285714285714,0.9983481298859649,2,0.9989278389775789,10,0.9989910619960044,20,5,1,0.9977919447986201,3.6767808394613076e-235,0.9976824420610517,4.407627881285194e-233,0.9976824420610517,4.407627881285194e-233,0.9996279906997677,1.0765062636846e-311
5,160,gaussian,200,6.561647887678264e-11,6.6002664433051334e-12,6.6758957242484376e-12,6.675740693871314e-12,11,0.055,0.9049273350006876,0.10038459688804063,0.9979573346678272,0.9866666666666667,0.8998093085196935,2,0.9044176226097956,10,0.909466019478332,20,1,1,0.9971319282982076,6.251340548522451e-224,0.9969339233480837,4.593068653280936e-221,0.9969339233480837,4.593068653280936e-221,0.9999939998499965,0.0
5,160,rademacher,200,5.869498729972925e-11,6.577737104884594e-14,7.985650403430492e-14,7.984587568696293e-14,12,0.06,0.9989440597001207,0.0013423931799290858,1.1976198589396054,0.9866666666666667,0.998348129885965,2,0.9989278389775791,10,0.9989910619960046,20,5,1,0.9977919447986201,3.6767808394613076e-235,0.9976824420610517,4.407627881285194e-233,0.9976824420610517,4.407627881285194e-233,0.9996279906997677,1.0765062636846e-311
5,240,gaussian,200,4.279335578920607e-11,4.304521593459869e-12,4.333476171880565e-12,4.333375538126993e-12,12,0.06,0.9054337798560184,0.10038459688804063,0.9979573346678272,0.991304347826087,0.8998093085196933,2,0.9044176226097954,10,0.9094660194783315,20,1,1,0.9971319282982076,6.251340548522451e-224,0.9969339233480837,4.593068653280936e-221,0.9969339233480837,4.593068653280936e-221,0.9999939998499965,0.0
5,240,rademacher,200,3.827933954330168e-11,4.2898285466638664e-14,5.1836678057355825e-14,5.182977895469524e-14,12,0.06,0.9989440597001205,0.0013423931799290858,1.1976198589396054,0.991304347826087,0.9983481298859648,2,0.998927838977579,10,0.9989910619960042,20,5,1,0.9977919447986201,3.6767808394613076e-235,0.9976824420610517,4.407627881285194e-233,0.9976824420610517,4.407627881285194e-233,0.9996279906997677,1.0765062636846e-311
15,80,gaussian,200,3.151958729578739e-08,1.9403076905355298e-11,2.0171015648276275e-11,2.016742451571775e-11,8,0.04,0.9994083244443246,0.0006143536982457017,0.9978547733668988,0.96,0.9993762597164233,2,0.9994146527257507,10,0.9994458165997763,20,1,1,0.9977604440111004,1.492282848374545e-234,0.9977364434110855,4.282118940314472e-234,0.9977364434110855,4.282118940314472e-234,0.9999939998499965,0.0
15,80,rademacher,200,3.135229397318546e-08,5.79830581871756e-13,6.437453427386253e-13,6.428446998458506e-13,16,0.08,0.9999829056027253,1.9711333708392454e-05,1.0643061868405348,0.96,0.999968869527589,2,0.9999822068784313,10,0.9999833191011461,20,5,2,0.9984414610365261,3.99236436775495e-250,0.9984999624990626,9.068268575352026e-252,0.9984999624990626,9.068268575352026e-252,0.9997044926123154,1.364e-321
15,160,gaussian,200,1.212291819068746e-08,7.462721886675113e-12,7.564130868103603e-12,7.562784193394156e-12,14,0.07,0.9994271852879575,0.0006143536982457017,0.9978547733668988,0.9846153846153847,0.9993762597164232,2,0.9994146527257506,10,0.9994458165997763,20,1,1,0.9977604440111004,1.492282848374545e-234,0.9977364434110855,4.282118940314472e-234,0.9977364434110855,4.282118940314472e-234,0.9999939998499965,0.0
15,160,rademacher,200,1.2058574605071331e-08,2.2301176225836772e-13,2.414045035269844e-13,2.4106676244219394e-13,18,0.09,0.9999831083452922,1.9711333708392454e-05,1.0643061868405348,0.9846153846153847,0.999968869527589,2,0.9999822068784315,10,0.9999833191011464,20,5,2,0.9984414610365261,3.99236436775495e-250,0.9984999624990626,9.068268575352026e-252,0.9984999624990626,9.068268575352026e-252,0.9997044926123154,1.364e-321
