q,r_actual,rank_gain_accepted,reference_scale,projected_sample_norm,rank_acceptance_cutoff,gaussian_energy,rademacher_energy,ideal_tail_q,gaussian_to_ideal_tail,rademacher_to_ideal_tail,s1_sigma_max,s1_sigma_min,s1_condition,s1_pinv_norm,s1_stable_rank,s1_numerical_rank,s1_full_row_rank,y_sigma_min,y_condition,y_numerical_rank,graph_factor_op,graph_factor_fro,graph_projection_bound,graph_identity_error,subspace_projection_op,subspace_projection_fro,largest_principal_angle_rad,largest_principal_angle_deg,sigma_min_u1tq,dimension,step_rank,eta,orientation_seed,basis_trial,basis_seed,q_offset,budget,ell,constructed_basis_queries,accounted_total_queries,rank_risk,gaussian_risk,rademacher_risk,next_q,gaussian_energy_ratio_next,gaussian_risk_difference_next,gaussian_local_improves,rademacher_energy_ratio_next,rademacher_risk_difference_next,rademacher_local_improves,local_energy_ratio_threshold
3,3,True,4.83349471058146,2.5308162011200226,4.8334947105814605e-12,2.0000000004950023,1.9846357570858226,2.000000000495,1.000000000000001,0.9923178782973127,4.05813552537485,1.390169303144056,2.91916640383069,0.7193368446119222,1.4186308569872674,3,False,1.3901693033229576,2.9191664035020333,3,,,,,1.0000000000000004,1.414213562507461,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-2,80,74,6,80,0.05405405406743243,0.054054054067432494,0.05363880424556278,4.0,0.5000000001237586,-0.02627627627590421,1.0,0.5010967143106388,-0.026013958218365194,1.0,0.972972972972973
4,4,True,4.872648237041416,0.2612355881821345,4.872648237041416e-12,1.0000000004950182,0.994494456979113,1.000000000495,1.0000000000000182,0.9944944564868382,4.076254456488668,0.24939295317462076,16.34470583310565,4.009736390987025,1.4289187900053313,4,False,0.24939295421400903,16.344705765244008,4,,,,,1.0000000000000002,1.0000000043440105,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-1,80,72,8,80,0.027777777791527777,0.027777777791528284,0.027624846027197583,5.0,4.960504301739024e-10,-0.027777777777355416,1.0,5.1556482085322266e-12,-0.02762484602705109,1.0,0.9722222222222222
5,5,True,5.2657252758408015,0.23769540527711194,5.265725275840802e-12,4.960504304194565e-10,5.127263565519593e-12,4.949999999999999e-10,1.0021220816554677,0.010358108213170895,4.081776646302771,0.03461226713355114,117.92861272430582,28.89149087349605,1.6642475313906573,5,True,0.03461227460167638,117.92858728125522,5,0.0006569104218765928,0.0006573480014772531,0.0006569102801379337,3.982274579539258e-16,0.0006569102801383319,0.0006573478598332422,0.0006569103273845455,0.03763818927769164,0.9999997842344187,500,5,1e-06,52000,0,70000,0,80,70,10,80,1.4142857142857141e-11,1.41728694405559e-11,1.4649324472913122e-13,6.0,0.9958761493910239,3.5668328149963944e-13,0.0,1.1528736893248832,2.736226300385787e-14,0.0,0.9714285714285714
6,6,True,5.630982465112818,0.0004246661979161606,5.630982465112818e-12,4.940047925498883e-10,5.911087262921629e-12,4.94e-10,1.0000097015179927,0.011965763690124755,4.428537468372025,0.5188103855229483,8.535946064202562,1.9274864727158925,1.616767993197203,5,True,2.272437167330831e-05,194880.5244033889,6,4.356180604888642e-05,4.894137873978256e-05,4.3561806007554304e-05,,4.355869772659341e-05,4.893291459043671e-05,4.3558697740367835e-05,0.0024957295416091125,0.9999999990513203,500,5,1e-06,52000,0,70000,1,80,68,12,80,1.452941176470588e-11,1.4529552722055539e-11,1.738555077329891e-13,7.0,0.9979712324277438,4.099191460118523e-13,0.0,1.164105443037136,3.466354854078527e-14,0.0,0.9705882352941176
7,7,True,5.753594961224833,3.7703170155210026e-05,5.753594961224832e-12,4.93002571646224e-10,6.881128857034554e-12,4.93e-10,1.0000052163209412,0.013957665024410862,4.434867624236882,0.8327081080654998,5.325836966496838,1.2009010003795246,1.6831284012881496,5,True,2.0525125684386893e-05,216070.18112783323,7,2.879297641764947e-05,3.5908488573451514e-05,2.879297640571427e-05,,2.874759538052479e-05,3.585306630943361e-05,2.8747595384484408e-05,0.0016471158866807217,0.9999999995867879,500,5,1e-06,52000,0,70000,2,80,66,14,80,1.4939393939393938e-11,1.493947186806739e-11,2.0851905627377436e-13,,,,,,,,
3,3,True,4.83349471058146,2.5308162011200226,4.8334947105814605e-12,2.0000000004950023,1.9846357570858226,2.000000000495,1.000000000000001,0.9923178782973127,4.05813552537485,1.390169303144056,2.91916640383069,0.7193368446119222,1.4186308569872674,3,False,1.3901693033229576,2.9191664035020333,3,,,,,1.0000000000000004,1.414213562507461,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-2,160,154,6,160,0.025974025980454545,0.025974025980454576,0.02577449035176393,4.0,0.5000000001237586,-0.012816131237099073,1.0,0.5010967143106388,-0.012689036970459812,1.0,0.987012987012987
4,4,True,4.872648237041416,0.2612355881821345,4.872648237041416e-12,1.0000000004950182,0.994494456979113,1.000000000495,1.0000000000000182,0.9944944564868382,4.076254456488668,0.24939295317462076,16.34470583310565,4.009736390987025,1.4289187900053313,4,False,0.24939295421400903,16.344705765244008,4,,,,,1.0000000000000002,1.0000000043440105,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-1,160,152,8,160,0.013157894743355264,0.013157894743355504,0.013085453381304119,5.0,4.960504301739024e-10,-0.013157894736741498,1.0,5.1556482085322266e-12,-0.013085453381235755,1.0,0.9868421052631579
5,5,True,5.2657252758408015,0.23769540527711194,5.265725275840802e-12,4.960504304194565e-10,5.127263565519593e-12,4.949999999999999e-10,1.0021220816554677,0.010358108213170895,4.081776646302771,0.03461226713355114,117.92861272430582,28.89149087349605,1.6642475313906573,5,True,0.03461227460167638,117.92858728125522,5,0.0006569104218765928,0.0006573480014772531,0.0006569102801379337,3.982274579539258e-16,0.0006569102801383319,0.0006573478598332422,0.0006569103273845455,0.03763818927769164,0.9999997842344187,500,5,1e-06,52000,0,70000,0,160,150,10,160,6.599999999999999e-12,6.6140057389260864e-12,6.83635142069279e-14,6.0,0.9958761493910239,6.173470093726982e-14,0.0,1.1528736893248832,1.1516043400121128e-14,0.0,0.9866666666666667
6,6,True,5.630982465112818,0.0004246661979161606,5.630982465112818e-12,4.940047925498883e-10,5.911087262921629e-12,4.94e-10,1.0000097015179927,0.011965763690124755,4.428537468372025,0.5188103855229483,8.535946064202562,1.9274864727158925,1.616767993197203,5,True,2.272437167330831e-05,194880.5244033889,6,4.356180604888642e-05,4.894137873978256e-05,4.3561806007554304e-05,,4.355869772659341e-05,4.893291459043671e-05,4.3558697740367835e-05,0.0024957295416091125,0.9999999990513203,500,5,1e-06,52000,0,70000,1,160,148,12,160,6.675675675675675e-12,6.675740439863356e-12,7.987955760704903e-14,7.0,0.9979712324277438,7.77194457013555e-14,0.0,1.164105443037136,1.438248153041061e-14,0.0,0.9864864864864865
7,7,True,5.753594961224833,3.7703170155210026e-05,5.753594961224832e-12,4.93002571646224e-10,6.881128857034554e-12,4.93e-10,1.0000052163209412,0.013957665024410862,4.434867624236882,0.8327081080654998,5.325836966496838,1.2009010003795246,1.6831284012881496,5,True,2.0525125684386893e-05,216070.18112783323,7,2.879297641764947e-05,3.5908488573451514e-05,2.879297640571427e-05,,2.874759538052479e-05,3.585306630943361e-05,2.8747595384484408e-05,0.0016471158866807217,0.9999999995867879,500,5,1e-06,52000,0,70000,2,160,146,14,160,6.753424657534246e-12,6.753459885564712e-12,9.426203913745964e-14,,,,,,,,
3,3,True,4.83349471058146,2.5308162011200226,4.8334947105814605e-12,2.0000000004950023,1.9846357570858226,2.000000000495,1.000000000000001,0.9923178782973127,4.05813552537485,1.390169303144056,2.91916640383069,0.7193368446119222,1.4186308569872674,3,False,1.3901693033229576,2.9191664035020333,3,,,,,1.0000000000000004,1.414213562507461,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-2,240,234,6,240,0.017094017098247864,0.01709401709824788,0.016962698778511306,4.0,0.5000000001237586,-0.008473327438808069,1.0,0.5010967143106388,-0.00838947070110516,1.0,0.9914529914529915
4,4,True,4.872648237041416,0.2612355881821345,4.872648237041416e-12,1.0000000004950182,0.994494456979113,1.000000000495,1.0000000000000182,0.9944944564868382,4.076254456488668,0.24939295317462076,16.34470583310565,4.009736390987025,1.4289187900053313,4,False,0.24939295421400903,16.344705765244008,4,,,,,1.0000000000000002,1.0000000043440105,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,0,70000,-1,240,232,8,240,0.008620689659439655,0.008620689659439813,0.008573228077406146,5.0,4.960504301739024e-10,-0.00862068965512633,1.0,5.1556482085322266e-12,-0.008573228077361562,1.0,0.9913793103448276
5,5,True,5.2657252758408015,0.23769540527711194,5.265725275840802e-12,4.960504304194565e-10,5.127263565519593e-12,4.949999999999999e-10,1.0021220816554677,0.010358108213170895,4.081776646302771,0.03461226713355114,117.92861272430582,28.89149087349605,1.6642475313906573,5,True,0.03461227460167638,117.92858728125522,5,0.0006569104218765928,0.0006573480014772531,0.0006569102801379337,3.982274579539258e-16,0.0006569102801383319,0.0006573478598332422,0.0006569103273845455,0.03763818927769164,0.9999997842344187,500,5,1e-06,52000,0,70000,0,240,230,10,240,4.3043478260869564e-12,4.3134820036474475e-12,4.458490056973559e-14,6.0,0.9958761493910239,1.9893369597186786e-14,0.0,1.1528736893248832,7.266742087471677e-15,0.0,0.991304347826087
6,6,True,5.630982465112818,0.0004246661979161606,5.630982465112818e-12,4.940047925498883e-10,5.911087262921629e-12,4.94e-10,1.0000097015179927,0.011965763690124755,4.428537468372025,0.5188103855229483,8.535946064202562,1.9274864727158925,1.616767993197203,5,True,2.272437167330831e-05,194880.5244033889,6,4.356180604888642e-05,4.894137873978256e-05,4.3561806007554304e-05,,4.355869772659341e-05,4.893291459043671e-05,4.3558697740367835e-05,0.0024957295416091125,0.9999999990513203,500,5,1e-06,52000,0,70000,1,240,228,12,240,4.333333333333333e-12,4.333375373244634e-12,5.185164265720727e-14,7.0,0.9979712324277438,2.947924309363113e-14,0.0,1.164105443037136,9.043302980266667e-15,0.0,0.9912280701754386
7,7,True,5.753594961224833,3.7703170155210026e-05,5.753594961224832e-12,4.93002571646224e-10,6.881128857034554e-12,4.93e-10,1.0000052163209412,0.013957665024410862,4.434867624236882,0.8327081080654998,5.325836966496838,1.2009010003795246,1.6831284012881496,5,True,2.0525125684386893e-05,216070.18112783323,7,2.879297641764947e-05,3.5908488573451514e-05,2.879297640571427e-05,,2.874759538052479e-05,3.585306630943361e-05,2.8747595384484408e-05,0.0016471158866807217,0.9999999995867879,500,5,1e-06,52000,0,70000,2,240,226,14,240,4.362831858407079e-12,4.3628546163382654e-12,6.089494563747393e-14,,,,,,,,
3,3,True,4.7822538322906345,1.7204390538219647,4.782253832290634e-12,2.000000000495003,1.9855044446482772,2.000000000495,1.0000000000000016,0.9927522220784324,3.710820409954893,0.7132459497084395,5.202722022426908,1.4020409094629698,1.6608307398627455,3,False,0.7132459500590916,5.202722019960787,3,,,,,1.0000000000000002,1.414213562753421,1.5707963267948966,90.0,0.0,500,5,1e-06,52000,1,70001,-2,80,74,6,80,0.05405405406743243,0.054054054067432515,0.053662282287791276,4.0,0.5000000001237512,-0.026276276275904627,1.0,0.5008720353229443,-0.02603773638963197,1.0,0.972972972972973
