sample_size,joint_delta,allocation,directed_component_delta,cap_minimum,variance_envelope_floor,analytic_probability_floor,maximum_declared_component_delta,theorem_status,verdict
4,0.01,final_compatible,0.0025,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
4,0.01,optimistic,0.005,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
4,0.05,final_compatible,0.0125,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
4,0.05,optimistic,0.025,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
4,0.1,final_compatible,0.025,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
4,0.1,optimistic,0.05,0.9758934755785573,80.0,0.9753099120283326,0.05,PROVED,STRONG LINEAR NO-GO
8,0.01,final_compatible,0.0025,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
8,0.01,optimistic,0.005,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
8,0.05,final_compatible,0.0125,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
8,0.05,optimistic,0.025,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
8,0.1,final_compatible,0.025,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
8,0.1,optimistic,0.05,0.9523680756767964,80.0,0.951229424500714,0.05,PROVED,STRONG LINEAR NO-GO
16,0.01,final_compatible,0.0025,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
16,0.01,optimistic,0.005,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
16,0.05,final_compatible,0.0125,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
16,0.05,optimistic,0.025,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
16,0.1,final_compatible,0.025,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
16,0.1,optimistic,0.05,0.9070049515683241,80.0,0.9048374180359595,0.05,PROVED,STRONG LINEAR NO-GO
32,0.01,final_compatible,0.0025,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
32,0.01,optimistic,0.005,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
32,0.05,final_compatible,0.0125,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
32,0.05,optimistic,0.025,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
32,0.1,final_compatible,0.025,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
32,0.1,optimistic,0.05,0.8226579821694578,80.0,0.8187307530779818,0.05,PROVED,STRONG LINEAR NO-GO
