case_name,orient_type,n_orientations,n_total_trials,gate_trigger_rate,mean_q_target,mean_diag_concentration,median_rel_err_hpp,median_rel_err_gated,mse_hpp,mse_gated,gated_vs_hpp_mse_ratio,rademacher_vs_gaussian_hpp_ratio
Exponential (alpha=0.08),Coordinate-Aligned (U=I),1,2,0.0,10.0,1.0000000000000002,0.030154258804649954,0.02714967249385188,0.10523434165140325,0.07964158091338891,0.7568021965415785,15.145408439379983
Exponential (alpha=0.08),Haar-Random,2,4,0.0,10.0,0.5208662469795261,0.04023294559497866,0.03279021780488327,0.2519455875734685,0.17488510327117943,0.6941383850200675,2.7285506957212404
PowerLaw (c=0.5 - Flat),Coordinate-Aligned (U=I),1,2,0.0,10.0,1.0000000000000002,0.03904814759410444,0.025383716563988773,0.14386787584934607,0.0659752290133582,0.45858207486461666,12.626496869929204
PowerLaw (c=0.5 - Flat),Haar-Random,2,4,0.0,10.0,0.5400020951682821,0.0346697256393948,0.027515378568011374,0.06450568261627883,0.06298318498460012,0.9763974649995489,1.4322031204932448
PowerLaw (c=1.0 - Moderate),Coordinate-Aligned (U=I),1,2,0.0,10.0,1.0,0.03813014525439257,0.02497480106378471,0.028778345211068472,0.008078572145446543,0.2807170490935467,3.7104540930719727
PowerLaw (c=1.0 - Moderate),Haar-Random,2,4,0.0,10.0,0.5245340090111672,0.009076347234676114,0.017767678514844093,0.0021522896668816705,0.004242852676355452,1.9713204693783986,0.2395768255160839
PowerLaw (c=2.0 - Steep),Coordinate-Aligned (U=I),1,2,0.0,10.0,0.9999999999999998,0.0038782693273120483,0.000944983146018566,4.025875312550558e-05,2.278835615035517e-06,0.05660472414362432,1.6045571161866143
PowerLaw (c=2.0 - Steep),Haar-Random,2,4,0.0,10.0,0.48083853919057884,0.004135272041724988,0.0035340412486019606,0.00010164740498728086,5.7301881024633164e-05,0.5637318634135652,0.9047086508400449
"Step (r*=15, eta=1e-2)",Coordinate-Aligned (U=I),1,2,0.0,10.0,0.9999999999999998,0.040734441879151824,0.06954760665477115,0.7329312670194476,1.1886087243491428,1.62171922229865,1.1847212114913726
"Step (r*=15, eta=1e-2)",Haar-Random,2,4,0.0,10.0,0.33209452364252584,0.04769974581661575,0.040787923660605394,0.958395866982173,0.3223904321887679,0.3363854575082017,2.7035424930548393
"Step (r*=5, eta=1e-3)",Coordinate-Aligned (U=I),1,2,1.0,8.0,1.0000000000000002,0.00014552249953688422,6.23525774883612e-05,6.884313320923216e-07,1.0099671624519553e-07,0.14670557764743258,2.2018858391101093
"Step (r*=5, eta=1e-3)",Haar-Random,2,4,1.0,8.0,0.5432217695711251,5.715052434406954e-05,8.512000493230759e-05,1.1390882998286742e-06,1.7727418865441654e-07,0.15562813583554466,1.0943271310547862
