case_name,orient_idx,orient_type,trial,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),0,1.0000000000000002,True,5,8,1.771043708275424e-16,0.00022423699906178827,0.00010651264529035316,5.104354745723588e-05,7.888609052210118e-31,1.2646094419702898e-06,2.8532788432203867e-07,6.5527496210871e-08
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),1,1.0000000000000002,True,5,8,1.771043708275424e-16,6.680800001198018e-05,0.00011626728027149406,7.366160751948651e-05,7.888609052210118e-31,1.1225322221435347e-07,3.399827651806173e-07,1.3646593627952006e-07
"Step (r*=5, eta=1e-3)",1,Haar-Random,0,0.5499953885197395,True,5,8,0.17365335305551163,0.00041629329986497896,0.00030318568307026217,3.12465508354404e-05,0.758417283724249,4.358536797063795e-06,2.311847876582998e-06,2.455534519672211e-08
"Step (r*=5, eta=1e-3)",1,Haar-Random,1,0.5499953885197395,True,5,8,0.09534126362853845,6.108397071021033e-05,0.00020453095575776253,0.00011141645088449191,0.22861445247992856,9.384181419638722e-08,1.0521071457642423e-06,3.122054750873082e-07
"Step (r*=5, eta=1e-3)",2,Haar-Random,0,0.5364481506225107,True,5,8,0.04369611935439659,5.321707797792875e-05,0.00016406786387562959,9.76429197304141e-05,0.048020603396777356,7.12268805339125e-08,6.770003951207002e-07,2.3978576048447334e-07
"Step (r*=5, eta=1e-3)",2,Haar-Random,1,0.5364481506225107,True,5,8,0.006206085985748866,3.608440213723586e-05,6.983512025055796e-05,7.259709013420107e-05,0.0009686735730403226,3.274770752060153e-08,1.2265623942571336e-07,1.3255017384916247e-07
"Step (r*=15, eta=1e-2)",0,Coordinate-Aligned (U=I),0,0.9999999999999998,False,7,10,1.180303547774253e-16,0.0010284075456066842,0.07256810720773167,0.0898156387416379,3.1554436208840472e-30,0.00023955404514366274,1.1927916519364168,1.82716145714415
"Step (r*=15, eta=1e-2)",0,Coordinate-Aligned (U=I),1,0.9999999999999998,False,7,10,1.180303547774253e-16,0.08044047621269697,0.01401886896686043,0.049279574567904404,3.1554436208840472e-30,1.4656229799937515,0.044514238952133314,0.5500559915541358
"Step (r*=15, eta=1e-2)",1,Haar-Random,0,0.31007547459571516,False,7,10,0.014133934831418631,0.05377354084669349,0.06262485736344106,0.011395024081199016,0.0452479772002402,0.6549532009450024,0.8883139847746373,0.029410573584649914
"Step (r*=15, eta=1e-2)",1,Haar-Random,1,0.31007547459571516,False,7,10,0.08402165083249079,0.025401057339862452,0.011942983286804805,0.03511538592842811,1.5990256127462716,0.14614251925142993,0.03230715006431007,0.2792980422222265
"Step (r*=15, eta=1e-2)",2,Haar-Random,0,0.3541135726893366,False,7,10,0.020352982273717086,0.10796110097891877,0.011967406555446761,0.04646046139278267,0.09382727611357435,2.6400223860157483,0.03243942070079796,0.48892251453223345
"Step (r*=15, eta=1e-2)",2,Haar-Random,1,0.3541135726893366,False,7,10,0.03427670855242273,0.04162595078653802,0.04530590633433484,0.04660316566279574,0.2661161449228936,0.39246536171651125,0.4649247277605275,0.4919305984159617
