structural_ratio_kappa,effective_rank,chaos_kurtosis_factor,delta_scale,min_sample_size_n_star,min_probes_s_star,feasible_at_s32
0.01,10000.0,3.0012,0.01,201,402,False
0.01,10000.0,3.0012,0.025,81,162,False
0.01,10000.0,3.0012,0.05,41,82,False
0.01,10000.0,3.0012,0.1,21,42,False
0.05,399.99999999999994,3.03,0.01,203,406,False
0.05,399.99999999999994,3.03,0.025,82,164,False
0.05,399.99999999999994,3.03,0.05,41,82,False
0.05,399.99999999999994,3.03,0.1,21,42,False
0.1,99.99999999999999,3.12,0.01,213,426,False
0.1,99.99999999999999,3.12,0.025,85,170,False
0.1,99.99999999999999,3.12,0.05,43,86,False
0.1,99.99999999999999,3.12,0.1,22,44,False
0.2,24.999999999999996,3.48,0.01,249,498,False
0.2,24.999999999999996,3.48,0.025,100,200,False
0.2,24.999999999999996,3.48,0.05,50,100,False
0.2,24.999999999999996,3.48,0.1,25,50,False
0.3,11.11111111111111,4.08,0.01,309,618,False
0.3,11.11111111111111,4.08,0.025,124,248,False
0.3,11.11111111111111,4.08,0.05,62,124,False
0.3,11.11111111111111,4.08,0.1,31,62,False
0.5,4.0,6.0,0.01,501,1002,False
0.5,4.0,6.0,0.025,201,402,False
0.5,4.0,6.0,0.05,101,202,False
0.5,4.0,6.0,0.1,51,102,False
0.7,2.0408163265306127,8.879999999999999,0.01,788,1576,False
0.7,2.0408163265306127,8.879999999999999,0.025,316,632,False
0.7,2.0408163265306127,8.879999999999999,0.05,158,316,False
0.7,2.0408163265306127,8.879999999999999,0.1,79,158,False
0.9,1.2345679012345678,12.72,0.01,1173,2346,False
0.9,1.2345679012345678,12.72,0.025,469,938,False
0.9,1.2345679012345678,12.72,0.05,235,470,False
0.9,1.2345679012345678,12.72,0.1,118,236,False
1.0,1.0,15.0,0.01,1401,2802,False
1.0,1.0,15.0,0.025,561,1122,False
1.0,1.0,15.0,0.05,281,562,False
1.0,1.0,15.0,0.1,141,282,False
