case_name,orient_type,n_orientations,n_total_trials,gate_trigger_rate,mean_q_target,mean_diag_concentration,median_rel_err_hpp,median_rel_err_gated,mse_hpp,mse_gated,gated_vs_hpp_mse_ratio,rademacher_vs_gaussian_hpp_ratio
Exponential (alpha=0.08),Coordinate-Aligned (U=I),1,10,0.0,20.0,1.0,0.009006476552763574,0.012362327204956523,0.025340366675064823,0.03846178357026594,1.517806907194943,0.6347074402557952
Exponential (alpha=0.08),Haar-Random,30,300,0.0,20.0,0.26438431331313994,0.013576794553695232,0.011669168211224995,0.06436121124267831,0.05039972042472295,0.7830760088508495,0.8687285185263813
PowerLaw (c=0.5 - Flat),Coordinate-Aligned (U=I),1,10,0.0,20.0,0.9999999999999997,0.009601443278564107,0.0121788145151745,0.040390045415069346,0.09105644003690348,2.254427770535032,1.1490207132804287
PowerLaw (c=0.5 - Flat),Haar-Random,30,300,0.0,20.0,0.7652035398817829,0.009304902075354804,0.009415524017634127,0.068172259791492,0.06867199706822033,1.0073305077205421,1.4643183842804524
PowerLaw (c=1.0 - Moderate),Coordinate-Aligned (U=I),1,10,0.0,20.0,0.9999999999999998,0.0018003908552739027,0.009420419919767026,0.0006124422571153627,0.002939838793391715,4.800189339054624,0.2638295524193306
PowerLaw (c=1.0 - Moderate),Haar-Random,30,300,0.0,20.0,0.6578042498637253,0.007241197176286107,0.007304790665050296,0.003621098179678999,0.0034385369917962105,0.9495840270481227,1.0454789256144752
PowerLaw (c=2.0 - Steep),Coordinate-Aligned (U=I),1,10,0.0,20.0,1.0,0.0003847203287855776,0.0010473591330091854,2.8024341020487144e-06,6.9383465070130735e-06,2.4758286026924976,0.5002892793406367
PowerLaw (c=2.0 - Steep),Haar-Random,30,300,0.0,20.0,0.4047692233709856,0.0009505207579086517,0.0010321447982063595,5.719978559174853e-06,6.122070303418094e-06,1.0702960229804157,0.5631826076433295
"Step (r*=15, eta=1e-2)",Coordinate-Aligned (U=I),1,10,0.0,20.0,1.0,0.0002894377421516659,0.00037964067134937365,3.0034119924675243e-05,5.0327988009582874e-05,1.6756937821319253,0.002239927669189912
"Step (r*=15, eta=1e-2)",Haar-Random,30,300,0.0,20.0,0.803909030256457,0.0005677560607179478,0.0005567865016875113,0.00019412682867297318,0.00019075204138278132,0.9826155544122289,0.011718571004158145
"Step (r*=5, eta=1e-3)",Coordinate-Aligned (U=I),1,10,1.0,8.0,0.9999999999999998,0.00010122403772424774,7.065570238464974e-05,7.209998140112758e-07,0.0033039424446298345,4582.445626786477,0.9313417566991347
"Step (r*=5, eta=1e-3)",Haar-Random,30,300,1.0,8.0,0.8038552862671938,0.00018157787172840229,6.97270764979623e-05,1.6728132142671935e-06,2.83943321303811e-07,0.1697400037745383,1.8795568464675632
