case_name,orient_idx,orient_type,trial,seed,dimension,budget_m,query_count_per_method,diag_concentration,gate_triggered,r_knee_detected,q_target,rel_err_hutch,rel_err_hpp,rel_err_ghpp,rel_err_gated,sq_err_hutch,sq_err_hpp,sq_err_ghpp,sq_err_gated
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),0,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,1.34614059166413e-05,0.0001812412984094977,0.00017717456747110455,1.9721522630525295e-29,4.704020623384088e-09,8.527126509501646e-07,8.148752721718783e-07
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),1,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,7.383640605709359e-05,0.0002546835435042552,0.00014074831454977067,1.9721522630525295e-29,1.415237982312629e-07,1.6837986002210524e-06,5.142505709058384e-07
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),2,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,2.8984324034137053e-05,8.416800991817828e-05,3.559959860002188e-05,1.9721522630525295e-29,2.1807944302259827e-08,1.8390032392996044e-07,3.289868802759534e-08
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),3,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,0.0003490042465367401,0.00020147479973310397,9.370635014910074e-05,1.9721522630525295e-29,3.161912149188588e-06,1.053731207025197e-06,2.2794308495452485e-07
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),4,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,7.798120010095948e-05,0.00025242474361901067,7.175555037428173e-06,1.9721522630525295e-29,1.5785858505518527e-07,1.6540636756266454e-06,1.33659359749503e-09
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),5,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,0.00011954555156314984,4.891434458871455e-07,4.0813710689490585e-05,1.9721522630525295e-29,3.709840319456124e-07,6.210990344809048e-12,4.3241479012165756e-08
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),6,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,0.0002659927331482452,0.0002589396483349437,5.83442533123573e-05,1.9721522630525295e-29,1.8366564175852673e-06,1.7405459153182933e-06,8.836586823260897e-08
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),7,2026,100,60,60,0.9999999999999998,True,4,8,8.716176837096428e-16,0.00017901686260403906,5.85451688180706e-05,0.03567463402043724,1.9721522630525295e-29,8.31909837166394e-07,8.897551327029628e-08,0.03303751928177116
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),8,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,0.00013937019471226694,9.257052348314442e-05,8.296715145694218e-05,1.9721522630525295e-29,5.042294300306541e-07,2.2245072012453756e-07,1.7869020035450788e-07
"Step (r*=5, eta=1e-3)",0,Coordinate-Aligned (U=I),9,2026,100,60,60,0.9999999999999998,True,5,8,8.716176837096428e-16,8.290252388534561e-05,0.00010033497497588889,1.1715199821469245e-05,1.9721522630525295e-29,1.7841192598415015e-07,2.613322875710582e-07,3.5627699272473088e-09
"Step (r*=5, eta=1e-3)",1,Haar-Random,0,2026,100,60,60,0.803764001843041,True,5,8,0.05981293554683214,0.00034265583764624244,0.0002740095966293236,4.5759540672539035e-05,0.09287067708904029,3.0479276012788256e-06,1.949036280579709e-06,5.435652561692954e-08
"Step (r*=5, eta=1e-3)",1,Haar-Random,1,2026,100,60,60,0.803764001843041,True,5,8,0.1042064884195887,0.00023481760619777398,0.0001025448706160485,4.6786606875554546e-05,0.28188885074071546,1.4313626795390778e-06,2.7297084214740096e-07,5.682395743088431e-08
"Step (r*=5, eta=1e-3)",1,Haar-Random,2,2026,100,60,60,0.803764001843041,True,5,8,0.04837897239318346,7.293094292686439e-05,0.0002471561944163015,6.844452920634506e-05,0.060757746204692084,1.3807404049441674e-07,1.5857377889897e-06,1.216090393548636e-07
"Step (r*=5, eta=1e-3)",1,Haar-Random,3,2026,100,60,60,0.803764001843041,True,5,8,0.13523632883674563,0.00012055754891052655,0.00026483809122679634,3.137344030905302e-05,0.4747610943397385,3.772916519086564e-07,1.8207456243641853e-06,2.5551280281757554e-08
