setup_index,spectrum_family,setup_name,matrix_seed,risk_name,curve_minimizer_q,minimum_mean_risk,mean_trial_minimizer_q,median_trial_minimizer_q,bootstrap_q_ci_low,bootstrap_q_ci_high,bootstrap_samples
0,power,power_c_0.3,42000,oracle_risk,6,0.33450185957847794,6.0,6.0,6.0,6.0,20000
0,power,power_c_0.3,42000,gaussian_risk,0,0.35109322804254234,0.02,0.0,0.0,0.0,20000
0,power,power_c_0.3,42000,rademacher_risk,0,0.0490492730739656,1.43,1.0,0.0,0.0,20000
1,power,power_c_0.7,42001,oracle_risk,29,0.008580362566015739,29.0,29.0,29.0,29.0,20000
1,power,power_c_0.7,42001,gaussian_risk,28,0.013213603988340315,27.91,28.0,27.0,29.0,20000
1,power,power_c_0.7,42001,rademacher_risk,36,0.005549286694887317,35.42,36.0,35.0,37.0,20000
2,power,power_c_1.2,42002,oracle_risk,47,9.366668490201062e-05,47.0,47.0,47.0,47.0,20000
2,power,power_c_1.2,42002,gaussian_risk,47,0.00018057372290266005,47.025,47.0,47.0,48.0,20000
2,power,power_c_1.2,42002,rademacher_risk,50,0.00011379366387276206,49.96,50.0,49.0,51.0,20000
3,power,power_c_1.7,42003,oracle_risk,56,1.0771986683711375e-06,56.0,56.0,56.0,56.0,20000
3,power,power_c_1.7,42003,gaussian_risk,56,2.373850250222224e-06,56.15,56.0,56.0,57.0,20000
3,power,power_c_1.7,42003,rademacher_risk,58,1.7907775954256199e-06,57.575,58.0,57.0,59.0,20000
4,power,power_c_2.5,42004,oracle_risk,64,9.023486338818987e-10,64.0,64.0,64.0,64.0,20000
4,power,power_c_2.5,42004,gaussian_risk,64,2.276494533159923e-09,63.615,64.0,63.0,65.0,20000
4,power,power_c_2.5,42004,rademacher_risk,65,1.942261785137317e-09,64.0,64.0,64.0,65.0,20000
5,exponential,exponential_alpha_0.02,42005,oracle_risk,55,0.10860186653537836,55.0,55.0,55.0,55.0,20000
