spectrum_index,rank_index,orientation_group_id,orientation_seed,matrix_seed,spectrum_family,setup_name,step_rank,eta,dimension,budget,analysis_role,q_min,q_max,min_residual_probes,basis_trials,bootstrap_samples,qr_rtol,qr_atol,zero_backward_rtol,sketch_distribution,basis_seed_base,bootstrap_seed_base,configuration_version
0,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_0,5,0.0,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
0,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_0,5,0.0,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
0,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_0,5,0.0,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
1,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-14,5,1e-14,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
1,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-14,5,1e-14,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
1,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-14,5,1e-14,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
2,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-10,5,1e-10,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
2,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-10,5,1e-10,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
2,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-10,5,1e-10,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
3,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-06,5,1e-06,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
3,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-06,5,1e-06,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
3,0,rank_5,52000,52000,rank_deficient_step,step_r5_eta_1e-06,5,1e-06,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
4,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_0,15,0.0,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
4,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_0,15,0.0,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
4,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_0,15,0.0,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
5,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-14,15,1e-14,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
5,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-14,15,1e-14,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
5,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-14,15,1e-14,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
6,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-10,15,1e-10,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
6,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-10,15,1e-10,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
6,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-10,15,1e-10,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
7,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-06,15,1e-06,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
7,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-06,15,1e-06,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
7,1,rank_15,52001,52001,rank_deficient_step,step_r15_eta_1e-06,15,1e-06,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
8,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_0,30,0.0,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
8,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_0,30,0.0,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
8,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_0,30,0.0,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
9,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-14,30,1e-14,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
9,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-14,30,1e-14,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
9,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-14,30,1e-14,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
10,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-10,30,1e-10,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
10,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-10,30,1e-10,500,160,primary,0,76,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
10,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-10,30,1e-10,500,240,sensitivity,0,116,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
11,2,rank_30,52002,52002,rank_deficient_step,step_r30_eta_1e-06,30,1e-06,500,80,sensitivity,0,36,8,200,20000,1e-12,0.0,1e-12,rademacher,70000,20260815,rank_bridge_v1
