spectrum_index,rank_index,setup_name,step_rank,eta,orientation_seed,budget,analysis_role,risk_name,representative_minimizer_q,minimum_q_smallest,minimum_q_largest,minimum_q_count,minimum_is_zero,minimum_is_plateau,minimum_mean_risk,mean_trial_minimizer_q,median_trial_minimizer_q,bootstrap_q_ci_low,bootstrap_q_ci_high,bootstrap_samples,bootstrap_seed
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,full_risk,5,5,36,32,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260815
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rank_risk,5,5,36,32,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,gaussian_risk,5,5,36,32,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,80,sensitivity,rademacher_risk,5,5,36,32,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,160,primary,full_risk,5,5,76,72,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260815
0,0,step_r5_eta_0,5,0.0,52000,160,primary,rank_risk,5,5,76,72,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,160,primary,gaussian_risk,5,5,76,72,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,160,primary,rademacher_risk,5,5,76,72,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260818
0,0,step_r5_eta_0,5,0.0,52000,240,sensitivity,full_risk,5,5,116,112,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260815
0,0,step_r5_eta_0,5,0.0,52000,240,sensitivity,rank_risk,5,5,116,112,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260816
0,0,step_r5_eta_0,5,0.0,52000,240,sensitivity,gaussian_risk,5,5,116,112,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260817
0,0,step_r5_eta_0,5,0.0,52000,240,sensitivity,rademacher_risk,5,5,116,112,True,True,0.0,5.0,5.0,5.0,5.0,20000,20260818
1,0,step_r5_eta_1e-14,5,1e-14,52000,80,sensitivity,full_risk,5,5,5,1,False,False,1.4142857142857143e-27,5.0,5.0,5.0,5.0,20000,20260815
1,0,step_r5_eta_1e-14,5,1e-14,52000,80,sensitivity,rank_risk,5,5,5,1,False,False,1.4142857142857143e-27,5.0,5.0,5.0,5.0,20000,20260816
1,0,step_r5_eta_1e-14,5,1e-14,52000,80,sensitivity,gaussian_risk,5,5,5,1,False,False,1.4142857145763179e-27,5.0,5.0,5.0,5.0,20000,20260817
1,0,step_r5_eta_1e-14,5,1e-14,52000,80,sensitivity,rademacher_risk,5,5,5,1,False,False,1.4094366422179554e-29,5.0,5.0,5.0,5.0,20000,20260818
1,0,step_r5_eta_1e-14,5,1e-14,52000,160,primary,full_risk,5,5,5,1,False,False,6.599999999999999e-28,5.0,5.0,5.0,5.0,20000,20260815
1,0,step_r5_eta_1e-14,5,1e-14,52000,160,primary,rank_risk,5,5,5,1,False,False,6.599999999999999e-28,5.0,5.0,5.0,5.0,20000,20260816
1,0,step_r5_eta_1e-14,5,1e-14,52000,160,primary,gaussian_risk,5,5,5,1,False,False,6.60000000135615e-28,5.0,5.0,5.0,5.0,20000,20260817
1,0,step_r5_eta_1e-14,5,1e-14,52000,160,primary,rademacher_risk,5,5,5,1,False,False,6.577370997017126e-30,5.0,5.0,5.0,5.0,20000,20260818
1,0,step_r5_eta_1e-14,5,1e-14,52000,240,sensitivity,full_risk,5,5,5,1,False,False,4.3043478260869565e-28,5.0,5.0,5.0,5.0,20000,20260815
1,0,step_r5_eta_1e-14,5,1e-14,52000,240,sensitivity,rank_risk,5,5,5,1,False,False,4.3043478260869565e-28,5.0,5.0,5.0,5.0,20000,20260816
1,0,step_r5_eta_1e-14,5,1e-14,52000,240,sensitivity,gaussian_risk,5,5,5,1,False,False,4.304347826971402e-28,5.0,5.0,5.0,5.0,20000,20260817
1,0,step_r5_eta_1e-14,5,1e-14,52000,240,sensitivity,rademacher_risk,5,5,5,1,False,False,4.289589780663343e-30,5.0,5.0,5.0,5.0,20000,20260818
2,0,step_r5_eta_1e-10,5,1e-10,52000,80,sensitivity,full_risk,5,5,5,1,False,False,1.4142857142857145e-19,5.0,5.0,5.0,5.0,20000,20260815
2,0,step_r5_eta_1e-10,5,1e-10,52000,80,sensitivity,rank_risk,5,5,5,1,False,False,1.4142857142857145e-19,5.0,5.0,5.0,5.0,20000,20260816
2,0,step_r5_eta_1e-10,5,1e-10,52000,80,sensitivity,gaussian_risk,5,5,5,1,False,False,1.4142887466324266e-19,5.0,5.0,5.0,5.0,20000,20260817
2,0,step_r5_eta_1e-10,5,1e-10,52000,80,sensitivity,rademacher_risk,5,5,5,1,False,False,1.4094520342684121e-21,5.0,5.0,5.0,5.0,20000,20260818
2,0,step_r5_eta_1e-10,5,1e-10,52000,160,primary,full_risk,5,5,5,1,False,False,6.6e-20,5.0,5.0,5.0,5.0,20000,20260815
2,0,step_r5_eta_1e-10,5,1e-10,52000,160,primary,rank_risk,5,5,5,1,False,False,6.6e-20,5.0,5.0,5.0,5.0,20000,20260816
2,0,step_r5_eta_1e-10,5,1e-10,52000,160,primary,gaussian_risk,5,5,5,1,False,False,6.600014150951324e-20,5.0,5.0,5.0,5.0,20000,20260817
2,0,step_r5_eta_1e-10,5,1e-10,52000,160,primary,rademacher_risk,5,5,5,1,False,False,6.577442826585923e-22,5.0,5.0,5.0,5.0,20000,20260818
2,0,step_r5_eta_1e-10,5,1e-10,52000,240,sensitivity,full_risk,5,5,5,1,False,False,4.3043478260869565e-20,5.0,5.0,5.0,5.0,20000,20260815
2,0,step_r5_eta_1e-10,5,1e-10,52000,240,sensitivity,rank_risk,5,5,5,1,False,False,4.3043478260869565e-20,5.0,5.0,5.0,5.0,20000,20260816
2,0,step_r5_eta_1e-10,5,1e-10,52000,240,sensitivity,gaussian_risk,5,5,5,1,False,False,4.304357054968256e-20,5.0,5.0,5.0,5.0,20000,20260817
2,0,step_r5_eta_1e-10,5,1e-10,52000,240,sensitivity,rademacher_risk,5,5,5,1,False,False,4.289636626034297e-22,5.0,5.0,5.0,5.0,20000,20260818
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,full_risk,5,5,5,1,False,False,1.4142857142857144e-11,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,rank_risk,5,5,5,1,False,False,1.4142857142857144e-11,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,gaussian_risk,6,6,6,1,False,False,1.4529890693952481e-11,5.04,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,80,sensitivity,rademacher_risk,6,6,6,1,False,False,1.738053323099578e-13,5.06,5.0,6.0,6.0,20000,20260818
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,full_risk,5,5,5,1,False,False,6.599999999999998e-12,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,rank_risk,5,5,5,1,False,False,6.599999999999998e-12,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,gaussian_risk,6,6,6,1,False,False,6.6758957242484376e-12,5.055,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,160,primary,rademacher_risk,6,6,6,1,False,False,7.985650403430493e-14,5.06,5.0,6.0,6.0,20000,20260818
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,full_risk,5,5,5,1,False,False,4.304347826086957e-12,5.0,5.0,5.0,5.0,20000,20260815
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,rank_risk,5,5,5,1,False,False,4.304347826086957e-12,5.0,5.0,5.0,5.0,20000,20260816
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,gaussian_risk,6,6,6,1,False,False,4.333476171880565e-12,5.06,5.0,5.0,6.0,20000,20260817
3,0,step_r5_eta_1e-06,5,1e-06,52000,240,sensitivity,rademacher_risk,6,6,6,1,False,False,5.183667805735583e-14,5.06,5.0,6.0,6.0,20000,20260818
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,full_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260819
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,rank_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260820
4,1,step_r15_eta_0,15,0.0,52001,80,sensitivity,gaussian_risk,15,15,36,22,True,True,0.0,15.0,15.0,15.0,15.0,20000,20260821
