r_step,pilot_b,pilot_ratio,detection_rate,mean_q_target,std_q_target
5,5,1.0,0.32,33.92,11.786161376801186
5,10,2.0,1.0,12.0,0.0
5,15,3.0,1.0,17.0,0.0
5,20,4.0,1.0,22.0,0.0
5,25,5.0,1.0,26.0,0.0
5,30,6.0,1.0,31.0,0.0
5,40,8.0,1.0,41.0,0.0
5,50,10.0,1.0,50.0,0.0
10,5,0.5,0.0,12.32,9.946738158813673
10,10,1.0,0.4,31.1,11.1
10,15,1.5,1.0,17.0,0.0
10,20,2.0,1.0,22.0,0.0
10,25,2.5,1.0,26.0,0.0
10,30,3.0,1.0,31.0,0.0
10,40,4.0,1.0,41.0,0.0
10,50,5.0,1.0,50.0,0.0
15,5,0.3333333333333333,0.0,5.54,3.7800000000000002
15,10,0.6666666666666666,0.0,10.74,4.0929695821005065
15,15,1.0,0.54,30.36,8.963838463515504
15,20,1.3333333333333333,1.0,22.0,0.0
15,25,1.6666666666666667,1.0,26.0,0.0
15,30,2.0,1.0,31.0,0.0
15,40,2.6666666666666665,1.0,41.0,0.0
15,50,3.3333333333333335,1.0,50.0,0.0
20,5,0.25,0.0,5.0,0.0
20,10,0.5,0.0,10.0,0.0
20,15,0.75,0.0,15.4,2.800000000000001
20,20,1.0,0.44,30.56,5.943601601722645
20,25,1.25,1.0,26.0,0.0
20,30,1.5,1.0,31.0,0.0
20,40,2.0,1.0,41.0,0.0
20,50,2.5,1.0,50.0,0.0
25,5,0.2,0.0,5.0,0.0
25,10,0.4,0.0,10.0,0.0
25,15,0.6,0.0,15.0,0.0
25,20,0.8,0.0,20.0,0.0
25,25,1.0,0.52,30.86,3.9749716980124523
25,30,1.2,1.0,31.0,0.0
25,40,1.6,1.0,41.0,0.0
25,50,2.0,1.0,50.0,0.0
30,5,0.16666666666666666,0.0,5.0,0.0
30,10,0.3333333333333333,0.0,10.0,0.0
30,15,0.5,0.0,15.0,0.0
30,20,0.6666666666666666,0.0,20.0,0.0
30,25,0.8333333333333334,0.0,25.0,0.0
30,30,1.0,0.56,33.52,2.5079074943067576
30,40,1.3333333333333333,1.0,41.0,0.0
30,50,1.6666666666666667,1.0,50.0,0.0
