setup,algorithm,mse,median_relative_error,mean_final_b,mean_q_adapt_raw,mean_q_target,mean_ell_eff,guard_activation_rate,mse_ratio_vs_standard,mse_ratio_ci_low,mse_ratio_ci_high
Power-Law (c=2.0),Hutch++ (Standard),1.8278471852531545e-07,0.00017691811554224838,0.0,53.0,53.0,54.0,0.0,1.0,1.0,1.0
Power-Law (c=2.0),Sequential Pilot Safe (Ours),1.1551930799448264e-07,0.00013917160699001817,24.0,61.9,61.9,36.2,0.0,0.6319965308176644,0.3715895258823585,1.0601398966922713
Power-Law (c=2.0),Sequential Pilot Trust-Region (s=4),1.507641273601044e-07,0.00017752517305589938,24.0,61.9,57.0,46.0,1.0,0.824818007634614,0.48309822571813904,1.4045059118664573
Power-Law (c=0.5),Hutch++ (Standard),0.018218657657168527,0.0022922428807846044,0.0,53.0,53.0,54.0,0.0,1.0,1.0,1.0
Power-Law (c=0.5),Sequential Pilot Safe (Ours),0.01960024085446661,0.002045986933731515,16.16,33.96,33.96,92.08,0.0,1.075833424355195,0.6541510998555788,1.7525454037917028
Power-Law (c=0.5),Sequential Pilot Trust-Region (s=4),0.028214080273230538,0.003029844302124581,16.16,33.96,49.0,62.0,1.0,1.548636612211059,0.9851562172805132,2.4067177628772685
Exponential (alpha=0.05),Hutch++ (Standard),0.004111156042543909,0.0024736603603440627,0.0,53.0,53.0,54.0,0.0,1.0,1.0,1.0
Exponential (alpha=0.05),Sequential Pilot Safe (Ours),0.01580293580404918,0.0053404700976787695,36.0,40.98,40.98,78.04,0.0,3.8439153465628633,2.511345431186422,6.030331821237498
Exponential (alpha=0.05),Sequential Pilot Trust-Region (s=4),0.008679116349160472,0.002522828969368479,36.0,40.98,49.0,62.0,1.0,2.111113336333007,1.1123193983422386,3.8302944583160956
"Step (r=10, eta=0.01)",Hutch++ (Standard),0.0001552619668056985,0.0006019747583517075,0.0,53.0,53.0,54.0,0.0,1.0,1.0,1.0
"Step (r=10, eta=0.01)",Sequential Pilot Safe (Ours),0.00031415102468627145,0.0009074044166638396,24.0,62.0,62.0,36.0,0.0,2.023361104779856,1.2943841740492672,3.383215572725262
"Step (r=10, eta=0.01)",Sequential Pilot Trust-Region (s=4),0.00021073175695525921,0.0006622976174162731,24.0,62.0,57.0,46.0,1.0,1.3572657959368633,0.716295687590058,2.578383739089753
"Step (r=20, eta=0.01)",Hutch++ (Standard),0.0002100694378350621,0.00045662576794699885,0.0,53.0,53.0,54.0,0.0,1.0,1.0,1.0
"Step (r=20, eta=0.01)",Sequential Pilot Safe (Ours),0.0002138573024180148,0.0005074122213200026,36.0,59.0,59.0,42.0,0.0,1.0180314881688157,0.6371793378357548,1.6699414093883886
"Step (r=20, eta=0.01)",Sequential Pilot Trust-Region (s=4),0.00022205736452616368,0.0004263115660986213,36.0,59.0,57.0,46.0,1.0,1.05706649579609,0.6810897378488606,1.6443335879494159
