c,m,algorithm,median_rel_err,iqr_rel_err,exact_trace
0.5,20,Hutchinson,0.008760228382028949,0.008636103396343048,43.28336199418217
0.5,20,Hutch++,0.0099200299254191,0.012971620136188172,43.28336199418217
0.5,20,Gaussian-Hutch++,0.011038040161627282,0.010440065882884755,43.28336199418217
0.5,20,NA-Hutch++,0.026334339624136484,0.023919209096769346,43.28336199418217
0.5,40,Hutchinson,0.004987339776153723,0.006720197718494548,43.28336199418217
0.5,40,Hutch++,0.007695418568015578,0.008734291369015362,43.28336199418217
0.5,40,Gaussian-Hutch++,0.006858714424485402,0.005743461015898245,43.28336199418217
0.5,40,NA-Hutch++,0.014516038643773599,0.021980314983506034,43.28336199418217
0.5,80,Hutchinson,0.0058617035004470686,0.006216940093321486,43.28336199418217
0.5,80,Hutch++,0.005242051046789082,0.004506008666657412,43.28336199418217
0.5,80,Gaussian-Hutch++,0.004040106890181147,0.004333313671578794,43.28336199418217
0.5,80,NA-Hutch++,0.007647150421636422,0.010883130644454475,43.28336199418217
0.5,160,Hutchinson,0.003273357313081603,0.004236400154874545,43.28336199418217
0.5,160,Hutch++,0.002742630402958658,0.0029711953243161905,43.28336199418217
0.5,160,Gaussian-Hutch++,0.0023753211956853374,0.0025113155491945844,43.28336199418217
0.5,160,NA-Hutch++,0.004997241711993529,0.006155262121392821,43.28336199418217
0.5,320,Hutchinson,0.001704293512631789,0.001942222075202549,43.28336199418217
0.5,320,Hutch++,0.0018938343283272817,0.0024576061982617674,43.28336199418217
0.5,320,Gaussian-Hutch++,0.0017517026401307123,0.0020260279283094303,43.28336199418217
0.5,320,NA-Hutch++,0.003332439466478181,0.0046563515772555086,43.28336199418217
1.0,20,Hutchinson,0.05045382889986233,0.04148701998230554,6.792823429990525
1.0,20,Hutch++,0.024808452150413635,0.03239574758416659,6.792823429990525
1.0,20,Gaussian-Hutch++,0.024129913202577423,0.03209637101394218,6.792823429990525
1.0,20,NA-Hutch++,0.040891162122027175,0.05441253369057965,6.792823429990525
