structural_ratio_kappa,effective_rank,chaos_kurtosis_factor,delta_scale,min_sample_size_n_star,min_probes_s_star,feasible_at_s32,scope
0.01,10000.0,3.0012,0.01,202,404,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.01,10000.0,3.0012,0.025,82,164,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.01,10000.0,3.0012,0.05,42,84,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.01,10000.0,3.0012,0.1,22,44,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.05,399.99999999999994,3.03,0.01,204,408,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.05,399.99999999999994,3.03,0.025,83,166,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.05,399.99999999999994,3.03,0.05,42,84,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.05,399.99999999999994,3.03,0.1,22,44,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.1,99.99999999999999,3.12,0.01,213,426,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.1,99.99999999999999,3.12,0.025,86,172,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.1,99.99999999999999,3.12,0.05,44,88,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.1,99.99999999999999,3.12,0.1,23,46,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.2,24.999999999999996,3.48,0.01,249,498,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.2,24.999999999999996,3.48,0.025,101,202,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.2,24.999999999999996,3.48,0.05,51,102,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.2,24.999999999999996,3.48,0.1,26,52,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.3,11.11111111111111,4.08,0.01,309,618,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.3,11.11111111111111,4.08,0.025,124,248,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.3,11.11111111111111,4.08,0.05,63,126,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.3,11.11111111111111,4.08,0.1,32,64,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.5,4.0,6.0,0.01,501,1002,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.5,4.0,6.0,0.025,201,402,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.5,4.0,6.0,0.05,101,202,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.5,4.0,6.0,0.1,51,102,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.7,2.0408163265306127,8.879999999999999,0.01,789,1578,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.7,2.0408163265306127,8.879999999999999,0.025,316,632,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.7,2.0408163265306127,8.879999999999999,0.05,158,316,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.7,2.0408163265306127,8.879999999999999,0.1,80,160,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.9,1.2345679012345678,12.72,0.01,1173,2346,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.9,1.2345679012345678,12.72,0.025,469,938,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.9,1.2345679012345678,12.72,0.05,235,470,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
0.9,1.2345679012345678,12.72,0.1,118,236,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
1.0,1.0,15.0,0.01,1401,2802,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
1.0,1.0,15.0,0.025,561,1122,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
1.0,1.0,15.0,0.05,281,562,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
1.0,1.0,15.0,0.1,141,282,False,illustrative K input; degree-two bound is not a signed-pair kurtosis bound
