d,r_star,p,b,eta,delta,tau_ratio,gamma_gap,rho_required,k_gaussian,kappa,certification_margin,guaranteed_ratio,certified,threshold_mode,minimum_certifiable_p
500,10,4,14,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,121.63888490262852,523.7792928524184,4.306018534054318,40.9257649841029,True,fixed_code_gamma,4.0
500,10,8,18,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,56.17073127546054,523.7792928524184,9.324772545399338,76.25569232046055,True,fixed_code_gamma,4.0
500,10,10,20,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,45.31959376235579,523.7792928524184,11.557457809506884,83.13132903542741,True,fixed_code_gamma,4.0
500,10,4,14,0.01,0.05,25.75,3.248434627109745,0.25,121.63888490262852,173.2050807568877,1.4239285479765598,40.9257649841029,True,fixed_alignment_rho_0.25,4.0
500,10,8,18,0.01,0.05,25.75,3.248434627109745,0.25,56.17073127546054,173.2050807568877,3.0835468370082673,76.25569232046055,True,fixed_alignment_rho_0.25,4.0
500,10,10,20,0.01,0.05,25.75,3.248434627109745,0.25,45.31959376235579,173.2050807568877,3.8218586350338946,83.13132903542741,True,fixed_alignment_rho_0.25,4.0
500,10,4,14,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,121.63888490262852,42.2237914876838,0.3471241249990395,1.500131010622689,False,fixed_code_gamma,11.0
500,10,8,18,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,56.17073127546054,42.2237914876838,0.751704500349459,3.1377432038173896,False,fixed_code_gamma,11.0
500,10,10,20,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,45.31959376235579,42.2237914876838,0.9316895404909061,4.097154165943829,False,fixed_code_gamma,11.0
500,10,4,14,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,121.63888490262852,34.64101615137755,0.284785709595312,1.500131010622689,False,fixed_alignment_rho_0.25,14.0
500,10,8,18,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,56.17073127546054,34.64101615137755,0.6167093674016536,3.1377432038173896,False,fixed_alignment_rho_0.25,14.0
500,10,10,20,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,45.31959376235579,34.64101615137755,0.7643717270067791,4.097154165943829,False,fixed_alignment_rho_0.25,14.0
500,10,4,14,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,121.63888490262852,12.589488675477707,0.10349888266038895,1.060418830095703,False,fixed_code_gamma,66.0
500,10,8,18,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,56.17073127546054,12.589488675477707,0.2241289794455233,1.2764848652542562,False,fixed_code_gamma,66.0
500,10,10,20,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,45.31959376235579,12.589488675477707,0.2777935023313255,1.417853374353895,False,fixed_code_gamma,66.0
500,10,4,14,0.1,0.05,3.25,1.1786549963416462,0.25,121.63888490262852,17.32050807568877,0.14239285479765598,1.060418830095703,False,fixed_alignment_rho_0.25,37.0
500,10,8,18,0.1,0.05,3.25,1.1786549963416462,0.25,56.17073127546054,17.32050807568877,0.30835468370082675,1.2764848652542562,False,fixed_alignment_rho_0.25,37.0
500,10,10,20,0.1,0.05,3.25,1.1786549963416462,0.25,45.31959376235579,17.32050807568877,0.3821858635033895,1.417853374353895,False,fixed_alignment_rho_0.25,37.0
500,10,4,14,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,121.63888490262852,1.929168649674472,0.015859802161280617,1.0067471747108403,False,fixed_code_gamma,
500,10,8,18,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,56.17073127546054,1.929168649674472,0.03434473089221242,1.0314450472207857,False,fixed_code_gamma,
500,10,10,20,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,45.31959376235579,1.929168649674472,0.04256809228676084,1.048103158290036,False,fixed_code_gamma,
500,10,4,14,0.2,0.05,2.0,0.6931471805599453,0.25,121.63888490262852,8.660254037844386,0.07119642739882799,1.0067471747108403,False,fixed_alignment_rho_0.25,155.0
500,10,8,18,0.2,0.05,2.0,0.6931471805599453,0.25,56.17073127546054,8.660254037844386,0.15417734185041337,1.0314450472207857,False,fixed_alignment_rho_0.25,155.0
500,10,10,20,0.2,0.05,2.0,0.6931471805599453,0.25,45.31959376235579,8.660254037844386,0.19109293175169476,1.048103158290036,False,fixed_alignment_rho_0.25,155.0
500,20,4,24,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,164.44419265854287,523.7792928524184,3.185149225305939,27.726496223796346,True,fixed_code_gamma,4.0
500,20,8,28,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,72.03606877619295,523.7792928524184,7.27106992026085,66.17791012994635,True,fixed_code_gamma,4.0
500,20,10,30,0.01,0.05,4.4816890703380645,1.5,0.03516857646806126,56.97762820719949,523.7792928524184,9.192718428848808,75.73700435374755,True,fixed_code_gamma,4.0
500,20,4,24,0.01,0.05,25.75,3.248434627109745,0.25,164.44419265854287,173.2050807568877,1.0532757524404417,27.726496223796346,True,fixed_alignment_rho_0.25,4.0
500,20,8,28,0.01,0.05,25.75,3.248434627109745,0.25,72.03606877619295,173.2050807568877,2.404421614053013,66.17791012994635,True,fixed_alignment_rho_0.25,4.0
500,20,10,30,0.01,0.05,25.75,3.248434627109745,0.25,56.97762820719949,173.2050807568877,3.0398787420042543,75.73700435374755,True,fixed_alignment_rho_0.25,4.0
500,20,4,24,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,164.44419265854287,42.2237914876838,0.25676669273057645,1.2769488292487015,False,fixed_code_gamma,14.0
500,20,8,28,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,72.03606877619295,42.2237914876838,0.5861479145796786,2.359766428191751,False,fixed_code_gamma,14.0
500,20,10,30,0.05,0.05,4.4816890703380645,1.5,0.18324679317568762,56.97762820719949,42.2237914876838,0.7410591282272531,3.0842188314621017,False,fixed_code_gamma,14.0
500,20,4,24,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,164.44419265854287,34.64101615137755,0.2106551504880884,1.2769488292487015,False,fixed_alignment_rho_0.25,17.0
500,20,8,28,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,72.03606877619295,34.64101615137755,0.4808843228106027,2.359766428191751,False,fixed_alignment_rho_0.25,17.0
500,20,10,30,0.05,0.05,5.749999999999999,1.7491998548092589,0.24999999999999997,56.97762820719949,34.64101615137755,0.607975748400851,3.0842188314621017,False,fixed_alignment_rho_0.25,17.0
500,20,4,24,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,164.44419265854287,12.589488675477707,0.07655781862494178,1.0331590731939264,False,fixed_code_gamma,75.0
500,20,8,28,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,72.03606877619295,12.589488675477707,0.17476645921075556,1.170158212197467,False,fixed_code_gamma,75.0
500,20,10,30,0.1,0.05,4.4816890703380645,1.5,0.38685434114867384,56.97762820719949,12.589488675477707,0.22095494445110905,1.268941705022058,False,fixed_code_gamma,75.0
500,20,4,24,0.1,0.05,3.25,1.1786549963416462,0.25,164.44419265854287,17.32050807568877,0.10532757524404417,1.0331590731939264,False,fixed_alignment_rho_0.25,44.0
500,20,8,28,0.1,0.05,3.25,1.1786549963416462,0.25,72.03606877619295,17.32050807568877,0.2404421614053013,1.170158212197467,False,fixed_alignment_rho_0.25,44.0
500,20,10,30,0.1,0.05,3.25,1.1786549963416462,0.25,56.97762820719949,17.32050807568877,0.30398787420042545,1.268941705022058,False,fixed_alignment_rho_0.25,44.0
500,20,4,24,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,164.44419265854287,1.929168649674472,0.011731448940129244,1.0036945504550716,False,fixed_code_gamma,
500,20,8,28,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,72.03606877619295,1.929168649674472,0.026780593145194494,1.019178415090658,False,fixed_code_gamma,
500,20,10,30,0.2,0.05,4.4816890703380645,1.5,0.8704222675845161,56.97762820719949,1.929168649674472,0.03385835301285337,1.0305674842808448,False,fixed_code_gamma,
500,20,4,24,0.2,0.05,2.0,0.6931471805599453,0.25,164.44419265854287,8.660254037844386,0.05266378762202208,1.0036945504550716,False,fixed_alignment_rho_0.25,168.0
500,20,8,28,0.2,0.05,2.0,0.6931471805599453,0.25,72.03606877619295,8.660254037844386,0.12022108070265065,1.019178415090658,False,fixed_alignment_rho_0.25,168.0
500,20,10,30,0.2,0.05,2.0,0.6931471805599453,0.25,56.97762820719949,8.660254037844386,0.15199393710021272,1.0305674842808448,False,fixed_alignment_rho_0.25,168.0
