c,m,algorithm,median_rel_err,iqr_rel_err,exact_trace
0.5,20,Hutchinson,0.008760228382028949,0.008636103396343048,43.28336199418217
0.5,20,Hutch++,0.009920029925418771,0.012971620136187845,43.28336199418217
0.5,20,Gaussian-Hutch++,0.011038040161627447,0.010440065882884469,43.28336199418217
0.5,20,NA-Hutch++,0.026334339624136404,0.023919209096769554,43.28336199418217
0.5,40,Hutchinson,0.004987339776153723,0.006720197718494548,43.28336199418217
0.5,40,Hutch++,0.007695418568015578,0.008734291369015117,43.28336199418217
0.5,40,Gaussian-Hutch++,0.006858714424485567,0.005743461015898121,43.28336199418217
0.5,40,NA-Hutch++,0.014516038643773434,0.021980314983506034,43.28336199418217
0.5,80,Hutchinson,0.0058617035004470686,0.006216940093321486,43.28336199418217
0.5,80,Hutch++,0.005242051046789329,0.0045060086666577,43.28336199418217
0.5,80,Gaussian-Hutch++,0.0040401068901813105,0.004333313671579041,43.28336199418217
0.5,80,NA-Hutch++,0.0076471504216365045,0.01088313064445423,43.28336199418217
0.5,160,Hutchinson,0.003273357313081603,0.004236400154874545,43.28336199418217
0.5,160,Hutch++,0.0027426304029587404,0.002971195324315862,43.28336199418217
0.5,160,Gaussian-Hutch++,0.002375321195685091,0.0025113155491945844,43.28336199418217
0.5,160,NA-Hutch++,0.004997241711993365,0.0061552621213927395,43.28336199418217
0.5,320,Hutchinson,0.001704293512631789,0.001942222075202549,43.28336199418217
0.5,320,Hutch++,0.0018938343283271175,0.0024576061982616443,43.28336199418217
0.5,320,Gaussian-Hutch++,0.0017517026401307945,0.0020260279283094715,43.28336199418217
0.5,320,NA-Hutch++,0.003332439466478181,0.004656351577255467,43.28336199418217
1.0,20,Hutchinson,0.05045382889986233,0.04148701998230554,6.792823429990525
1.0,20,Hutch++,0.024808452150413638,0.03239574758416659,6.792823429990525
1.0,20,Gaussian-Hutch++,0.02412991320257736,0.032096371013942276,6.792823429990525
1.0,20,NA-Hutch++,0.04089116212202692,0.05441253369057974,6.792823429990525
1.0,40,Hutchinson,0.023691525208307446,0.03871761883553332,6.792823429990525
1.0,40,Hutch++,0.011457398131826852,0.019780487273173858,6.792823429990525
1.0,40,Gaussian-Hutch++,0.011442403560131209,0.015098106894488397,6.792823429990525
1.0,40,NA-Hutch++,0.027308257097368963,0.02990606650039478,6.792823429990525
1.0,80,Hutchinson,0.020795470487809123,0.030104960953740927,6.792823429990525
1.0,80,Hutch++,0.0035574709350973885,0.004497272757630483,6.792823429990525
1.0,80,Gaussian-Hutch++,0.0054638993067787425,0.007650371534648639,6.792823429990525
1.0,80,NA-Hutch++,0.01323226819009941,0.00957950117687463,6.792823429990525
1.0,160,Hutchinson,0.012253143269507553,0.01604593508843752,6.792823429990525
1.0,160,Hutch++,0.0021729813926689235,0.0023094173357914973,6.792823429990525
1.0,160,Gaussian-Hutch++,0.002326263798463377,0.0030456262037838393,6.792823429990525
1.0,160,NA-Hutch++,0.005245130134789397,0.006039317000300963,6.792823429990525
1.0,320,Hutchinson,0.011150284209103198,0.0136960144357198,6.792823429990525
1.0,320,Hutch++,0.0009898532429205983,0.0012794029158457205,6.792823429990525
1.0,320,Gaussian-Hutch++,0.0008580257909420831,0.0012230758402108053,6.792823429990525
1.0,320,NA-Hutch++,0.0024317754762030264,0.0022982949899901348,6.792823429990525
1.5,20,Hutchinson,0.07904600613397235,0.07802797604403897,2.52297732858438
1.5,20,Hutch++,0.01790304200982941,0.018627621725213688,2.52297732858438
1.5,20,Gaussian-Hutch++,0.032978255693982675,0.036935425703636574,2.52297732858438
1.5,20,NA-Hutch++,0.04543163086403746,0.08626976304061171,2.52297732858438
1.5,40,Hutchinson,0.07445378195239463,0.07914879542726548,2.52297732858438
1.5,40,Hutch++,0.00783979132279238,0.005967860011900578,2.52297732858438
1.5,40,Gaussian-Hutch++,0.008137522079346078,0.0074488327773364945,2.52297732858438
1.5,40,NA-Hutch++,0.011900628157654096,0.013511901920207209,2.52297732858438
1.5,80,Hutchinson,0.05777880620900955,0.05588835620182458,2.52297732858438
1.5,80,Hutch++,0.0024104324949051617,0.004261463028092188,2.52297732858438
1.5,80,Gaussian-Hutch++,0.0028327615385521456,0.003103098137526277,2.52297732858438
1.5,80,NA-Hutch++,0.0045878797359039485,0.004488300962493485,2.52297732858438
1.5,160,Hutchinson,0.036335016760784766,0.04021322641899795,2.52297732858438
1.5,160,Hutch++,0.0012689977963757713,0.0009674675787926393,2.52297732858438
1.5,160,Gaussian-Hutch++,0.0006596216562647689,0.0011637334502823389,2.52297732858438
1.5,160,NA-Hutch++,0.0023072654918234146,0.002414929945580361,2.52297732858438
1.5,320,Hutchinson,0.031136956550221497,0.03415263105220798,2.52297732858438
1.5,320,Hutch++,0.0002754037161066973,0.000359315551880262,2.52297732858438
1.5,320,Gaussian-Hutch++,0.0002767964430034315,0.00026854929511031545,2.52297732858438
1.5,320,NA-Hutch++,0.0008711985475904518,0.000784996871747007,2.52297732858438
2.0,20,Hutchinson,0.1262436362717213,0.15543964298380292,1.6429360655148944
2.0,20,Hutch++,0.009378719100953191,0.0135809488055815,1.6429360655148944
2.0,20,Gaussian-Hutch++,0.012792138376265708,0.012352601517587974,1.6429360655148944
2.0,20,NA-Hutch++,0.03158610654805645,0.0346081159745297,1.6429360655148944
2.0,40,Hutchinson,0.09081749716075484,0.11415158165220478,1.6429360655148944
2.0,40,Hutch++,0.002633576159550886,0.0028530285785773727,1.6429360655148944
2.0,40,Gaussian-Hutch++,0.004710368988149435,0.004526472737032371,1.6429360655148944
2.0,40,NA-Hutch++,0.009200295641321587,0.013034111556906567,1.6429360655148944
2.0,80,Hutchinson,0.06343168392792589,0.0910332432609471,1.6429360655148944
2.0,80,Hutch++,0.0005488002284871001,0.0009000326105744764,1.6429360655148944
2.0,80,Gaussian-Hutch++,0.001099268207540143,0.0009952616344768633,1.6429360655148944
2.0,80,NA-Hutch++,0.0017925302621776059,0.0024759350881837644,1.6429360655148944
2.0,160,Hutchinson,0.059331465090214655,0.06480742581105342,1.6429360655148944
2.0,160,Hutch++,0.00018462529857533216,0.00017294800622045007,1.6429360655148944
2.0,160,Gaussian-Hutch++,0.0002428277902899602,0.00017339120194905593,1.6429360655148944
2.0,160,NA-Hutch++,0.0005249223126851385,0.0006199843251425469,1.6429360655148944
2.0,320,Hutchinson,0.034592207431849625,0.04455802835547768,1.6429360655148944
2.0,320,Hutch++,3.8259785309569524e-05,4.3629851334677896e-05,1.6429360655148944
2.0,320,Gaussian-Hutch++,4.337235245497976e-05,6.400117970708714e-05,1.6429360655148944
2.0,320,NA-Hutch++,0.00012644124998396542,0.0001446045373887877,1.6429360655148944
